,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,澄迈县,469023,18.7753753662
1,20010102,海南省,460000,澄迈县,469023,20.9426231384
2,20010103,海南省,460000,澄迈县,469023,21.7486891747
3,20010104,海南省,460000,澄迈县,469023,21.358520031
4,20010105,海南省,460000,澄迈县,469023,20.7462301254
5,20010106,海南省,460000,澄迈县,469023,21.7818260193
6,20010107,海南省,460000,澄迈县,469023,22.0614066124
7,20010108,海南省,460000,澄迈县,469023,22.3562984467
8,20010109,海南省,460000,澄迈县,469023,20.144510746
9,20010110,海南省,460000,澄迈县,469023,18.1793041229
10,20010111,海南省,460000,澄迈县,469023,19.8896455765
11,20010112,海南省,460000,澄迈县,469023,22.5599689484
12,20010113,海南省,460000,澄迈县,469023,17.9093184471
13,20010114,海南省,460000,澄迈县,469023,18.7347970009
14,20010115,海南省,460000,澄迈县,469023,16.4548993111
15,20010116,海南省,460000,澄迈县,469023,16.7751905918
16,20010117,海南省,460000,澄迈县,469023,20.4365401268
17,20010118,海南省,460000,澄迈县,469023,21.0027070045
18,20010119,海南省,460000,澄迈县,469023,21.6350011826
19,20010120,海南省,460000,澄迈县,469023,22.0406942368
20,20010121,海南省,460000,澄迈县,469023,22.912364006
21,20010122,海南省,460000,澄迈县,469023,23.4756188393
22,20010123,海南省,460000,澄迈县,469023,24.1754293442
23,20010124,海南省,460000,澄迈县,469023,25.0612912178
24,20010125,海南省,460000,澄迈县,469023,22.4834871292
25,20010126,海南省,460000,澄迈县,469023,14.7406215668
26,20010127,海南省,460000,澄迈县,469023,14.5131218433
27,20010128,海南省,460000,澄迈县,469023,13.0465576649
28,20010129,海南省,460000,澄迈县,469023,15.2399663925
29,20010130,海南省,460000,澄迈县,469023,17.8899550438
30,20010131,海南省,460000,澄迈县,469023,20.6454005241
31,20010201,海南省,460000,澄迈县,469023,18.1236586571
32,20010202,海南省,460000,澄迈县,469023,16.7283163071
33,20010203,海南省,460000,澄迈县,469023,17.8933234215
34,20010204,海南省,460000,澄迈县,469023,15.6834115982
35,20010205,海南省,460000,澄迈县,469023,20.3670592308
36,20010206,海南省,460000,澄迈县,469023,22.5318803787
37,20010207,海南省,460000,澄迈县,469023,20.5322699547
38,20010208,海南省,460000,澄迈县,469023,17.5670948029
39,20010209,海南省,460000,澄迈县,469023,17.0117135048
40,20010210,海南省,460000,澄迈县,469023,14.8351745605
