,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,河南省,410000,濮阳市,410900,2.23528021574
1,20010102,河南省,410000,濮阳市,410900,0.803099081665
2,20010103,河南省,410000,濮阳市,410900,-1.83763723373
3,20010104,河南省,410000,濮阳市,410900,-1.86768267155
4,20010105,河南省,410000,濮阳市,410900,-0.138415753096
5,20010106,河南省,410000,濮阳市,410900,-1.69013462067
6,20010107,河南省,410000,濮阳市,410900,-0.205866810679
7,20010108,河南省,410000,濮阳市,410900,-0.215228679031
8,20010109,河南省,410000,濮阳市,410900,-2.64057116508
9,20010110,河南省,410000,濮阳市,410900,-3.33007791042
10,20010111,河南省,410000,濮阳市,410900,-4.4480266571
11,20010112,河南省,410000,濮阳市,410900,-3.76211013794
12,20010113,河南省,410000,濮阳市,410900,-7.35088233948
13,20010114,河南省,410000,濮阳市,410900,-9.90061683655
14,20010115,河南省,410000,濮阳市,410900,-7.30668859482
15,20010116,河南省,410000,濮阳市,410900,-3.75362958908
16,20010117,河南省,410000,濮阳市,410900,-2.03851209879
17,20010118,河南省,410000,濮阳市,410900,-2.2929681778
18,20010119,河南省,410000,濮阳市,410900,-3.34174880981
19,20010120,河南省,410000,濮阳市,410900,-2.23076394796
20,20010121,河南省,410000,濮阳市,410900,-1.73631210327
21,20010122,河南省,410000,濮阳市,410900,-2.55227806568
22,20010123,河南省,410000,濮阳市,410900,-3.03636701107
23,20010124,河南省,410000,濮阳市,410900,-2.84639599323
24,20010125,河南省,410000,濮阳市,410900,-3.73505535126
25,20010126,河南省,410000,濮阳市,410900,-4.18735203743
26,20010127,河南省,410000,濮阳市,410900,-1.15974397063
27,20010128,河南省,410000,濮阳市,410900,-2.6672526598
28,20010129,河南省,410000,濮阳市,410900,-1.1285994947
29,20010130,河南省,410000,濮阳市,410900,1.13595107794
30,20010131,河南省,410000,濮阳市,410900,1.63370651007
31,20010201,河南省,410000,濮阳市,410900,0.555998662114
32,20010202,河南省,410000,濮阳市,410900,2.03642295599
33,20010203,河南省,410000,濮阳市,410900,0.085283330828
34,20010204,河南省,410000,濮阳市,410900,-0.569705431163
35,20010205,河南省,410000,濮阳市,410900,-2.26722195148
36,20010206,河南省,410000,濮阳市,410900,-5.67550406456
37,20010207,河南省,410000,濮阳市,410900,-5.99516234398
38,20010208,河南省,410000,濮阳市,410900,-1.56071240306
39,20010209,河南省,410000,濮阳市,410900,0.379552615434
40,20010210,河南省,410000,濮阳市,410900,0.0277997753583
41,20010211,河南省,410000,濮阳市,410900,-2.3507671237
42,20010212,河南省,410000,濮阳市,410900,-2.30851011276
43,20010213,河南省,410000,濮阳市,410900,-0.678208079934
44,20010214,河南省,410000,濮阳市,410900,3.96186313629
45,20010215,河南省,410000,濮阳市,410900,2.7347317934
46,20010216,河南省,410000,濮阳市,410900,2.44935910702
47,20010217,河南省,410000,濮阳市,410900,2.57636198997
48,20010218,河南省,410000,濮阳市,410900,6.77067494392
49,20010219,河南省,410000,濮阳市,410900,7.56679682732
50,20010220,河南省,410000,濮阳市,410900,5.34424419403
51,20010221,河南省,410000,濮阳市,410900,6.89726805687
52,20010222,河南省,410000,濮阳市,410900,6.23226304054
53,20010223,河南省,410000,濮阳市,410900,-1.10273976326
54,20010224,河南省,410000,濮阳市,410900,0.375879554451
55,20010225,河南省,410000,濮阳市,410900,2.69744884968
56,20010226,河南省,410000,濮阳市,410900,3.88573374748
57,20010227,河南省,410000,濮阳市,410900,4.20569868088
58,20010228,河南省,410000,濮阳市,410900,6.18629088402
59,20010301,河南省,410000,濮阳市,410900,10.4385311127
60,20010302,河南省,410000,濮阳市,410900,10.7759583473
61,20010303,河南省,410000,濮阳市,410900,6.17821850777
62,20010304,河南省,410000,濮阳市,410900,7.79263114929
63,20010305,河南省,410000,濮阳市,410900,10.3573705673
64,20010306,河南省,410000,濮阳市,410900,5.07087507248
65,20010307,河南省,410000,濮阳市,410900,2.06811105013
66,20010308,河南省,410000,濮阳市,410900,2.75174250603
67,20010309,河南省,410000,濮阳市,410900,8.70369243622
68,20010310,河南省,410000,濮阳市,410900,5.94286580086
69,20010311,河南省,410000,濮阳市,410900,6.58700561523
70,20010312,河南省,410000,濮阳市,410900,11.7566202164
71,20010313,河南省,410000,濮阳市,410900,14.7687429428
72,20010314,河南省,410000,濮阳市,410900,8.80593285561
73,20010315,河南省,410000,濮阳市,410900,7.69604206085
74,20010316,河南省,410000,濮阳市,410900,5.30999641418
75,20010317,河南省,410000,濮阳市,410900,10.6098324776
76,20010318,河南省,410000,濮阳市,410900,13.0636006355
77,20010319,河南省,410000,濮阳市,410900,16.5872901917
78,20010320,河南省,410000,濮阳市,410900,16.6538608551
79,20010321,河南省,410000,濮阳市,410900,18.1712394714
80,20010322,河南省,410000,濮阳市,410900,12.6330142021
81,20010323,河南省,410000,濮阳市,410900,13.6260838509
82,20010324,河南省,410000,濮阳市,410900,15.8395216942
83,20010325,河南省,410000,濮阳市,410900,11.1929429054
84,20010326,河南省,410000,濮阳市,410900,8.61880941391
85,20010327,河南省,410000,濮阳市,410900,1.38902189136
86,20010328,河南省,410000,濮阳市,410900,5.68261184692
87,20010329,河南省,410000,濮阳市,410900,11.1727202415
88,20010330,河南省,410000,濮阳市,410900,7.86043729782
