,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广西壮族自治区,450000,玉林市,450900,16.2873115199
1,20010102,广西壮族自治区,450000,玉林市,450900,17.2952535152
2,20010103,广西壮族自治区,450000,玉林市,450900,16.7442060198
3,20010104,广西壮族自治区,450000,玉林市,450900,16.3497228963
4,20010105,广西壮族自治区,450000,玉林市,450900,18.2553381239
5,20010106,广西壮族自治区,450000,玉林市,450900,19.5079193115
6,20010107,广西壮族自治区,450000,玉林市,450900,19.8555597578
7,20010108,广西壮族自治区,450000,玉林市,450900,20.6756544794
8,20010109,广西壮族自治区,450000,玉林市,450900,11.6255896773
9,20010110,广西壮族自治区,450000,玉林市,450900,10.3226060867
10,20010111,广西壮族自治区,450000,玉林市,450900,12.9947220598
11,20010112,广西壮族自治区,450000,玉林市,450900,15.2562473501
12,20010113,广西壮族自治区,450000,玉林市,450900,14.8181791987
13,20010114,广西壮族自治区,450000,玉林市,450900,14.5117850304
14,20010115,广西壮族自治区,450000,玉林市,450900,9.86723351479
15,20010116,广西壮族自治区,450000,玉林市,450900,11.4332989284
16,20010117,广西壮族自治区,450000,玉林市,450900,15.8759746552
17,20010118,广西壮族自治区,450000,玉林市,450900,17.7684646334
18,20010119,广西壮族自治区,450000,玉林市,450900,20.008819512
19,20010120,广西壮族自治区,450000,玉林市,450900,19.9741858755
20,20010121,广西壮族自治区,450000,玉林市,450900,20.6156037876
21,20010122,广西壮族自治区,450000,玉林市,450900,21.5463113785
22,20010123,广西壮族自治区,450000,玉林市,450900,21.5885652815
23,20010124,广西壮族自治区,450000,玉林市,450900,19.3721116611
24,20010125,广西壮族自治区,450000,玉林市,450900,12.405057839
25,20010126,广西壮族自治区,450000,玉林市,450900,10.5979615961
26,20010127,广西壮族自治区,450000,玉林市,450900,9.58229347638
27,20010128,广西壮族自治区,450000,玉林市,450900,11.0676734788
28,20010129,广西壮族自治区,450000,玉林市,450900,13.097422702
29,20010130,广西壮族自治区,450000,玉林市,450900,12.4201162202
30,20010131,广西壮族自治区,450000,玉林市,450900,13.8678512573
31,20010201,广西壮族自治区,450000,玉林市,450900,11.6005382197
32,20010202,广西壮族自治区,450000,玉林市,450900,9.66224449021
33,20010203,广西壮族自治区,450000,玉林市,450900,10.5146886962
34,20010204,广西壮族自治区,450000,玉林市,450900,12.2978447165
35,20010205,广西壮族自治区,450000,玉林市,450900,15.7668781281
36,20010206,广西壮族自治区,450000,玉林市,450900,18.1228978974
37,20010207,广西壮族自治区,450000,玉林市,450900,14.0141672747
38,20010208,广西壮族自治区,450000,玉林市,450900,12.0611541612
39,20010209,广西壮族自治区,450000,玉林市,450900,10.4066008159
40,20010210,广西壮族自治区,450000,玉林市,450900,11.4180272307
41,20010211,广西壮族自治区,450000,玉林市,450900,15.2184819835
42,20010212,广西壮族自治区,450000,玉林市,450900,18.0066634927
43,20010213,广西壮族自治区,450000,玉林市,450900,11.5884051323
44,20010214,广西壮族自治区,450000,玉林市,450900,12.3399886404
45,20010215,广西壮族自治区,450000,玉林市,450900,14.1763218812
46,20010216,广西壮族自治区,450000,玉林市,450900,15.9997111048
47,20010217,广西壮族自治区,450000,玉林市,450900,17.70287323
