,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,青海省,630000,玉树藏族自治州,632700,-7.76657892629
1,20010102,青海省,630000,玉树藏族自治州,632700,-11.0043194121
2,20010103,青海省,630000,玉树藏族自治州,632700,-12.8698224816
3,20010104,青海省,630000,玉树藏族自治州,632700,-12.3661424483
4,20010105,青海省,630000,玉树藏族自治州,632700,-12.8642872549
5,20010106,青海省,630000,玉树藏族自治州,632700,-11.5485508909
6,20010107,青海省,630000,玉树藏族自治州,632700,-10.1525941844
7,20010108,青海省,630000,玉树藏族自治州,632700,-13.4927325286
8,20010109,青海省,630000,玉树藏族自治州,632700,-15.5243716221
9,20010110,青海省,630000,玉树藏族自治州,632700,-13.9057089263
10,20010111,青海省,630000,玉树藏族自治州,632700,-12.1575315878
11,20010112,青海省,630000,玉树藏族自治州,632700,-15.3542892138
12,20010113,青海省,630000,玉树藏族自治州,632700,-15.9867935648
13,20010114,青海省,630000,玉树藏族自治州,632700,-14.9181779861
14,20010115,青海省,630000,玉树藏族自治州,632700,-14.3633529607
15,20010116,青海省,630000,玉树藏族自治州,632700,-12.5764405223
16,20010117,青海省,630000,玉树藏族自治州,632700,-9.23949828849
17,20010118,青海省,630000,玉树藏族自治州,632700,-8.56743991281
18,20010119,青海省,630000,玉树藏族自治州,632700,-11.1724701984
19,20010120,青海省,630000,玉树藏族自治州,632700,-9.93337179539
20,20010121,青海省,630000,玉树藏族自治州,632700,-9.36365855114
21,20010122,青海省,630000,玉树藏族自治州,632700,-8.21112493651
22,20010123,青海省,630000,玉树藏族自治州,632700,-9.55359699446
23,20010124,青海省,630000,玉树藏族自治州,632700,-12.3661295442
24,20010125,青海省,630000,玉树藏族自治州,632700,-14.583504488
25,20010126,青海省,630000,玉树藏族自治州,632700,-12.6344717054
26,20010127,青海省,630000,玉树藏族自治州,632700,-12.0260983958
27,20010128,青海省,630000,玉树藏族自治州,632700,-9.55159577949
28,20010129,青海省,630000,玉树藏族自治州,632700,-6.16388288245
29,20010130,青海省,630000,玉树藏族自治州,632700,-1.21219225182
30,20010131,青海省,630000,玉树藏族自治州,632700,-0.736090289842
31,20010201,青海省,630000,玉树藏族自治州,632700,-2.300013293
32,20010202,青海省,630000,玉树藏族自治州,632700,-4.6973894668
33,20010203,青海省,630000,玉树藏族自治州,632700,-8.39308885088
34,20010204,青海省,630000,玉树藏族自治州,632700,-8.06648233474
35,20010205,青海省,630000,玉树藏族自治州,632700,-8.35928457286
36,20010206,青海省,630000,玉树藏族自治州,632700,-11.3640398558
37,20010207,青海省,630000,玉树藏族自治州,632700,-11.3745668486
38,20010208,青海省,630000,玉树藏族自治州,632700,-10.5522580296
39,20010209,青海省,630000,玉树藏族自治州,632700,-11.4142140762
40,20010210,青海省,630000,玉树藏族自治州,632700,-7.80098150641
41,20010211,青海省,630000,玉树藏族自治州,632700,-7.41643295581
42,20010212,青海省,630000,玉树藏族自治州,632700,-8.13170285831
43,20010213,青海省,630000,玉树藏族自治州,632700,-9.33654926945
44,20010214,青海省,630000,玉树藏族自治州,632700,-7.45278645684
45,20010215,青海省,630000,玉树藏族自治州,632700,-4.4533844596
46,20010216,青海省,630000,玉树藏族自治州,632700,-5.75422527523
47,20010217,青海省,630000,玉树藏族自治州,632700,-4.51315813953
48,20010218,青海省,630000,玉树藏族自治州,632700,-3.40904891484
49,20010219,青海省,630000,玉树藏族自治州,632700,-6.40984022385
50,20010220,青海省,630000,玉树藏族自治州,632700,-7.57748118382
51,20010221,青海省,630000,玉树藏族自治州,632700,-6.3888281163
52,20010222,青海省,630000,玉树藏族自治州,632700,-8.10486289006
53,20010223,青海省,630000,玉树藏族自治州,632700,-7.12528677361
54,20010224,青海省,630000,玉树藏族自治州,632700,-5.46712629109
55,20010225,青海省,630000,玉树藏族自治州,632700,-5.58108084737
56,20010226,青海省,630000,玉树藏族自治州,632700,-7.30607094583
57,20010227,青海省,630000,玉树藏族自治州,632700,-10.6433398125
58,20010228,青海省,630000,玉树藏族自治州,632700,-8.22530437544
59,20010301,青海省,630000,玉树藏族自治州,632700,-5.99251515022
60,20010302,青海省,630000,玉树藏族自治州,632700,-8.58098415668
61,20010303,青海省,630000,玉树藏族自治州,632700,-8.37464128896
62,20010304,青海省,630000,玉树藏族自治州,632700,-5.69641099465
63,20010305,青海省,630000,玉树藏族自治州,632700,-8.66501366555
64,20010306,青海省,630000,玉树藏族自治州,632700,-8.89009820667
65,20010307,青海省,630000,玉树藏族自治州,632700,-7.06866444232
66,20010308,青海省,630000,玉树藏族自治州,632700,-6.06726374568
67,20010309,青海省,630000,玉树藏族自治州,632700,-6.25204474578
68,20010310,青海省,630000,玉树藏族自治州,632700,-6.24887092302
69,20010311,青海省,630000,玉树藏族自治州,632700,-7.16020077934
