,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,云南省,530000,玉溪市,530400,16.0180566633
1,20010102,云南省,530000,玉溪市,530400,16.2844909977
2,20010103,云南省,530000,玉溪市,530400,15.642887399
3,20010104,云南省,530000,玉溪市,530400,15.9223004934
4,20010105,云南省,530000,玉溪市,530400,15.2535690359
5,20010106,云南省,530000,玉溪市,530400,14.1979544356
6,20010107,云南省,530000,玉溪市,530400,14.3779980428
7,20010108,云南省,530000,玉溪市,530400,14.1107079532
8,20010109,云南省,530000,玉溪市,530400,12.4307866741
9,20010110,云南省,530000,玉溪市,530400,12.3734081887
10,20010111,云南省,530000,玉溪市,530400,12.8103744661
11,20010112,云南省,530000,玉溪市,530400,12.4728656717
12,20010113,云南省,530000,玉溪市,530400,14.0072208095
13,20010114,云南省,530000,玉溪市,530400,13.9075914074
14,20010115,云南省,530000,玉溪市,530400,12.4806063369
15,20010116,云南省,530000,玉溪市,530400,12.78525636
16,20010117,云南省,530000,玉溪市,530400,14.6070208678
17,20010118,云南省,530000,玉溪市,530400,14.3207461641
18,20010119,云南省,530000,玉溪市,530400,14.9134272498
19,20010120,云南省,530000,玉溪市,530400,15.7448629173
20,20010121,云南省,530000,玉溪市,530400,16.0833156689
21,20010122,云南省,530000,玉溪市,530400,15.3394004719
22,20010123,云南省,530000,玉溪市,530400,17.0830943907
23,20010124,云南省,530000,玉溪市,530400,17.8440470824
24,20010125,云南省,530000,玉溪市,530400,15.9691776327
25,20010126,云南省,530000,玉溪市,530400,12.7291549734
26,20010127,云南省,530000,玉溪市,530400,12.7176062094
27,20010128,云南省,530000,玉溪市,530400,10.4225700224
28,20010129,云南省,530000,玉溪市,530400,11.2604041228
29,20010130,云南省,530000,玉溪市,530400,12.7095235361
30,20010131,云南省,530000,玉溪市,530400,14.1338651245
31,20010201,云南省,530000,玉溪市,530400,14.9624635851
32,20010202,云南省,530000,玉溪市,530400,15.7379888328
33,20010203,云南省,530000,玉溪市,530400,17.810759699
34,20010204,云南省,530000,玉溪市,530400,16.3737942464
35,20010205,云南省,530000,玉溪市,530400,16.694128784
36,20010206,云南省,530000,玉溪市,530400,16.0036324939
37,20010207,云南省,530000,玉溪市,530400,14.9281647141
38,20010208,云南省,530000,玉溪市,530400,14.1802816133
39,20010209,云南省,530000,玉溪市,530400,11.6679873724
40,20010210,云南省,530000,玉溪市,530400,11.2208869651
41,20010211,云南省,530000,玉溪市,530400,14.4681150849
42,20010212,云南省,530000,玉溪市,530400,15.1960115433
43,20010213,云南省,530000,玉溪市,530400,14.2001398705
44,20010214,云南省,530000,玉溪市,530400,12.6210286682
45,20010215,云南省,530000,玉溪市,530400,14.7019958754
46,20010216,云南省,530000,玉溪市,530400,14.80547008
47,20010217,云南省,530000,玉溪市,530400,17.4260108793
48,20010218,云南省,530000,玉溪市,530400,18.5237038071
49,20010219,云南省,530000,玉溪市,530400,18.3205229785
50,20010220,云南省,530000,玉溪市,530400,17.55319451
51,20010221,云南省,530000,玉溪市,530400,17.7226873089
52,20010222,云南省,530000,玉溪市,530400,17.9750696388
53,20010223,云南省,530000,玉溪市,530400,17.352436375
