,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,琼中黎族苗族自治县,469030,19.3776982625
1,20010102,海南省,460000,琼中黎族苗族自治县,469030,21.272553126
2,20010103,海南省,460000,琼中黎族苗族自治县,469030,22.0700232188
3,20010104,海南省,460000,琼中黎族苗族自治县,469030,21.7799259822
4,20010105,海南省,460000,琼中黎族苗族自治县,469030,21.5969181061
5,20010106,海南省,460000,琼中黎族苗族自治县,469030,22.3311548233
6,20010107,海南省,460000,琼中黎族苗族自治县,469030,22.4955679576
7,20010108,海南省,460000,琼中黎族苗族自治县,469030,22.6969966888
8,20010109,海南省,460000,琼中黎族苗族自治县,469030,20.88524278
9,20010110,海南省,460000,琼中黎族苗族自治县,469030,19.0663239161
10,20010111,海南省,460000,琼中黎族苗族自治县,469030,21.0236231486
11,20010112,海南省,460000,琼中黎族苗族自治县,469030,22.9308503469
12,20010113,海南省,460000,琼中黎族苗族自治县,469030,18.8245506287
13,20010114,海南省,460000,琼中黎族苗族自治县,469030,19.7470652262
14,20010115,海南省,460000,琼中黎族苗族自治县,469030,17.7173932393
15,20010116,海南省,460000,琼中黎族苗族自治县,469030,17.5115585327
16,20010117,海南省,460000,琼中黎族苗族自治县,469030,21.0313774745
17,20010118,海南省,460000,琼中黎族苗族自治县,469030,21.6264197032
18,20010119,海南省,460000,琼中黎族苗族自治县,469030,22.3014116287
19,20010120,海南省,460000,琼中黎族苗族自治县,469030,22.4557167689
20,20010121,海南省,460000,琼中黎族苗族自治县,469030,23.251437823
21,20010122,海南省,460000,琼中黎族苗族自治县,469030,23.8270425797
22,20010123,海南省,460000,琼中黎族苗族自治县,469030,24.4087715149
23,20010124,海南省,460000,琼中黎族苗族自治县,469030,25.2075643539
24,20010125,海南省,460000,琼中黎族苗族自治县,469030,23.4713811874
25,20010126,海南省,460000,琼中黎族苗族自治县,469030,16.1792173386
26,20010127,海南省,460000,琼中黎族苗族自治县,469030,15.9787944158
27,20010128,海南省,460000,琼中黎族苗族自治县,469030,14.0086256663
28,20010129,海南省,460000,琼中黎族苗族自治县,469030,15.9907223384
29,20010130,海南省,460000,琼中黎族苗族自治县,469030,18.7843980789
30,20010131,海南省,460000,琼中黎族苗族自治县,469030,21.1768039068
31,20010201,海南省,460000,琼中黎族苗族自治县,469030,19.3047857285
32,20010202,海南省,460000,琼中黎族苗族自治县,469030,17.9603487651
33,20010203,海南省,460000,琼中黎族苗族自治县,469030,19.1765476863
34,20010204,海南省,460000,琼中黎族苗族自治县,469030,17.1735048294
35,20010205,海南省,460000,琼中黎族苗族自治县,469030,21.3093125025
36,20010206,海南省,460000,琼中黎族苗族自治县,469030,22.8400640488
37,20010207,海南省,460000,琼中黎族苗族自治县,469030,21.2554206848
38,20010208,海南省,460000,琼中黎族苗族自治县,469030,18.6072467168
39,20010209,海南省,460000,琼中黎族苗族自治县,469030,18.3177315394
