,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,琼海市,469002,18.8965401649
1,20010102,海南省,460000,琼海市,469002,20.9786992073
2,20010103,海南省,460000,琼海市,469002,22.1724591255
3,20010104,海南省,460000,琼海市,469002,21.8425927162
4,20010105,海南省,460000,琼海市,469002,21.3839497566
5,20010106,海南省,460000,琼海市,469002,21.7794284821
6,20010107,海南省,460000,琼海市,469002,22.4096570015
7,20010108,海南省,460000,琼海市,469002,21.9397573471
8,20010109,海南省,460000,琼海市,469002,21.5490617752
9,20010110,海南省,460000,琼海市,469002,19.2078456879
10,20010111,海南省,460000,琼海市,469002,21.7206273079
11,20010112,海南省,460000,琼海市,469002,23.0026278496
12,20010113,海南省,460000,琼海市,469002,19.0006070137
13,20010114,海南省,460000,琼海市,469002,20.188211441
14,20010115,海南省,460000,琼海市,469002,18.6584935188
15,20010116,海南省,460000,琼海市,469002,18.1357121468
16,20010117,海南省,460000,琼海市,469002,20.7685871124
17,20010118,海南省,460000,琼海市,469002,21.4286532402
18,20010119,海南省,460000,琼海市,469002,22.4305167198
19,20010120,海南省,460000,琼海市,469002,22.7440905571
20,20010121,海南省,460000,琼海市,469002,23.2349715233
21,20010122,海南省,460000,琼海市,469002,23.9267830849
22,20010123,海南省,460000,琼海市,469002,24.0243325233
23,20010124,海南省,460000,琼海市,469002,24.5127301216
24,20010125,海南省,460000,琼海市,469002,24.9487776756
25,20010126,海南省,460000,琼海市,469002,15.808879137
26,20010127,海南省,460000,琼海市,469002,15.843588829
27,20010128,海南省,460000,琼海市,469002,13.695684433
28,20010129,海南省,460000,琼海市,469002,15.4550218582
29,20010130,海南省,460000,琼海市,469002,19.1537952423
30,20010131,海南省,460000,琼海市,469002,21.006128788
31,20010201,海南省,460000,琼海市,469002,21.1396946907
32,20010202,海南省,460000,琼海市,469002,18.8406682014
33,20010203,海南省,460000,琼海市,469002,20.7586569786
34,20010204,海南省,460000,琼海市,469002,17.2054429054
35,20010205,海南省,460000,琼海市,469002,21.2569069862
36,20010206,海南省,460000,琼海市,469002,23.1596345901
37,20010207,海南省,460000,琼海市,469002,22.4651656151
38,20010208,海南省,460000,琼海市,469002,18.8423695564
39,20010209,海南省,460000,琼海市,469002,19.5093331337
40,20010210,海南省,460000,琼海市,469002,15.5538752079
41,20010211,海南省,460000,琼海市,469002,20.4484138489
42,20010212,海南省,460000,琼海市,469002,21.1185665131
43,20010213,海南省,460000,琼海市,469002,20.0343599319
44,20010214,海南省,460000,琼海市,469002,15.5547337532
45,20010215,海南省,460000,琼海市,469002,17.7002873421
46,20010216,海南省,460000,琼海市,469002,18.876086235
47,20010217,海南省,460000,琼海市,469002,20.9430551529
48,20010218,海南省,460000,琼海市,469002,21.8337049484
49,20010219,海南省,460000,琼海市,469002,21.5037579536
50,20010220,海南省,460000,琼海市,469002,21.8428325653
51,20010221,海南省,460000,琼海市,469002,23.3441925049
52,20010222,海南省,460000,琼海市,469002,24.0274033546
53,20010223,海南省,460000,琼海市,469002,24.5819773674
54,20010224,海南省,460000,琼海市,469002,24.3593945503
55,20010225,海南省,460000,琼海市,469002,20.3028283119
56,20010226,海南省,460000,琼海市,469002,20.3731842041
57,20010227,海南省,460000,琼海市,469002,22.6930503845
58,20010228,海南省,460000,琼海市,469002,19.65417099
59,20010301,海南省,460000,琼海市,469002,18.8430366516
60,20010302,海南省,460000,琼海市,469002,21.983549118
61,20010303,海南省,460000,琼海市,469002,22.851146698
62,20010304,海南省,460000,琼海市,469002,20.6232142448
63,20010305,海南省,460000,琼海市,469002,22.0025444031
64,20010306,海南省,460000,琼海市,469002,22.9094228745
65,20010307,海南省,460000,琼海市,469002,23.4833917618
66,20010308,海南省,460000,琼海市,469002,20.0924310684
67,20010309,海南省,460000,琼海市,469002,19.4553484917
68,20010310,海南省,460000,琼海市,469002,22.7303218842
69,20010311,海南省,460000,琼海市,469002,20.9998288155
70,20010312,海南省,460000,琼海市,469002,19.3749380112
71,20010313,海南省,460000,琼海市,469002,22.0695743561
72,20010314,海南省,460000,琼海市,469002,23.3779230118
73,20010315,海南省,460000,琼海市,469002,23.5588145256
74,20010316,海南省,460000,琼海市,469002,24.6240053177
75,20010317,海南省,460000,琼海市,469002,25.8484902382
76,20010318,海南省,460000,琼海市,469002,25.980653286
77,20010319,海南省,460000,琼海市,469002,25.9539709091
78,20010320,海南省,460000,琼海市,469002,26.0848879814
79,20010321,海南省,460000,琼海市,469002,25.5498681068
80,20010322,海南省,460000,琼海市,469002,26.5818729401
81,20010323,海南省,460000,琼海市,469002,27.6995849609
82,20010324,海南省,460000,琼海市,469002,28.1951212883
83,20010325,海南省,460000,琼海市,469002,26.0445289612
84,20010326,海南省,460000,琼海市,469002,22.7783088684
85,20010327,海南省,460000,琼海市,469002,23.6027932167
86,20010328,海南省,460000,琼海市,469002,24.6786575317
87,20010329,海南省,460000,琼海市,469002,22.1753869057
88,20010330,海南省,460000,琼海市,469002,23.7014884949
89,20010331,海南省,460000,琼海市,469002,25.0702567101
90,20010401,海南省,460000,琼海市,469002,24.6613903046
91,20010402,海南省,460000,琼海市,469002,25.6917128563
92,20010403,海南省,460000,琼海市,469002,27.326420784
93,20010404,海南省,460000,琼海市,469002,27.5387482643
94,20010405,海南省,460000,琼海市,469002,26.703186512
95,20010406,海南省,460000,琼海市,469002,27.2588682175
96,20010407,海南省,460000,琼海市,469002,27.6424775124
97,20010408,海南省,460000,琼海市,469002,29.1374139786
98,20010409,海南省,460000,琼海市,469002,29.2644224167
99,20010410,海南省,460000,琼海市,469002,29.0018138885
100,20010411,海南省,460000,琼海市,469002,19.0609469414
101,20010412,海南省,460000,琼海市,469002,18.7201781273
102,20010413,海南省,460000,琼海市,469002,23.3540930748
103,20010414,海南省,460000,琼海市,469002,25.8046073914
104,20010415,海南省,460000,琼海市,469002,25.8857793808
105,20010416,海南省,460000,琼海市,469002,26.5172524452
106,20010417,海南省,460000,琼海市,469002,27.5535612106
107,20010418,海南省,460000,琼海市,469002,29.0865869522
108,20010419,海南省,460000,琼海市,469002,29.6155719757
109,20010420,海南省,460000,琼海市,469002,29.9456014633
110,20010421,海南省,460000,琼海市,469002,30.2598819733
111,20010422,海南省,460000,琼海市,469002,28.8713674545
112,20010423,海南省,460000,琼海市,469002,28.5730576515
113,20010424,海南省,460000,琼海市,469002,28.0012073517
114,20010425,海南省,460000,琼海市,469002,26.4465999603
115,20010426,海南省,460000,琼海市,469002,26.5744915009
116,20010427,海南省,460000,琼海市,469002,27.7279725075
117,20010428,海南省,460000,琼海市,469002,28.892220974
118,20010429,海南省,460000,琼海市,469002,29.6733846664
119,20010430,海南省,460000,琼海市,469002,29.6308937073
120,20010501,海南省,460000,琼海市,469002,26.958343029
121,20010502,海南省,460000,琼海市,469002,25.8883347511
122,20010503,海南省,460000,琼海市,469002,26.7726068497
123,20010504,海南省,460000,琼海市,469002,27.6769723892
124,20010505,海南省,460000,琼海市,469002,29.405497551
125,20010506,海南省,460000,琼海市,469002,30.6647324562
126,20010507,海南省,460000,琼海市,469002,31.1696362495
127,20010508,海南省,460000,琼海市,469002,30.5339221954
128,20010509,海南省,460000,琼海市,469002,29.354932785
129,20010510,海南省,460000,琼海市,469002,25.7693963051
130,20010511,海南省,460000,琼海市,469002,26.0889472961
131,20010512,海南省,460000,琼海市,469002,25.8395972252
132,20010513,海南省,460000,琼海市,469002,27.3500905037
133,20010514,海南省,460000,琼海市,469002,27.5639328957
134,20010515,海南省,460000,琼海市,469002,27.5881519318
135,20010516,海南省,460000,琼海市,469002,26.9897704124
136,20010517,海南省,460000,琼海市,469002,27.5398626328
137,20010518,海南省,460000,琼海市,469002,26.8682003021
138,20010519,海南省,460000,琼海市,469002,27.995598793
139,20010520,海南省,460000,琼海市,469002,28.8466415405
140,20010521,海南省,460000,琼海市,469002,30.2048773766
141,20010522,海南省,460000,琼海市,469002,29.3682785034
142,20010523,海南省,460000,琼海市,469002,26.9626274109
143,20010524,海南省,460000,琼海市,469002,28.1373472214
144,20010525,海南省,460000,琼海市,469002,27.6803922653
145,20010526,海南省,460000,琼海市,469002,26.7853341103
146,20010527,海南省,460000,琼海市,469002,26.7277374268
147,20010528,海南省,460000,琼海市,469002,27.3970313072
148,20010529,海南省,460000,琼海市,469002,27.0995664597
149,20010530,海南省,460000,琼海市,469002,26.8068604469
150,20010531,海南省,460000,琼海市,469002,26.5087957382
151,20010601,海南省,460000,琼海市,469002,28.5222430229
152,20010602,海南省,460000,琼海市,469002,27.9371180534
153,20010603,海南省,460000,琼海市,469002,29.3626661301
154,20010604,海南省,460000,琼海市,469002,29.8783020973
155,20010605,海南省,460000,琼海市,469002,28.6565957069
156,20010606,海南省,460000,琼海市,469002,29.0041422844
157,20010607,海南省,460000,琼海市,469002,28.8014011383
158,20010608,海南省,460000,琼海市,469002,27.7264108658
159,20010609,海南省,460000,琼海市,469002,28.8336176872
160,20010610,海南省,460000,琼海市,469002,28.9300003052
161,20010611,海南省,460000,琼海市,469002,29.6797623634
162,20010612,海南省,460000,琼海市,469002,30.3270807266
163,20010613,海南省,460000,琼海市,469002,28.4336538315
164,20010614,海南省,460000,琼海市,469002,27.3349900246
165,20010615,海南省,460000,琼海市,469002,27.4279952049
166,20010616,海南省,460000,琼海市,469002,29.4861092567
167,20010617,海南省,460000,琼海市,469002,29.9457187653
168,20010618,海南省,460000,琼海市,469002,30.0330924988
169,20010619,海南省,460000,琼海市,469002,30.033323288
170,20010620,海南省,460000,琼海市,469002,30.1393957138
171,20010621,海南省,460000,琼海市,469002,29.3171858788
172,20010622,海南省,460000,琼海市,469002,28.7646694183
173,20010623,海南省,460000,琼海市,469002,29.6271324158
174,20010624,海南省,460000,琼海市,469002,28.916457653
175,20010625,海南省,460000,琼海市,469002,27.1091976166
176,20010626,海南省,460000,琼海市,469002,25.9007492065
177,20010627,海南省,460000,琼海市,469002,26.1107969284
178,20010628,海南省,460000,琼海市,469002,27.5271320343
179,20010629,海南省,460000,琼海市,469002,28.6244621277
180,20010630,海南省,460000,琼海市,469002,28.8921370506
181,20010701,海南省,460000,琼海市,469002,25.2260241508
182,20010702,海南省,460000,琼海市,469002,27.0203857422
183,20010703,海南省,460000,琼海市,469002,27.737101078
184,20010704,海南省,460000,琼海市,469002,27.998934269
185,20010705,海南省,460000,琼海市,469002,30.5743384361
186,20010706,海南省,460000,琼海市,469002,30.5655713081
187,20010707,海南省,460000,琼海市,469002,28.9410886765
188,20010708,海南省,460000,琼海市,469002,29.2645492554
189,20010709,海南省,460000,琼海市,469002,29.1168599129
190,20010710,海南省,460000,琼海市,469002,29.4539704323
191,20010711,海南省,460000,琼海市,469002,30.1526417732
