,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,甘肃省,620000,甘南藏族自治州,623000,-3.7200780449
1,20010102,甘肃省,620000,甘南藏族自治州,623000,-5.84915724223
2,20010103,甘肃省,620000,甘南藏族自治州,623000,-7.48705879062
3,20010104,甘肃省,620000,甘南藏族自治州,623000,-6.20015922119
4,20010105,甘肃省,620000,甘南藏族自治州,623000,-6.87187043629
5,20010106,甘肃省,620000,甘南藏族自治州,623000,-5.85618108823
6,20010107,甘肃省,620000,甘南藏族自治州,623000,-4.60352400543
7,20010108,甘肃省,620000,甘南藏族自治州,623000,-8.6032227004
8,20010109,甘肃省,620000,甘南藏族自治州,623000,-10.8190935531
9,20010110,甘肃省,620000,甘南藏族自治州,623000,-9.72835128841
10,20010111,甘肃省,620000,甘南藏族自治州,623000,-6.64552154583
11,20010112,甘肃省,620000,甘南藏族自治州,623000,-7.05857042968
12,20010113,甘肃省,620000,甘南藏族自治州,623000,-8.6172877985
13,20010114,甘肃省,620000,甘南藏族自治州,623000,-8.97243173849
14,20010115,甘肃省,620000,甘南藏族自治州,623000,-8.86706568301
15,20010116,甘肃省,620000,甘南藏族自治州,623000,-7.66147252597
16,20010117,甘肃省,620000,甘南藏族自治州,623000,-4.78812523325
17,20010118,甘肃省,620000,甘南藏族自治州,623000,-4.14067566802
18,20010119,甘肃省,620000,甘南藏族自治州,623000,-6.56763439317
19,20010120,甘肃省,620000,甘南藏族自治州,623000,-2.58660631246
20,20010121,甘肃省,620000,甘南藏族自治州,623000,-3.40485775722
21,20010122,甘肃省,620000,甘南藏族自治州,623000,-3.00600804891
22,20010123,甘肃省,620000,甘南藏族自治州,623000,-5.8977671723
23,20010124,甘肃省,620000,甘南藏族自治州,623000,-7.59237912505
24,20010125,甘肃省,620000,甘南藏族自治州,623000,-10.2789805281
25,20010126,甘肃省,620000,甘南藏族自治州,623000,-9.98327455739
26,20010127,甘肃省,620000,甘南藏族自治州,623000,-9.25848110947
27,20010128,甘肃省,620000,甘南藏族自治州,623000,-8.1595649034
28,20010129,甘肃省,620000,甘南藏族自治州,623000,-5.08747879762
29,20010130,甘肃省,620000,甘南藏族自治州,623000,-1.98734529663
30,20010131,甘肃省,620000,甘南藏族自治州,623000,-2.58082170317
31,20010201,甘肃省,620000,甘南藏族自治州,623000,-3.04971640644
32,20010202,甘肃省,620000,甘南藏族自治州,623000,-3.00904538485
33,20010203,甘肃省,620000,甘南藏族自治州,623000,-3.79647742121
34,20010204,甘肃省,620000,甘南藏族自治州,623000,-1.9114514889
35,20010205,甘肃省,620000,甘南藏族自治州,623000,-1.39575215117
36,20010206,甘肃省,620000,甘南藏族自治州,623000,-5.22171280031
37,20010207,甘肃省,620000,甘南藏族自治州,623000,-5.03188256711
38,20010208,甘肃省,620000,甘南藏族自治州,623000,-4.64560023158
39,20010209,甘肃省,620000,甘南藏族自治州,623000,-5.57653532385
40,20010210,甘肃省,620000,甘南藏族自治州,623000,-3.17068549497
41,20010211,甘肃省,620000,甘南藏族自治州,623000,-3.54429876414
42,20010212,甘肃省,620000,甘南藏族自治州,623000,-6.27666913406
43,20010213,甘肃省,620000,甘南藏族自治州,623000,-6.61733282756
44,20010214,甘肃省,620000,甘南藏族自治州,623000,-3.69582420865
45,20010215,甘肃省,620000,甘南藏族自治州,623000,-1.69042106976
46,20010216,甘肃省,620000,甘南藏族自治州,623000,-0.498708627273
47,20010217,甘肃省,620000,甘南藏族自治州,623000,0.125920098275
48,20010218,甘肃省,620000,甘南藏族自治州,623000,0.537899643096
49,20010219,甘肃省,620000,甘南藏族自治州,623000,0.119093458753
50,20010220,甘肃省,620000,甘南藏族自治州,623000,-0.761529919237
51,20010221,甘肃省,620000,甘南藏族自治州,623000,1.54060831623
52,20010222,甘肃省,620000,甘南藏族自治州,623000,-2.30840435061
53,20010223,甘肃省,620000,甘南藏族自治州,623000,-2.76927559979
54,20010224,甘肃省,620000,甘南藏族自治州,623000,-1.94399605934
55,20010225,甘肃省,620000,甘南藏族自治州,623000,-1.6181974508
56,20010226,甘肃省,620000,甘南藏族自治州,623000,-2.21159777149
57,20010227,甘肃省,620000,甘南藏族自治州,623000,-5.31698059239
58,20010228,甘肃省,620000,甘南藏族自治州,623000,-4.76062819916
59,20010301,甘肃省,620000,甘南藏族自治州,623000,-2.30086874251
60,20010302,甘肃省,620000,甘南藏族自治州,623000,-2.51256869352
61,20010303,甘肃省,620000,甘南藏族自治州,623000,-4.15633738777
62,20010304,甘肃省,620000,甘南藏族自治州,623000,-1.8164083944
63,20010305,甘肃省,620000,甘南藏族自治州,623000,-0.564008915927
64,20010306,甘肃省,620000,甘南藏族自治州,623000,-2.52559287462
65,20010307,甘肃省,620000,甘南藏族自治州,623000,-2.96328644143
66,20010308,甘肃省,620000,甘南藏族自治州,623000,-0.415402199856
67,20010309,甘肃省,620000,甘南藏族自治州,623000,-0.312091488023
68,20010310,甘肃省,620000,甘南藏族自治州,623000,-0.40552200234
69,20010311,甘肃省,620000,甘南藏族自治州,623000,-1.30291854094
70,20010312,甘肃省,620000,甘南藏族自治州,623000,0.220806094298
71,20010313,甘肃省,620000,甘南藏族自治州,623000,2.50942517408
72,20010314,甘肃省,620000,甘南藏族自治州,623000,2.96381605018
73,20010315,甘肃省,620000,甘南藏族自治州,623000,2.9149717848
74,20010316,甘肃省,620000,甘南藏族自治州,623000,-0.0340185556561
75,20010317,甘肃省,620000,甘南藏族自治州,623000,0.781230411471
76,20010318,甘肃省,620000,甘南藏族自治州,623000,0.336176361369
77,20010319,甘肃省,620000,甘南藏族自治州,623000,-0.391906634753
78,20010320,甘肃省,620000,甘南藏族自治州,623000,1.32624676899
79,20010321,甘肃省,620000,甘南藏族自治州,623000,4.51245196891
80,20010322,甘肃省,620000,甘南藏族自治州,623000,4.89000175027
81,20010323,甘肃省,620000,甘南藏族自治州,623000,2.57054868144
82,20010324,甘肃省,620000,甘南藏族自治州,623000,1.0613011289
83,20010325,甘肃省,620000,甘南藏族自治州,623000,1.48001564935
84,20010326,甘肃省,620000,甘南藏族自治州,623000,0.886806647001
85,20010327,甘肃省,620000,甘南藏族自治州,623000,0.225812943046
86,20010328,甘肃省,620000,甘南藏族自治州,623000,1.01251243563
87,20010329,甘肃省,620000,甘南藏族自治州,623000,3.40651252563
88,20010330,甘肃省,620000,甘南藏族自治州,623000,4.85669635479
89,20010331,甘肃省,620000,甘南藏族自治州,623000,5.65752712516
90,20010401,甘肃省,620000,甘南藏族自治州,623000,6.32715302013
91,20010402,甘肃省,620000,甘南藏族自治州,623000,7.13578162637
92,20010403,甘肃省,620000,甘南藏族自治州,623000,4.05326867788
93,20010404,甘肃省,620000,甘南藏族自治州,623000,5.94808168051
94,20010405,甘肃省,620000,甘南藏族自治州,623000,0.666685415778
95,20010406,甘肃省,620000,甘南藏族自治州,623000,5.48091030398
96,20010407,甘肃省,620000,甘南藏族自治州,623000,4.09663782147
97,20010408,甘肃省,620000,甘南藏族自治州,623000,6.88485594128
98,20010409,甘肃省,620000,甘南藏族自治州,623000,-3.48445006061
99,20010410,甘肃省,620000,甘南藏族自治州,623000,-5.13895964276
100,20010411,甘肃省,620000,甘南藏族自治州,623000,-0.759035213482
101,20010412,甘肃省,620000,甘南藏族自治州,623000,4.21784769796
102,20010413,甘肃省,620000,甘南藏族自治州,623000,4.24668762434
103,20010414,甘肃省,620000,甘南藏族自治州,623000,5.15831231655
104,20010415,甘肃省,620000,甘南藏族自治州,623000,7.63711823974
105,20010416,甘肃省,620000,甘南藏族自治州,623000,7.90706258596
106,20010417,甘肃省,620000,甘南藏族自治州,623000,10.1648421454
107,20010418,甘肃省,620000,甘南藏族自治州,623000,9.78575959317
108,20010419,甘肃省,620000,甘南藏族自治州,623000,7.69543152077
109,20010420,甘肃省,620000,甘南藏族自治州,623000,3.97428604198
110,20010421,甘肃省,620000,甘南藏族自治州,623000,5.71013603931
111,20010422,甘肃省,620000,甘南藏族自治州,623000,4.98929900624
112,20010423,甘肃省,620000,甘南藏族自治州,623000,4.1964723953
113,20010424,甘肃省,620000,甘南藏族自治州,623000,5.15768260595
114,20010425,甘肃省,620000,甘南藏族自治州,623000,7.02164293444
115,20010426,甘肃省,620000,甘南藏族自治州,623000,8.32459610008
116,20010427,甘肃省,620000,甘南藏族自治州,623000,5.60390086507
117,20010428,甘肃省,620000,甘南藏族自治州,623000,6.44267750895
118,20010429,甘肃省,620000,甘南藏族自治州,623000,3.24219575108
119,20010430,甘肃省,620000,甘南藏族自治州,623000,4.07006663361
120,20010501,甘肃省,620000,甘南藏族自治州,623000,9.03295012408
121,20010502,甘肃省,620000,甘南藏族自治州,623000,8.42659701303
122,20010503,甘肃省,620000,甘南藏族自治州,623000,8.71444129944
123,20010504,甘肃省,620000,甘南藏族自治州,623000,6.23912353571
124,20010505,甘肃省,620000,甘南藏族自治州,623000,10.2807026464
125,20010506,甘肃省,620000,甘南藏族自治州,623000,7.83735959474
126,20010507,甘肃省,620000,甘南藏族自治州,623000,5.50611446347
127,20010508,甘肃省,620000,甘南藏族自治州,623000,5.79944910144
128,20010509,甘肃省,620000,甘南藏族自治州,623000,5.37061194209
129,20010510,甘肃省,620000,甘南藏族自治州,623000,8.99987280646
130,20010511,甘肃省,620000,甘南藏族自治州,623000,7.91571634315
131,20010512,甘肃省,620000,甘南藏族自治州,623000,9.69917093321
132,20010513,甘肃省,620000,甘南藏族自治州,623000,11.670786342
133,20010514,甘肃省,620000,甘南藏族自治州,623000,9.08509906503
134,20010515,甘肃省,620000,甘南藏族自治州,623000,7.65422935541
135,20010516,甘肃省,620000,甘南藏族自治州,623000,6.190012394
136,20010517,甘肃省,620000,甘南藏族自治州,623000,5.69390294302
137,20010518,甘肃省,620000,甘南藏族自治州,623000,8.54557769798
138,20010519,甘肃省,620000,甘南藏族自治州,623000,9.63251794771
139,20010520,甘肃省,620000,甘南藏族自治州,623000,10.0684922351
140,20010521,甘肃省,620000,甘南藏族自治州,623000,12.6565870684
141,20010522,甘肃省,620000,甘南藏族自治州,623000,13.669767158
142,20010523,甘肃省,620000,甘南藏族自治州,623000,8.72758787177
143,20010524,甘肃省,620000,甘南藏族自治州,623000,10.9855064958
144,20010525,甘肃省,620000,甘南藏族自治州,623000,6.31176245213
145,20010526,甘肃省,620000,甘南藏族自治州,623000,8.03476030328
146,20010527,甘肃省,620000,甘南藏族自治州,623000,10.4603192141
