,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,四川省,510000,甘孜藏族自治州,513300,1.21490369386
1,20010102,四川省,510000,甘孜藏族自治州,513300,0.758563999963
2,20010103,四川省,510000,甘孜藏族自治州,513300,-2.42470852552
3,20010104,四川省,510000,甘孜藏族自治州,513300,-2.91552339197
4,20010105,四川省,510000,甘孜藏族自治州,513300,-3.62170731559
5,20010106,四川省,510000,甘孜藏族自治州,513300,-4.28849264563
6,20010107,四川省,510000,甘孜藏族自治州,513300,-1.4039689744
7,20010108,四川省,510000,甘孜藏族自治州,513300,-2.61547473355
8,20010109,四川省,510000,甘孜藏族自治州,513300,-6.37390222074
9,20010110,四川省,510000,甘孜藏族自治州,513300,-7.07833808154
10,20010111,四川省,510000,甘孜藏族自治州,513300,-5.30151853239
11,20010112,四川省,510000,甘孜藏族自治州,513300,-6.26120298053
12,20010113,四川省,510000,甘孜藏族自治州,513300,-6.15534366187
13,20010114,四川省,510000,甘孜藏族自治州,513300,-5.84417578212
14,20010115,四川省,510000,甘孜藏族自治州,513300,-6.19675546561
15,20010116,四川省,510000,甘孜藏族自治州,513300,-4.08404452809
16,20010117,四川省,510000,甘孜藏族自治州,513300,-2.11179636809
17,20010118,四川省,510000,甘孜藏族自治州,513300,-1.71076140043
18,20010119,四川省,510000,甘孜藏族自治州,513300,-2.7147447614
19,20010120,四川省,510000,甘孜藏族自治州,513300,-1.31825020936
20,20010121,四川省,510000,甘孜藏族自治州,513300,-1.40903711805
21,20010122,四川省,510000,甘孜藏族自治州,513300,-0.109801970242
22,20010123,四川省,510000,甘孜藏族自治州,513300,-0.508799696686
23,20010124,四川省,510000,甘孜藏族自治州,513300,-2.23480092301
24,20010125,四川省,510000,甘孜藏族自治州,513300,-4.868724484
25,20010126,四川省,510000,甘孜藏族自治州,513300,-3.69136306527
26,20010127,四川省,510000,甘孜藏族自治州,513300,-2.47686458563
27,20010128,四川省,510000,甘孜藏族自治州,513300,-2.6498278847
