,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,白沙黎族自治县,469025,19.3610186577
1,20010102,海南省,460000,白沙黎族自治县,469025,21.1648154259
2,20010103,海南省,460000,白沙黎族自治县,469025,21.8172807693
3,20010104,海南省,460000,白沙黎族自治县,469025,21.5589361191
4,20010105,海南省,460000,白沙黎族自治县,469025,21.5164146423
5,20010106,海南省,460000,白沙黎族自治县,469025,22.4990959167
6,20010107,海南省,460000,白沙黎族自治县,469025,22.5333690643
7,20010108,海南省,460000,白沙黎族自治县,469025,22.9473633766
8,20010109,海南省,460000,白沙黎族自治县,469025,20.412955761
9,20010110,海南省,460000,白沙黎族自治县,469025,18.6974468231
10,20010111,海南省,460000,白沙黎族自治县,469025,20.6487112045
11,20010112,海南省,460000,白沙黎族自治县,469025,23.0236635208
12,20010113,海南省,460000,白沙黎族自治县,469025,18.1502037048
13,20010114,海南省,460000,白沙黎族自治县,469025,19.2746829987
14,20010115,海南省,460000,白沙黎族自治县,469025,16.8713564873
15,20010116,海南省,460000,白沙黎族自治县,469025,16.5886588097
16,20010117,海南省,460000,白沙黎族自治县,469025,20.9533877373
17,20010118,海南省,460000,白沙黎族自治县,469025,21.5607609749
18,20010119,海南省,460000,白沙黎族自治县,469025,22.096601963
19,20010120,海南省,460000,白沙黎族自治县,469025,22.311340332
20,20010121,海南省,460000,白沙黎族自治县,469025,23.2221941948
21,20010122,海南省,460000,白沙黎族自治县,469025,23.7897233963
22,20010123,海南省,460000,白沙黎族自治县,469025,24.5286464691
23,20010124,海南省,460000,白沙黎族自治县,469025,25.6523938179
24,20010125,海南省,460000,白沙黎族自治县,469025,23.0513768196
25,20010126,海南省,460000,白沙黎族自治县,469025,15.328915596
26,20010127,海南省,460000,白沙黎族自治县,469025,15.2092216015
27,20010128,海南省,460000,白沙黎族自治县,469025,13.1402311325
28,20010129,海南省,460000,白沙黎族自治县,469025,15.4688937664
29,20010130,海南省,460000,白沙黎族自治县,469025,18.1371078491
30,20010131,海南省,460000,白沙黎族自治县,469025,21.2084355354
31,20010201,海南省,460000,白沙黎族自治县,469025,18.2607421875
32,20010202,海南省,460000,白沙黎族自治县,469025,16.9676280022
33,20010203,海南省,460000,白沙黎族自治县,469025,18.3675084114
34,20010204,海南省,460000,白沙黎族自治县,469025,16.4086973667
35,20010205,海南省,460000,白沙黎族自治县,469025,21.0511898994
36,20010206,海南省,460000,白沙黎族自治县,469025,22.6591267586
37,20010207,海南省,460000,白沙黎族自治县,469025,20.3889718056
38,20010208,海南省,460000,白沙黎族自治县,469025,17.9965000153
39,20010209,海南省,460000,白沙黎族自治县,469025,17.2731528282
40,20010210,海南省,460000,白沙黎族自治县,469025,15.0086915493
41,20010211,海南省,460000,白沙黎族自治县,469025,19.9812927246
42,20010212,海南省,460000,白沙黎族自治县,469025,20.6286616325
43,20010213,海南省,460000,白沙黎族自治县,469025,17.9932670593
44,20010214,海南省,460000,白沙黎族自治县,469025,14.5867316723
45,20010215,海南省,460000,白沙黎族自治县,469025,17.1292161942
46,20010216,海南省,460000,白沙黎族自治县,469025,18.6734333038
47,20010217,海南省,460000,白沙黎族自治县,469025,20.7951259613
48,20010218,海南省,460000,白沙黎族自治县,469025,21.6883640289
49,20010219,海南省,460000,白沙黎族自治县,469025,21.8683018684
50,20010220,海南省,460000,白沙黎族自治县,469025,21.8113055229
51,20010221,海南省,460000,白沙黎族自治县,469025,23.0478067398
52,20010222,海南省,460000,白沙黎族自治县,469025,23.8924446106
53,20010223,海南省,460000,白沙黎族自治县,469025,24.0127439499
54,20010224,海南省,460000,白沙黎族自治县,469025,22.8020114899
55,20010225,海南省,460000,白沙黎族自治县,469025,18.3449430466
56,20010226,海南省,460000,白沙黎族自治县,469025,19.7035293579
57,20010227,海南省,460000,白沙黎族自治县,469025,20.5797162056
58,20010228,海南省,460000,白沙黎族自治县,469025,17.877143383
59,20010301,海南省,460000,白沙黎族自治县,469025,18.2659959793
60,20010302,海南省,460000,白沙黎族自治县,469025,21.7405843735
61,20010303,海南省,460000,白沙黎族自治县,469025,21.5513429642
62,20010304,海南省,460000,白沙黎族自治县,469025,20.2699179649
63,20010305,海南省,460000,白沙黎族自治县,469025,22.5168838501
64,20010306,海南省,460000,白沙黎族自治县,469025,23.2076644897
65,20010307,海南省,460000,白沙黎族自治县,469025,23.7421665192
66,20010308,海南省,460000,白沙黎族自治县,469025,19.640642643
67,20010309,海南省,460000,白沙黎族自治县,469025,18.6500253677
68,20010310,海南省,460000,白沙黎族自治县,469025,21.4467639923
69,20010311,海南省,460000,白沙黎族自治县,469025,19.9429545403
70,20010312,海南省,460000,白沙黎族自治县,469025,18.3178482056
71,20010313,海南省,460000,白沙黎族自治县,469025,21.7129535675
72,20010314,海南省,460000,白沙黎族自治县,469025,23.5443539619
73,20010315,海南省,460000,白沙黎族自治县,469025,23.9930830002
74,20010316,海南省,460000,白沙黎族自治县,469025,25.0895094872
75,20010317,海南省,460000,白沙黎族自治县,469025,25.7362642288
76,20010318,海南省,460000,白沙黎族自治县,469025,25.9465036392
77,20010319,海南省,460000,白沙黎族自治县,469025,25.8731927872
78,20010320,海南省,460000,白沙黎族自治县,469025,24.6743717194
79,20010321,海南省,460000,白沙黎族自治县,469025,24.7756714821
80,20010322,海南省,460000,白沙黎族自治县,469025,26.7043952942
81,20010323,海南省,460000,白沙黎族自治县,469025,28.1649370193
82,20010324,海南省,460000,白沙黎族自治县,469025,28.6435217857
83,20010325,海南省,460000,白沙黎族自治县,469025,25.5084290504
84,20010326,海南省,460000,白沙黎族自治县,469025,22.6459937096
85,20010327,海南省,460000,白沙黎族自治县,469025,22.6687355042
86,20010328,海南省,460000,白沙黎族自治县,469025,24.4146180153
87,20010329,海南省,460000,白沙黎族自治县,469025,21.8631620407
88,20010330,海南省,460000,白沙黎族自治县,469025,23.7311487198
89,20010331,海南省,460000,白沙黎族自治县,469025,25.2756586075
90,20010401,海南省,460000,白沙黎族自治县,469025,24.4853730202
91,20010402,海南省,460000,白沙黎族自治县,469025,25.7625570297
92,20010403,海南省,460000,白沙黎族自治县,469025,27.2109336853
93,20010404,海南省,460000,白沙黎族自治县,469025,27.1166396141
94,20010405,海南省,460000,白沙黎族自治县,469025,26.8330225945
95,20010406,海南省,460000,白沙黎族自治县,469025,27.1644353867
96,20010407,海南省,460000,白沙黎族自治县,469025,28.4667248726
97,20010408,海南省,460000,白沙黎族自治县,469025,30.6138048172
98,20010409,海南省,460000,白沙黎族自治县,469025,31.012992382
99,20010410,海南省,460000,白沙黎族自治县,469025,29.972340107
100,20010411,海南省,460000,白沙黎族自治县,469025,18.0408110619
101,20010412,海南省,460000,白沙黎族自治县,469025,18.3520059586
102,20010413,海南省,460000,白沙黎族自治县,469025,22.8750872612
103,20010414,海南省,460000,白沙黎族自治县,469025,25.8053970337
104,20010415,海南省,460000,白沙黎族自治县,469025,26.0758581161
105,20010416,海南省,460000,白沙黎族自治县,469025,26.7164673805
106,20010417,海南省,460000,白沙黎族自治县,469025,27.4125189781
107,20010418,海南省,460000,白沙黎族自治县,469025,29.1434822083
108,20010419,海南省,460000,白沙黎族自治县,469025,30.5416092873
109,20010420,海南省,460000,白沙黎族自治县,469025,31.4288086891
110,20010421,海南省,460000,白沙黎族自治县,469025,31.3406295776
111,20010422,海南省,460000,白沙黎族自治县,469025,25.9671807289
112,20010423,海南省,460000,白沙黎族自治县,469025,27.8053092957
113,20010424,海南省,460000,白沙黎族自治县,469025,26.7555708885
114,20010425,海南省,460000,白沙黎族自治县,469025,24.4080243111
115,20010426,海南省,460000,白沙黎族自治县,469025,26.6592073441
116,20010427,海南省,460000,白沙黎族自治县,469025,27.8668117523
117,20010428,海南省,460000,白沙黎族自治县,469025,29.7365355492
118,20010429,海南省,460000,白沙黎族自治县,469025,29.0325961113
119,20010430,海南省,460000,白沙黎族自治县,469025,29.7160835266
120,20010501,海南省,460000,白沙黎族自治县,469025,25.7000112534
121,20010502,海南省,460000,白沙黎族自治县,469025,25.7754077911
122,20010503,海南省,460000,白沙黎族自治县,469025,26.790397644
123,20010504,海南省,460000,白沙黎族自治县,469025,27.4767670631
124,20010505,海南省,460000,白沙黎族自治县,469025,29.1520991325
125,20010506,海南省,460000,白沙黎族自治县,469025,31.1096954346
126,20010507,海南省,460000,白沙黎族自治县,469025,31.6459078789
