,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,甘肃省,620000,白银市,620400,-3.77088801677
1,20010102,甘肃省,620000,白银市,620400,-4.2070395488
2,20010103,甘肃省,620000,白银市,620400,-4.24748089222
3,20010104,甘肃省,620000,白银市,620400,-3.76633129212
4,20010105,甘肃省,620000,白银市,620400,-4.81667767121
5,20010106,甘肃省,620000,白银市,620400,-4.87856918115
6,20010107,甘肃省,620000,白银市,620400,-6.21306768747
7,20010108,甘肃省,620000,白银市,620400,-9.53293210727
8,20010109,甘肃省,620000,白银市,620400,-6.66879881345
9,20010110,甘肃省,620000,白银市,620400,-5.68436538256
10,20010111,甘肃省,620000,白银市,620400,-4.58762059303
11,20010112,甘肃省,620000,白银市,620400,-5.80149059112
12,20010113,甘肃省,620000,白银市,620400,-8.05446522052
13,20010114,甘肃省,620000,白银市,620400,-6.0927435068
14,20010115,甘肃省,620000,白银市,620400,-5.11010071864
15,20010116,甘肃省,620000,白银市,620400,-4.96518085553
16,20010117,甘肃省,620000,白银市,620400,-2.75426625059
17,20010118,甘肃省,620000,白银市,620400,-5.18015365876
18,20010119,甘肃省,620000,白银市,620400,-4.63395022887
19,20010120,甘肃省,620000,白银市,620400,-1.89380245713
20,20010121,甘肃省,620000,白银市,620400,-1.84384039159
21,20010122,甘肃省,620000,白银市,620400,-3.10977559136
22,20010123,甘肃省,620000,白银市,620400,-5.17984089943
23,20010124,甘肃省,620000,白银市,620400,-6.7455767118
24,20010125,甘肃省,620000,白银市,620400,-7.403846594
25,20010126,甘肃省,620000,白银市,620400,-7.76318648228
26,20010127,甘肃省,620000,白银市,620400,-8.87154956964
27,20010128,甘肃省,620000,白银市,620400,-7.97785424269
28,20010129,甘肃省,620000,白银市,620400,-6.49548084919
29,20010130,甘肃省,620000,白银市,620400,-5.31524106172
30,20010131,甘肃省,620000,白银市,620400,-6.16952088246
31,20010201,甘肃省,620000,白银市,620400,-4.56525593538
32,20010202,甘肃省,620000,白银市,620400,-4.55231331862
33,20010203,甘肃省,620000,白银市,620400,-3.67268903897
34,20010204,甘肃省,620000,白银市,620400,-2.07902308152
35,20010205,甘肃省,620000,白银市,620400,-1.53663203665
36,20010206,甘肃省,620000,白银市,620400,-4.31914788026
37,20010207,甘肃省,620000,白银市,620400,-4.95171696865
38,20010208,甘肃省,620000,白银市,620400,-3.36662028845
39,20010209,甘肃省,620000,白银市,620400,-2.78505040132
40,20010210,甘肃省,620000,白银市,620400,-1.67056362216
41,20010211,甘肃省,620000,白银市,620400,-4.18119110511
42,20010212,甘肃省,620000,白银市,620400,-6.20058183487
43,20010213,甘肃省,620000,白银市,620400,-4.56615275603
44,20010214,甘肃省,620000,白银市,620400,-2.82472429826
45,20010215,甘肃省,620000,白银市,620400,-2.3662840724
46,20010216,甘肃省,620000,白银市,620400,-1.62683531069
