,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,辽宁省,210000,盘锦市,211100,-9.07788247329
1,20010102,辽宁省,210000,盘锦市,211100,-15.7557243934
2,20010103,辽宁省,210000,盘锦市,211100,-15.3517838992
3,20010104,辽宁省,210000,盘锦市,211100,-16.0021112149
4,20010105,辽宁省,210000,盘锦市,211100,-15.4844509271
5,20010106,辽宁省,210000,盘锦市,211100,-9.76042901553
6,20010107,辽宁省,210000,盘锦市,211100,-9.57834749955
7,20010108,辽宁省,210000,盘锦市,211100,-10.8742248095
8,20010109,辽宁省,210000,盘锦市,211100,-15.1054094021
9,20010110,辽宁省,210000,盘锦市,211100,-19.929514078
10,20010111,辽宁省,210000,盘锦市,211100,-22.0536029522
11,20010112,辽宁省,210000,盘锦市,211100,-20.5888886085
12,20010113,辽宁省,210000,盘锦市,211100,-23.3856647198
13,20010114,辽宁省,210000,盘锦市,211100,-22.5183577904
14,20010115,辽宁省,210000,盘锦市,211100,-20.9195693089
15,20010116,辽宁省,210000,盘锦市,211100,-16.7082229761
16,20010117,辽宁省,210000,盘锦市,211100,-8.98669925103
17,20010118,辽宁省,210000,盘锦市,211100,-16.1448516846
18,20010119,辽宁省,210000,盘锦市,211100,-15.6142130632
19,20010120,辽宁省,210000,盘锦市,211100,-13.2472769664
20,20010121,辽宁省,210000,盘锦市,211100,-13.6479312457
21,20010122,辽宁省,210000,盘锦市,211100,-12.9178993519
22,20010123,辽宁省,210000,盘锦市,211100,-11.4651768758
23,20010124,辽宁省,210000,盘锦市,211100,-9.81247520447
24,20010125,辽宁省,210000,盘锦市,211100,-11.8969877683
25,20010126,辽宁省,210000,盘锦市,211100,-9.78674287062
26,20010127,辽宁省,210000,盘锦市,211100,-8.79438737723
27,20010128,辽宁省,210000,盘锦市,211100,-8.03809888546
28,20010129,辽宁省,210000,盘锦市,211100,-7.87854271669
29,20010130,辽宁省,210000,盘锦市,211100,-4.76883686506
30,20010131,辽宁省,210000,盘锦市,211100,-6.20807317587
31,20010201,辽宁省,210000,盘锦市,211100,-12.0995165018
32,20010202,辽宁省,210000,盘锦市,211100,-15.3536149538
33,20010203,辽宁省,210000,盘锦市,211100,-19.7957903055
34,20010204,辽宁省,210000,盘锦市,211100,-17.4186756427
35,20010205,辽宁省,210000,盘锦市,211100,-17.5933237809
36,20010206,辽宁省,210000,盘锦市,211100,-18.3132024912
37,20010207,辽宁省,210000,盘锦市,211100,-14.154750824
38,20010208,辽宁省,210000,盘锦市,211100,-6.77196953847
39,20010209,辽宁省,210000,盘锦市,211100,-8.00319271821
40,20010210,辽宁省,210000,盘锦市,211100,-13.5035331433
41,20010211,辽宁省,210000,盘锦市,211100,-14.1364594239
42,20010212,辽宁省,210000,盘锦市,211100,-9.81620231042
43,20010213,辽宁省,210000,盘锦市,211100,-10.0438100375
44,20010214,辽宁省,210000,盘锦市,211100,-7.55621759708
45,20010215,辽宁省,210000,盘锦市,211100,-9.35526840503
46,20010216,辽宁省,210000,盘锦市,211100,-4.48889127144
47,20010217,辽宁省,210000,盘锦市,211100,0.61648464776
48,20010218,辽宁省,210000,盘锦市,211100,-0.258433391412
49,20010219,辽宁省,210000,盘锦市,211100,-1.03123413599
50,20010220,辽宁省,210000,盘锦市,211100,3.10924577713
51,20010221,辽宁省,210000,盘锦市,211100,1.8862732007
52,20010222,辽宁省,210000,盘锦市,211100,-2.00128928515
53,20010223,辽宁省,210000,盘锦市,211100,-5.91733928827
54,20010224,辽宁省,210000,盘锦市,211100,-4.69095255778
55,20010225,辽宁省,210000,盘锦市,211100,-1.72610068321
56,20010226,辽宁省,210000,盘锦市,211100,2.80706689908
57,20010227,辽宁省,210000,盘锦市,211100,1.30524848058
58,20010228,辽宁省,210000,盘锦市,211100,1.61136974738
59,20010301,辽宁省,210000,盘锦市,211100,0.211412053269
60,20010302,辽宁省,210000,盘锦市,211100,3.18880347105
61,20010303,辽宁省,210000,盘锦市,211100,-0.434174808136
62,20010304,辽宁省,210000,盘锦市,211100,-2.20249023804
63,20010305,辽宁省,210000,盘锦市,211100,-0.325100802566
64,20010306,辽宁省,210000,盘锦市,211100,-5.31891327638
65,20010307,辽宁省,210000,盘锦市,211100,-6.73640775681
66,20010308,辽宁省,210000,盘锦市,211100,-6.79173689622
67,20010309,辽宁省,210000,盘锦市,211100,-5.62125378389
68,20010310,辽宁省,210000,盘锦市,211100,-5.45265582892
69,20010311,辽宁省,210000,盘锦市,211100,-2.17417460222
70,20010312,辽宁省,210000,盘锦市,211100,1.93482472346
71,20010313,辽宁省,210000,盘锦市,211100,6.89038401384
72,20010314,辽宁省,210000,盘锦市,211100,-2.00019020301
73,20010315,辽宁省,210000,盘锦市,211100,1.76455166707
74,20010316,辽宁省,210000,盘锦市,211100,5.20830385502
75,20010317,辽宁省,210000,盘锦市,211100,6.41995818798
76,20010318,辽宁省,210000,盘锦市,211100,9.59467139611
77,20010319,辽宁省,210000,盘锦市,211100,10.9901176599
78,20010320,辽宁省,210000,盘锦市,211100,5.44236634328
79,20010321,辽宁省,210000,盘锦市,211100,5.0128498811
80,20010322,辽宁省,210000,盘锦市,211100,2.75600979878
81,20010323,辽宁省,210000,盘锦市,211100,5.79455661774
82,20010324,辽宁省,210000,盘锦市,211100,4.07188307322
83,20010325,辽宁省,210000,盘锦市,211100,0.187991986481
84,20010326,辽宁省,210000,盘锦市,211100,-0.541037040118
85,20010327,辽宁省,210000,盘锦市,211100,0.321802901494
86,20010328,辽宁省,210000,盘锦市,211100,2.35509786239
87,20010329,辽宁省,210000,盘锦市,211100,2.78927309696
88,20010330,辽宁省,210000,盘锦市,211100,3.10289017971
89,20010331,辽宁省,210000,盘锦市,211100,5.30808327748
90,20010401,辽宁省,210000,盘锦市,211100,9.27703043131
91,20010402,辽宁省,210000,盘锦市,211100,7.48201942444
92,20010403,辽宁省,210000,盘锦市,211100,7.31349178461
93,20010404,辽宁省,210000,盘锦市,211100,10.5356262647
94,20010405,辽宁省,210000,盘锦市,211100,9.63287940392
95,20010406,辽宁省,210000,盘锦市,211100,9.50154942733
96,20010407,辽宁省,210000,盘锦市,211100,10.5707517037
97,20010408,辽宁省,210000,盘锦市,211100,11.6914369143
98,20010409,辽宁省,210000,盘锦市,211100,9.3392124176
99,20010410,辽宁省,210000,盘锦市,211100,8.70589336982
100,20010411,辽宁省,210000,盘锦市,211100,7.91591424208
101,20010412,辽宁省,210000,盘锦市,211100,9.72088821118
102,20010413,辽宁省,210000,盘锦市,211100,9.20455881265
103,20010414,辽宁省,210000,盘锦市,211100,12.1234945151
104,20010415,辽宁省,210000,盘锦市,211100,15.4893712997
105,20010416,辽宁省,210000,盘锦市,211100,16.7035580415
106,20010417,辽宁省,210000,盘锦市,211100,17.1073143299
107,20010418,辽宁省,210000,盘锦市,211100,16.4481479205
108,20010419,辽宁省,210000,盘锦市,211100,7.62529919698
109,20010420,辽宁省,210000,盘锦市,211100,10.5138254166
110,20010421,辽宁省,210000,盘锦市,211100,10.6669839712
111,20010422,辽宁省,210000,盘锦市,211100,14.2332900121
112,20010423,辽宁省,210000,盘锦市,211100,11.0663718444
113,20010424,辽宁省,210000,盘锦市,211100,11.9443004315
114,20010425,辽宁省,210000,盘锦市,211100,14.1837940216
115,20010426,辽宁省,210000,盘锦市,211100,15.7403676693
116,20010427,辽宁省,210000,盘锦市,211100,13.6031593176
117,20010428,辽宁省,210000,盘锦市,211100,14.8478367879
118,20010429,辽宁省,210000,盘锦市,211100,17.5605121026
119,20010430,辽宁省,210000,盘锦市,211100,11.2742189994
120,20010501,辽宁省,210000,盘锦市,211100,14.4369077682
121,20010502,辽宁省,210000,盘锦市,211100,14.2278203231
122,20010503,辽宁省,210000,盘锦市,211100,14.7242618708
123,20010504,辽宁省,210000,盘锦市,211100,14.6018853554
124,20010505,辽宁省,210000,盘锦市,211100,15.6159524184
125,20010506,辽宁省,210000,盘锦市,211100,11.8539975973
126,20010507,辽宁省,210000,盘锦市,211100,15.0950928468
127,20010508,辽宁省,210000,盘锦市,211100,12.794652572
128,20010509,辽宁省,210000,盘锦市,211100,14.4818303768
129,20010510,辽宁省,210000,盘锦市,211100,14.1929737971
130,20010511,辽宁省,210000,盘锦市,211100,19.3089988415
131,20010512,辽宁省,210000,盘锦市,211100,22.033507127
132,20010513,辽宁省,210000,盘锦市,211100,23.1903856718
133,20010514,辽宁省,210000,盘锦市,211100,18.8966488471
134,20010515,辽宁省,210000,盘锦市,211100,15.7045676892
135,20010516,辽宁省,210000,盘锦市,211100,21.1175773327
136,20010517,辽宁省,210000,盘锦市,211100,22.4008703965
137,20010518,辽宁省,210000,盘锦市,211100,20.5132386134
138,20010519,辽宁省,210000,盘锦市,211100,25.751572829
139,20010520,辽宁省,210000,盘锦市,211100,24.7742630885
140,20010521,辽宁省,210000,盘锦市,211100,21.2099066514
141,20010522,辽宁省,210000,盘锦市,211100,23.079277332
142,20010523,辽宁省,210000,盘锦市,211100,23.1117899968
143,20010524,辽宁省,210000,盘锦市,211100,20.4197634183
144,20010525,辽宁省,210000,盘锦市,211100,19.1354902708
145,20010526,辽宁省,210000,盘锦市,211100,21.5884274703
146,20010527,辽宁省,210000,盘锦市,211100,24.4711357997
147,20010528,辽宁省,210000,盘锦市,211100,24.4609399942
148,20010529,辽宁省,210000,盘锦市,211100,16.7301999606
149,20010530,辽宁省,210000,盘锦市,211100,19.5626848661
150,20010531,辽宁省,210000,盘锦市,211100,21.8571040814
151,20010601,辽宁省,210000,盘锦市,211100,24.1642601307
152,20010602,辽宁省,210000,盘锦市,211100,25.2149539361
153,20010603,辽宁省,210000,盘锦市,211100,27.7022119669
154,20010604,辽宁省,210000,盘锦市,211100,28.1650999509
155,20010605,辽宁省,210000,盘锦市,211100,26.5225282816
156,20010606,辽宁省,210000,盘锦市,211100,25.2035259834
157,20010607,辽宁省,210000,盘锦市,211100,23.0539971865
158,20010608,辽宁省,210000,盘锦市,211100,25.5244494218
159,20010609,辽宁省,210000,盘锦市,211100,24.3345031738
160,20010610,辽宁省,210000,盘锦市,211100,26.6768926474
161,20010611,辽宁省,210000,盘锦市,211100,21.9116585071
162,20010612,辽宁省,210000,盘锦市,211100,23.2739580595
163,20010613,辽宁省,210000,盘锦市,211100,22.3850820982
164,20010614,辽宁省,210000,盘锦市,211100,21.7731489035
165,20010615,辽宁省,210000,盘锦市,211100,19.8567390442
166,20010616,辽宁省,210000,盘锦市,211100,20.0222518627
167,20010617,辽宁省,210000,盘锦市,211100,20.9800819984
168,20010618,辽宁省,210000,盘锦市,211100,21.9973432101
169,20010619,辽宁省,210000,盘锦市,211100,21.2255934202
170,20010620,辽宁省,210000,盘锦市,211100,22.8429729755
171,20010621,辽宁省,210000,盘锦市,211100,22.0971315824
172,20010622,辽宁省,210000,盘锦市,211100,21.234868123
173,20010623,辽宁省,210000,盘锦市,211100,24.0248383742
174,20010624,辽宁省,210000,盘锦市,211100,23.5611770336
175,20010625,辽宁省,210000,盘锦市,211100,24.4774516179
176,20010626,辽宁省,210000,盘锦市,211100,23.0037828592
177,20010627,辽宁省,210000,盘锦市,211100,25.6905670166
178,20010628,辽宁省,210000,盘锦市,211100,24.1478140904
179,20010629,辽宁省,210000,盘锦市,211100,23.0399263822
180,20010630,辽宁省,210000,盘锦市,211100,24.0353711935
181,20010701,辽宁省,210000,盘锦市,211100,26.3915678171
182,20010702,辽宁省,210000,盘锦市,211100,25.6043968201
183,20010703,辽宁省,210000,盘锦市,211100,25.4508600969
184,20010704,辽宁省,210000,盘锦市,211100,20.9239402184
185,20010705,辽宁省,210000,盘锦市,211100,25.9056622432
186,20010706,辽宁省,210000,盘锦市,211100,27.6202044854
187,20010707,辽宁省,210000,盘锦市,211100,26.5189179641
188,20010708,辽宁省,210000,盘锦市,211100,26.4415019109
189,20010709,辽宁省,210000,盘锦市,211100,23.1131327702
190,20010710,辽宁省,210000,盘锦市,211100,26.1326283675
191,20010711,辽宁省,210000,盘锦市,211100,27.1208708836
192,20010712,辽宁省,210000,盘锦市,211100,25.2615187718
193,20010713,辽宁省,210000,盘锦市,211100,26.6546576573
194,20010714,辽宁省,210000,盘锦市,211100,25.3142295251
195,20010715,辽宁省,210000,盘锦市,211100,26.2231256045
196,20010716,辽宁省,210000,盘锦市,211100,27.409191425
197,20010717,辽宁省,210000,盘锦市,211100,27.8153123122
198,20010718,辽宁省,210000,盘锦市,211100,27.6547073951
199,20010719,辽宁省,210000,盘锦市,211100,25.0664218022
200,20010720,辽宁省,210000,盘锦市,211100,26.6414391444
201,20010721,辽宁省,210000,盘锦市,211100,24.496792133
202,20010722,辽宁省,210000,盘锦市,211100,25.4886549436
203,20010723,辽宁省,210000,盘锦市,211100,26.6561382
204,20010724,辽宁省,210000,盘锦市,211100,27.7631351764
205,20010725,辽宁省,210000,盘锦市,211100,25.5709699484
206,20010726,辽宁省,210000,盘锦市,211100,26.0342068305
207,20010727,辽宁省,210000,盘锦市,211100,24.5726864155
208,20010728,辽宁省,210000,盘锦市,211100,22.5694851509
209,20010729,辽宁省,210000,盘锦市,211100,26.012570748
210,20010730,辽宁省,210000,盘锦市,211100,26.1542531527
211,20010731,辽宁省,210000,盘锦市,211100,25.9211193965
212,20010801,辽宁省,210000,盘锦市,211100,26.1625103584
213,20010802,辽宁省,210000,盘锦市,211100,24.1887559157
214,20010803,辽宁省,210000,盘锦市,211100,26.5578965407
215,20010804,辽宁省,210000,盘锦市,211100,23.5971698761
216,20010805,辽宁省,210000,盘锦市,211100,26.0278189732
217,20010806,辽宁省,210000,盘锦市,211100,25.4065886277
218,20010807,辽宁省,210000,盘锦市,211100,22.5052114633
219,20010808,辽宁省,210000,盘锦市,211100,23.33259069
220,20010809,辽宁省,210000,盘锦市,211100,25.1286263099
221,20010810,辽宁省,210000,盘锦市,211100,25.2832609323
222,20010811,辽宁省,210000,盘锦市,211100,26.0598041828
223,20010812,辽宁省,210000,盘锦市,211100,26.3515777588
224,20010813,辽宁省,210000,盘锦市,211100,24.0918169755
225,20010814,辽宁省,210000,盘锦市,211100,23.8445579822
226,20010815,辽宁省,210000,盘锦市,211100,25.1849808326
227,20010816,辽宁省,210000,盘锦市,211100,23.8616652856
228,20010817,辽宁省,210000,盘锦市,211100,24.1624519642
229,20010818,辽宁省,210000,盘锦市,211100,26.1988496047
230,20010819,辽宁省,210000,盘锦市,211100,25.9066085815
231,20010820,辽宁省,210000,盘锦市,211100,21.152862989
232,20010821,辽宁省,210000,盘锦市,211100,23.7795019883
233,20010822,辽宁省,210000,盘锦市,211100,24.4012919206
234,20010823,辽宁省,210000,盘锦市,211100,24.4995046762
235,20010824,辽宁省,210000,盘锦市,211100,21.8605072315
236,20010825,辽宁省,210000,盘锦市,211100,21.5840317653
237,20010826,辽宁省,210000,盘锦市,211100,21.2258466574
238,20010827,辽宁省,210000,盘锦市,211100,22.9871025085
239,20010828,辽宁省,210000,盘锦市,211100,23.3867723025
240,20010829,辽宁省,210000,盘锦市,211100,23.7105773045
241,20010830,辽宁省,210000,盘锦市,211100,23.4481658936
242,20010831,辽宁省,210000,盘锦市,211100,23.813183271
243,20010901,辽宁省,210000,盘锦市,211100,24.1635184655
244,20010902,辽宁省,210000,盘锦市,211100,25.156406696
245,20010903,辽宁省,210000,盘锦市,211100,25.2388449449
246,20010904,辽宁省,210000,盘锦市,211100,25.0092308338
247,20010905,辽宁省,210000,盘锦市,211100,18.9665709275
248,20010906,辽宁省,210000,盘锦市,211100,20.4075192672
249,20010907,辽宁省,210000,盘锦市,211100,22.122683305
250,20010908,辽宁省,210000,盘锦市,211100,21.3851330097
251,20010909,辽宁省,210000,盘锦市,211100,18.8914312216
252,20010910,辽宁省,210000,盘锦市,211100,18.2668377803
253,20010911,辽宁省,210000,盘锦市,211100,20.8124483549
254,20010912,辽宁省,210000,盘锦市,211100,21.8360526745
255,20010913,辽宁省,210000,盘锦市,211100,22.0008666699
256,20010914,辽宁省,210000,盘锦市,211100,22.2159704062
257,20010915,辽宁省,210000,盘锦市,211100,23.0308206998
258,20010916,辽宁省,210000,盘锦市,211100,19.1818692134
259,20010917,辽宁省,210000,盘锦市,211100,18.0513021029
