,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,河北省,130000,秦皇岛市,130300,-3.10503182709
1,20010102,河北省,130000,秦皇岛市,130300,-8.59323527813
2,20010103,河北省,130000,秦皇岛市,130300,-12.3093621731
3,20010104,河北省,130000,秦皇岛市,130300,-11.1739412069
4,20010105,河北省,130000,秦皇岛市,130300,-7.41436443329
5,20010106,河北省,130000,秦皇岛市,130300,-5.3540443182
6,20010107,河北省,130000,秦皇岛市,130300,-2.83712624907
7,20010108,河北省,130000,秦皇岛市,130300,-5.98146517277
8,20010109,河北省,130000,秦皇岛市,130300,-8.88210151196
9,20010110,河北省,130000,秦皇岛市,130300,-10.4719255447
10,20010111,河北省,130000,秦皇岛市,130300,-14.6977529526
11,20010112,河北省,130000,秦皇岛市,130300,-13.5787352085
12,20010113,河北省,130000,秦皇岛市,130300,-15.5612003803
13,20010114,河北省,130000,秦皇岛市,130300,-16.4334647179
14,20010115,河北省,130000,秦皇岛市,130300,-15.8699350357
15,20010116,河北省,130000,秦皇岛市,130300,-12.396913147
16,20010117,河北省,130000,秦皇岛市,130300,-8.20315012932
17,20010118,河北省,130000,秦皇岛市,130300,-8.0387419939
18,20010119,河北省,130000,秦皇岛市,130300,-9.84426116943
19,20010120,河北省,130000,秦皇岛市,130300,-10.0040962458
20,20010121,河北省,130000,秦皇岛市,130300,-8.50014207363
21,20010122,河北省,130000,秦皇岛市,130300,-8.59778523445
22,20010123,河北省,130000,秦皇岛市,130300,-7.03321082592
23,20010124,河北省,130000,秦皇岛市,130300,-6.09705269337
24,20010125,河北省,130000,秦皇岛市,130300,-5.45751063824
25,20010126,河北省,130000,秦皇岛市,130300,-5.46515445709
26,20010127,河北省,130000,秦皇岛市,130300,-4.62857570648
27,20010128,河北省,130000,秦皇岛市,130300,-5.88278625011
28,20010129,河北省,130000,秦皇岛市,130300,-5.02672989368
29,20010130,河北省,130000,秦皇岛市,130300,-2.95535241961
30,20010131,河北省,130000,秦皇岛市,130300,-2.53967588544
31,20010201,河北省,130000,秦皇岛市,130300,-6.8347253561
32,20010202,河北省,130000,秦皇岛市,130300,-7.07692773342
33,20010203,河北省,130000,秦皇岛市,130300,-12.2629962921
34,20010204,河北省,130000,秦皇岛市,130300,-10.8539213181
35,20010205,河北省,130000,秦皇岛市,130300,-10.7677781105
36,20010206,河北省,130000,秦皇岛市,130300,-11.2083237648
37,20010207,河北省,130000,秦皇岛市,130300,-8.98776190281
38,20010208,河北省,130000,秦皇岛市,130300,-5.57240080833
39,20010209,河北省,130000,秦皇岛市,130300,-4.52199258804
40,20010210,河北省,130000,秦皇岛市,130300,-8.61366398335
41,20010211,河北省,130000,秦皇岛市,130300,-9.67208480835
42,20010212,河北省,130000,秦皇岛市,130300,-6.11944913864
43,20010213,河北省,130000,秦皇岛市,130300,-5.59245314598
44,20010214,河北省,130000,秦皇岛市,130300,-5.53449406624
45,20010215,河北省,130000,秦皇岛市,130300,-4.78327219486
46,20010216,河北省,130000,秦皇岛市,130300,-1.9509091258
47,20010217,河北省,130000,秦皇岛市,130300,-0.60028613396
48,20010218,河北省,130000,秦皇岛市,130300,2.55183128119
49,20010219,河北省,130000,秦皇岛市,130300,2.18394463658
50,20010220,河北省,130000,秦皇岛市,130300,1.58204439282
51,20010221,河北省,130000,秦皇岛市,130300,4.00355805159
52,20010222,河北省,130000,秦皇岛市,130300,0.573982459889
53,20010223,河北省,130000,秦皇岛市,130300,-3.04803640246
54,20010224,河北省,130000,秦皇岛市,130300,-2.0668977499
55,20010225,河北省,130000,秦皇岛市,130300,1.05001009256
56,20010226,河北省,130000,秦皇岛市,130300,3.08357731104
57,20010227,河北省,130000,秦皇岛市,130300,2.25490577221
58,20010228,河北省,130000,秦皇岛市,130300,3.2649672389
59,20010301,河北省,130000,秦皇岛市,130300,3.91271630526
60,20010302,河北省,130000,秦皇岛市,130300,4.76929607391
61,20010303,河北省,130000,秦皇岛市,130300,-0.389826039225
62,20010304,河北省,130000,秦皇岛市,130300,-0.159136291593
63,20010305,河北省,130000,秦皇岛市,130300,2.03097566962
64,20010306,河北省,130000,秦皇岛市,130300,-1.80418332983
65,20010307,河北省,130000,秦皇岛市,130300,-3.71324716806
66,20010308,河北省,130000,秦皇岛市,130300,-2.94661669135
67,20010309,河北省,130000,秦皇岛市,130300,0.96097259447
68,20010310,河北省,130000,秦皇岛市,130300,-1.39056984186
69,20010311,河北省,130000,秦皇岛市,130300,0.925783579797
70,20010312,河北省,130000,秦皇岛市,130300,5.26719770432
71,20010313,河北省,130000,秦皇岛市,130300,9.19647045135
72,20010314,河北省,130000,秦皇岛市,130300,2.06447306275
73,20010315,河北省,130000,秦皇岛市,130300,5.83623533249
74,20010316,河北省,130000,秦皇岛市,130300,8.07569544315
75,20010317,河北省,130000,秦皇岛市,130300,8.7361164093
76,20010318,河北省,130000,秦皇岛市,130300,11.0309857845
77,20010319,河北省,130000,秦皇岛市,130300,15.2792723179
78,20010320,河北省,130000,秦皇岛市,130300,9.17475862503
79,20010321,河北省,130000,秦皇岛市,130300,8.70961389542
80,20010322,河北省,130000,秦皇岛市,130300,6.5541601181
81,20010323,河北省,130000,秦皇岛市,130300,8.06773509979
82,20010324,河北省,130000,秦皇岛市,130300,6.85518941879
83,20010325,河北省,130000,秦皇岛市,130300,1.52029906511
84,20010326,河北省,130000,秦皇岛市,130300,1.22306330372
85,20010327,河北省,130000,秦皇岛市,130300,0.212333720736
86,20010328,河北省,130000,秦皇岛市,130300,1.77857706845
87,20010329,河北省,130000,秦皇岛市,130300,3.37801462412
88,20010330,河北省,130000,秦皇岛市,130300,2.92986637354
89,20010331,河北省,130000,秦皇岛市,130300,7.49704003334
90,20010401,河北省,130000,秦皇岛市,130300,13.5509083271
91,20010402,河北省,130000,秦皇岛市,130300,8.30717432499
92,20010403,河北省,130000,秦皇岛市,130300,9.68141050339
93,20010404,河北省,130000,秦皇岛市,130300,13.2125967979
94,20010405,河北省,130000,秦皇岛市,130300,9.68725185394
95,20010406,河北省,130000,秦皇岛市,130300,9.58716816902
