,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,黑龙江省,230000,绥化市,231200,-26.11066088
1,20010102,黑龙江省,230000,绥化市,231200,-26.2866910117
2,20010103,黑龙江省,230000,绥化市,231200,-24.9043629238
3,20010104,黑龙江省,230000,绥化市,231200,-25.14583802
4,20010105,黑龙江省,230000,绥化市,231200,-26.2463437762
5,20010106,黑龙江省,230000,绥化市,231200,-24.1451283773
6,20010107,黑龙江省,230000,绥化市,231200,-18.4789610726
7,20010108,黑龙江省,230000,绥化市,231200,-16.7591064362
8,20010109,黑龙江省,230000,绥化市,231200,-27.0051925114
9,20010110,黑龙江省,230000,绥化市,231200,-32.363921883
10,20010111,黑龙江省,230000,绥化市,231200,-32.8901123955
11,20010112,黑龙江省,230000,绥化市,231200,-32.2596488044
12,20010113,黑龙江省,230000,绥化市,231200,-30.8312467484
13,20010114,黑龙江省,230000,绥化市,231200,-30.0893727439
14,20010115,黑龙江省,230000,绥化市,231200,-29.3040543692
15,20010116,黑龙江省,230000,绥化市,231200,-28.3115542639
16,20010117,黑龙江省,230000,绥化市,231200,-25.5965554737
17,20010118,黑龙江省,230000,绥化市,231200,-26.0233289446
18,20010119,黑龙江省,230000,绥化市,231200,-24.8784729367
19,20010120,黑龙江省,230000,绥化市,231200,-26.0715021588
20,20010121,黑龙江省,230000,绥化市,231200,-25.5405058543
21,20010122,黑龙江省,230000,绥化市,231200,-24.5595837366
22,20010123,黑龙江省,230000,绥化市,231200,-22.8116805667
23,20010124,黑龙江省,230000,绥化市,231200,-19.0545522054
24,20010125,黑龙江省,230000,绥化市,231200,-19.632085782
25,20010126,黑龙江省,230000,绥化市,231200,-16.5141772497
26,20010127,黑龙江省,230000,绥化市,231200,-16.4416439056
27,20010128,黑龙江省,230000,绥化市,231200,-19.654178692
28,20010129,黑龙江省,230000,绥化市,231200,-19.2370145162
29,20010130,黑龙江省,230000,绥化市,231200,-19.2905474708
30,20010131,黑龙江省,230000,绥化市,231200,-16.0464530763
31,20010201,黑龙江省,230000,绥化市,231200,-23.4018269493
32,20010202,黑龙江省,230000,绥化市,231200,-27.4587323143
33,20010203,黑龙江省,230000,绥化市,231200,-29.8067618234
34,20010204,黑龙江省,230000,绥化市,231200,-29.2570239476
35,20010205,黑龙江省,230000,绥化市,231200,-26.498920913
36,20010206,黑龙江省,230000,绥化市,231200,-27.162074298
37,20010207,黑龙江省,230000,绥化市,231200,-25.5525112879
38,20010208,黑龙江省,230000,绥化市,231200,-22.6871962593
39,20010209,黑龙江省,230000,绥化市,231200,-23.0716237386
40,20010210,黑龙江省,230000,绥化市,231200,-24.5902796972
41,20010211,黑龙江省,230000,绥化市,231200,-24.7925898961
42,20010212,黑龙江省,230000,绥化市,231200,-23.9276015872
43,20010213,黑龙江省,230000,绥化市,231200,-23.5898344312
44,20010214,黑龙江省,230000,绥化市,231200,-22.684278688
45,20010215,黑龙江省,230000,绥化市,231200,-20.6781450362
46,20010216,黑龙江省,230000,绥化市,231200,-15.8229157402
47,20010217,黑龙江省,230000,绥化市,231200,-10.8464832033
48,20010218,黑龙江省,230000,绥化市,231200,-11.0116422017
49,20010219,黑龙江省,230000,绥化市,231200,-10.7872090022
50,20010220,黑龙江省,230000,绥化市,231200,-4.69303115663
51,20010221,黑龙江省,230000,绥化市,231200,-5.70495809828
52,20010222,黑龙江省,230000,绥化市,231200,-10.1442562194
53,20010223,黑龙江省,230000,绥化市,231200,-14.3480821065
54,20010224,黑龙江省,230000,绥化市,231200,-15.1672284353
55,20010225,黑龙江省,230000,绥化市,231200,-13.962818727
56,20010226,黑龙江省,230000,绥化市,231200,-8.21175258727
57,20010227,黑龙江省,230000,绥化市,231200,-7.17719638461
58,20010228,黑龙江省,230000,绥化市,231200,-10.5160242353
59,20010301,黑龙江省,230000,绥化市,231200,-10.9048750741
60,20010302,黑龙江省,230000,绥化市,231200,-7.58115525927
61,20010303,黑龙江省,230000,绥化市,231200,-7.25577683222
62,20010304,黑龙江省,230000,绥化市,231200,-10.1901448386
63,20010305,黑龙江省,230000,绥化市,231200,-13.0154021309
64,20010306,黑龙江省,230000,绥化市,231200,-12.6011496953
65,20010307,黑龙江省,230000,绥化市,231200,-13.5905969256
66,20010308,黑龙江省,230000,绥化市,231200,-14.07555829
67,20010309,黑龙江省,230000,绥化市,231200,-13.8240479151
68,20010310,黑龙江省,230000,绥化市,231200,-12.1608501162
69,20010311,黑龙江省,230000,绥化市,231200,-12.4390134085
70,20010312,黑龙江省,230000,绥化市,231200,-9.96212643215
71,20010313,黑龙江省,230000,绥化市,231200,-4.89901642459
72,20010314,黑龙江省,230000,绥化市,231200,-5.58619538262
73,20010315,黑龙江省,230000,绥化市,231200,-4.55333972431
74,20010316,黑龙江省,230000,绥化市,231200,0.640690371235
75,20010317,黑龙江省,230000,绥化市,231200,1.84952385596
76,20010318,黑龙江省,230000,绥化市,231200,-0.366086130341
77,20010319,黑龙江省,230000,绥化市,231200,2.25707585159
78,20010320,黑龙江省,230000,绥化市,231200,-4.72364125025
79,20010321,黑龙江省,230000,绥化市,231200,-4.38387728646
80,20010322,黑龙江省,230000,绥化市,231200,-5.47257900919
81,20010323,黑龙江省,230000,绥化市,231200,-4.05978398096
82,20010324,黑龙江省,230000,绥化市,231200,-1.75969614415
83,20010325,黑龙江省,230000,绥化市,231200,-1.68819673799
84,20010326,黑龙江省,230000,绥化市,231200,-2.44004020237
85,20010327,黑龙江省,230000,绥化市,231200,-2.38774322328
86,20010328,黑龙江省,230000,绥化市,231200,-1.11892038718
87,20010329,黑龙江省,230000,绥化市,231200,-0.0372325117744
88,20010330,黑龙江省,230000,绥化市,231200,1.18836343005
89,20010331,黑龙江省,230000,绥化市,231200,3.44563188099
90,20010401,黑龙江省,230000,绥化市,231200,2.18437621977
91,20010402,黑龙江省,230000,绥化市,231200,1.19250057794
92,20010403,黑龙江省,230000,绥化市,231200,3.45328574635
93,20010404,黑龙江省,230000,绥化市,231200,4.65127464703
94,20010405,黑龙江省,230000,绥化市,231200,2.74659985815
95,20010406,黑龙江省,230000,绥化市,231200,7.45130106154
96,20010407,黑龙江省,230000,绥化市,231200,7.6503884815
97,20010408,黑龙江省,230000,绥化市,231200,7.00825557255
98,20010409,黑龙江省,230000,绥化市,231200,5.95778831754
99,20010410,黑龙江省,230000,绥化市,231200,3.87714833532
100,20010411,黑龙江省,230000,绥化市,231200,3.21066433362
101,20010412,黑龙江省,230000,绥化市,231200,5.61870713915
102,20010413,黑龙江省,230000,绥化市,231200,6.01955455144
103,20010414,黑龙江省,230000,绥化市,231200,5.18879756473
104,20010415,黑龙江省,230000,绥化市,231200,10.0645751317
105,20010416,黑龙江省,230000,绥化市,231200,6.26103487242
106,20010417,黑龙江省,230000,绥化市,231200,13.2269216901
107,20010418,黑龙江省,230000,绥化市,231200,3.44804935569
108,20010419,黑龙江省,230000,绥化市,231200,0.658929700644
109,20010420,黑龙江省,230000,绥化市,231200,5.25756797336
110,20010421,黑龙江省,230000,绥化市,231200,4.00433838708
111,20010422,黑龙江省,230000,绥化市,231200,7.82821314221
112,20010423,黑龙江省,230000,绥化市,231200,3.88004816146
113,20010424,黑龙江省,230000,绥化市,231200,6.81217136837
114,20010425,黑龙江省,230000,绥化市,231200,9.52845051629
115,20010426,黑龙江省,230000,绥化市,231200,13.8758855911
116,20010427,黑龙江省,230000,绥化市,231200,16.3452289854
117,20010428,黑龙江省,230000,绥化市,231200,12.5473103932
118,20010429,黑龙江省,230000,绥化市,231200,16.3001164845
119,20010430,黑龙江省,230000,绥化市,231200,14.4314976919
120,20010501,黑龙江省,230000,绥化市,231200,15.5246883574
121,20010502,黑龙江省,230000,绥化市,231200,15.191895821
122,20010503,黑龙江省,230000,绥化市,231200,14.9733431862
123,20010504,黑龙江省,230000,绥化市,231200,7.85353918984
124,20010505,黑龙江省,230000,绥化市,231200,5.959809712
125,20010506,黑龙江省,230000,绥化市,231200,11.237384233
126,20010507,黑龙江省,230000,绥化市,231200,9.08362022127
127,20010508,黑龙江省,230000,绥化市,231200,10.9683168593
128,20010509,黑龙江省,230000,绥化市,231200,10.8880788985
129,20010510,黑龙江省,230000,绥化市,231200,13.1324039641
130,20010511,黑龙江省,230000,绥化市,231200,19.3901768821
131,20010512,黑龙江省,230000,绥化市,231200,23.1622901553
132,20010513,黑龙江省,230000,绥化市,231200,26.7266634078
133,20010514,黑龙江省,230000,绥化市,231200,21.4418201628
134,20010515,黑龙江省,230000,绥化市,231200,10.5286071414
135,20010516,黑龙江省,230000,绥化市,231200,13.8723592395
136,20010517,黑龙江省,230000,绥化市,231200,15.7470726831
137,20010518,黑龙江省,230000,绥化市,231200,10.9050680251
138,20010519,黑龙江省,230000,绥化市,231200,15.5127256303
139,20010520,黑龙江省,230000,绥化市,231200,17.4447977157
140,20010521,黑龙江省,230000,绥化市,231200,18.7923126947
141,20010522,黑龙江省,230000,绥化市,231200,16.8967827388
142,20010523,黑龙江省,230000,绥化市,231200,17.3658447629
143,20010524,黑龙江省,230000,绥化市,231200,17.8753232865
144,20010525,黑龙江省,230000,绥化市,231200,15.4653300512
145,20010526,黑龙江省,230000,绥化市,231200,14.7373165403
146,20010527,黑龙江省,230000,绥化市,231200,21.1151556106
147,20010528,黑龙江省,230000,绥化市,231200,16.0359862282
148,20010529,黑龙江省,230000,绥化市,231200,13.7988320124
149,20010530,黑龙江省,230000,绥化市,231200,13.5724652972
150,20010531,黑龙江省,230000,绥化市,231200,15.6572484153
151,20010601,黑龙江省,230000,绥化市,231200,20.9923428127
152,20010602,黑龙江省,230000,绥化市,231200,20.8399382092
153,20010603,黑龙江省,230000,绥化市,231200,26.0139245533
154,20010604,黑龙江省,230000,绥化市,231200,30.1037462325
155,20010605,黑龙江省,230000,绥化市,231200,20.5742392585
156,20010606,黑龙江省,230000,绥化市,231200,15.1287193934
157,20010607,黑龙江省,230000,绥化市,231200,18.5613785698
158,20010608,黑龙江省,230000,绥化市,231200,17.3094822838
159,20010609,黑龙江省,230000,绥化市,231200,19.5365128835
160,20010610,黑龙江省,230000,绥化市,231200,20.9660023281
161,20010611,黑龙江省,230000,绥化市,231200,20.3040162768
162,20010612,黑龙江省,230000,绥化市,231200,17.5390603656
163,20010613,黑龙江省,230000,绥化市,231200,15.4533074424
164,20010614,黑龙江省,230000,绥化市,231200,17.5582828885
165,20010615,黑龙江省,230000,绥化市,231200,21.2103824434
166,20010616,黑龙江省,230000,绥化市,231200,20.4079739889
167,20010617,黑龙江省,230000,绥化市,231200,21.4572077978
168,20010618,黑龙江省,230000,绥化市,231200,22.6539925167
169,20010619,黑龙江省,230000,绥化市,231200,21.8454846155
170,20010620,黑龙江省,230000,绥化市,231200,18.7861873263
171,20010621,黑龙江省,230000,绥化市,231200,19.8483191899
172,20010622,黑龙江省,230000,绥化市,231200,22.1325393132
173,20010623,黑龙江省,230000,绥化市,231200,25.3400166284
174,20010624,黑龙江省,230000,绥化市,231200,27.5303649357
175,20010625,黑龙江省,230000,绥化市,231200,30.1484426408
176,20010626,黑龙江省,230000,绥化市,231200,24.4536831447
177,20010627,黑龙江省,230000,绥化市,231200,23.1395597549
178,20010628,黑龙江省,230000,绥化市,231200,22.6774513426
179,20010629,黑龙江省,230000,绥化市,231200,23.5255345844
180,20010630,黑龙江省,230000,绥化市,231200,20.3412390754
181,20010701,黑龙江省,230000,绥化市,231200,21.3130440303
182,20010702,黑龙江省,230000,绥化市,231200,20.6692384811
183,20010703,黑龙江省,230000,绥化市,231200,23.300649098
184,20010704,黑龙江省,230000,绥化市,231200,22.6647603353
185,20010705,黑龙江省,230000,绥化市,231200,25.7088246482
186,20010706,黑龙江省,230000,绥化市,231200,29.4018095107
187,20010707,黑龙江省,230000,绥化市,231200,28.2497136979
188,20010708,黑龙江省,230000,绥化市,231200,24.5122148605
189,20010709,黑龙江省,230000,绥化市,231200,22.6911633264
190,20010710,黑龙江省,230000,绥化市,231200,22.5532814571
191,20010711,黑龙江省,230000,绥化市,231200,21.5840745653
192,20010712,黑龙江省,230000,绥化市,231200,19.3588587988
193,20010713,黑龙江省,230000,绥化市,231200,19.3119113377
194,20010714,黑龙江省,230000,绥化市,231200,20.4246130262
195,20010715,黑龙江省,230000,绥化市,231200,22.1332116445
196,20010716,黑龙江省,230000,绥化市,231200,24.6232649485
197,20010717,黑龙江省,230000,绥化市,231200,26.6405032567
198,20010718,黑龙江省,230000,绥化市,231200,27.0253201439
199,20010719,黑龙江省,230000,绥化市,231200,21.9299150376
200,20010720,黑龙江省,230000,绥化市,231200,22.3644968124
201,20010721,黑龙江省,230000,绥化市,231200,26.119182514
202,20010722,黑龙江省,230000,绥化市,231200,23.945618911
203,20010723,黑龙江省,230000,绥化市,231200,26.0430948167
204,20010724,黑龙江省,230000,绥化市,231200,27.8006384168
205,20010725,黑龙江省,230000,绥化市,231200,28.3378466107
206,20010726,黑龙江省,230000,绥化市,231200,22.2087496621
207,20010727,黑龙江省,230000,绥化市,231200,22.5991435096
208,20010728,黑龙江省,230000,绥化市,231200,22.8248545692
209,20010729,黑龙江省,230000,绥化市,231200,19.3908072335
210,20010730,黑龙江省,230000,绥化市,231200,20.6698051089
211,20010731,黑龙江省,230000,绥化市,231200,22.1343112037
212,20010801,黑龙江省,230000,绥化市,231200,21.9994910649
213,20010802,黑龙江省,230000,绥化市,231200,21.5728281657
214,20010803,黑龙江省,230000,绥化市,231200,23.7021433331
215,20010804,黑龙江省,230000,绥化市,231200,25.1168324788
216,20010805,黑龙江省,230000,绥化市,231200,24.0080063774
217,20010806,黑龙江省,230000,绥化市,231200,21.0372174036
218,20010807,黑龙江省,230000,绥化市,231200,16.3747919809
219,20010808,黑龙江省,230000,绥化市,231200,19.4471452441
220,20010809,黑龙江省,230000,绥化市,231200,19.2940014249
221,20010810,黑龙江省,230000,绥化市,231200,20.7681354159
222,20010811,黑龙江省,230000,绥化市,231200,22.7264714377
223,20010812,黑龙江省,230000,绥化市,231200,25.0336820875
224,20010813,黑龙江省,230000,绥化市,231200,24.6233201526
225,20010814,黑龙江省,230000,绥化市,231200,20.9767876943
226,20010815,黑龙江省,230000,绥化市,231200,23.2507405417
227,20010816,黑龙江省,230000,绥化市,231200,23.5064034417
228,20010817,黑龙江省,230000,绥化市,231200,24.3031262897
229,20010818,黑龙江省,230000,绥化市,231200,23.5923174359
230,20010819,黑龙江省,230000,绥化市,231200,21.4490001497
231,20010820,黑龙江省,230000,绥化市,231200,19.8365738823
232,20010821,黑龙江省,230000,绥化市,231200,20.2854948498
233,20010822,黑龙江省,230000,绥化市,231200,19.3463381449
234,20010823,黑龙江省,230000,绥化市,231200,18.4871369498
235,20010824,黑龙江省,230000,绥化市,231200,17.8029664539
236,20010825,黑龙江省,230000,绥化市,231200,16.4264775412
237,20010826,黑龙江省,230000,绥化市,231200,18.2992894218
238,20010827,黑龙江省,230000,绥化市,231200,18.7812396458
239,20010828,黑龙江省,230000,绥化市,231200,19.1544374012
240,20010829,黑龙江省,230000,绥化市,231200,20.2933984484
241,20010830,黑龙江省,230000,绥化市,231200,21.741291355
242,20010831,黑龙江省,230000,绥化市,231200,21.6531548636
243,20010901,黑龙江省,230000,绥化市,231200,17.482050051
244,20010902,黑龙江省,230000,绥化市,231200,18.0690218698
245,20010903,黑龙江省,230000,绥化市,231200,22.6763961429
246,20010904,黑龙江省,230000,绥化市,231200,22.6965014866
247,20010905,黑龙江省,230000,绥化市,231200,17.3673026312
248,20010906,黑龙江省,230000,绥化市,231200,16.7984657923
249,20010907,黑龙江省,230000,绥化市,231200,16.7772760391
250,20010908,黑龙江省,230000,绥化市,231200,18.2019201914
251,20010909,黑龙江省,230000,绥化市,231200,12.4379339581
252,20010910,黑龙江省,230000,绥化市,231200,13.8656957354
253,20010911,黑龙江省,230000,绥化市,231200,18.0207757223
254,20010912,黑龙江省,230000,绥化市,231200,20.798009382
255,20010913,黑龙江省,230000,绥化市,231200,21.4828819093
256,20010914,黑龙江省,230000,绥化市,231200,15.5670447849
257,20010915,黑龙江省,230000,绥化市,231200,15.8480784462
258,20010916,黑龙江省,230000,绥化市,231200,8.91437368393
259,20010917,黑龙江省,230000,绥化市,231200,9.3870781399
260,20010918,黑龙江省,230000,绥化市,231200,10.4777740933
261,20010919,黑龙江省,230000,绥化市,231200,10.0731749398
262,20010920,黑龙江省,230000,绥化市,231200,5.30835587865
263,20010921,黑龙江省,230000,绥化市,231200,8.20907858894
264,20010922,黑龙江省,230000,绥化市,231200,15.7921213241
265,20010923,黑龙江省,230000,绥化市,231200,11.2597125099
266,20010924,黑龙江省,230000,绥化市,231200,12.2320319039
267,20010925,黑龙江省,230000,绥化市,231200,14.3989806311
268,20010926,黑龙江省,230000,绥化市,231200,13.1733828318
269,20010927,黑龙江省,230000,绥化市,231200,7.18344390052
270,20010928,黑龙江省,230000,绥化市,231200,9.13179408936
271,20010929,黑龙江省,230000,绥化市,231200,11.6505300931
272,20010930,黑龙江省,230000,绥化市,231200,13.3940369288
273,20011001,黑龙江省,230000,绥化市,231200,14.3461051033
274,20011002,黑龙江省,230000,绥化市,231200,12.1440071469
275,20011003,黑龙江省,230000,绥化市,231200,6.99291768755
276,20011004,黑龙江省,230000,绥化市,231200,3.66356204351
277,20011005,黑龙江省,230000,绥化市,231200,6.05061997686
278,20011006,黑龙江省,230000,绥化市,231200,9.76109704517
279,20011007,黑龙江省,230000,绥化市,231200,10.9402886345
280,20011008,黑龙江省,230000,绥化市,231200,12.9906690053
281,20011009,黑龙江省,230000,绥化市,231200,13.9950631187
282,20011010,黑龙江省,230000,绥化市,231200,10.7659357888
283,20011011,黑龙江省,230000,绥化市,231200,10.4316116515
284,20011012,黑龙江省,230000,绥化市,231200,11.7100940795
285,20011013,黑龙江省,230000,绥化市,231200,6.59425076984
286,20011014,黑龙江省,230000,绥化市,231200,7.94669468743
287,20011015,黑龙江省,230000,绥化市,231200,9.07715984072
288,20011016,黑龙江省,230000,绥化市,231200,2.07586454948
289,20011017,黑龙江省,230000,绥化市,231200,0.588455176424
290,20011018,黑龙江省,230000,绥化市,231200,3.47108685686
291,20011019,黑龙江省,230000,绥化市,231200,6.38924615951
292,20011020,黑龙江省,230000,绥化市,231200,11.421799142
293,20011021,黑龙江省,230000,绥化市,231200,6.23262681053
294,20011022,黑龙江省,230000,绥化市,231200,4.23537735258
295,20011023,黑龙江省,230000,绥化市,231200,5.09620919001
296,20011024,黑龙江省,230000,绥化市,231200,2.15347777662
297,20011025,黑龙江省,230000,绥化市,231200,1.90914483333
298,20011026,黑龙江省,230000,绥化市,231200,2.01806606558
299,20011027,黑龙江省,230000,绥化市,231200,1.56314709187
300,20011028,黑龙江省,230000,绥化市,231200,0.0739756961264
301,20011029,黑龙江省,230000,绥化市,231200,4.30853659312
302,20011030,黑龙江省,230000,绥化市,231200,7.282228706
303,20011031,黑龙江省,230000,绥化市,231200,-0.235793638245
304,20011101,黑龙江省,230000,绥化市,231200,-2.93459678661
305,20011102,黑龙江省,230000,绥化市,231200,-4.30379573618
306,20011103,黑龙江省,230000,绥化市,231200,-6.00857265563
307,20011104,黑龙江省,230000,绥化市,231200,-2.58049246243
308,20011105,黑龙江省,230000,绥化市,231200,-5.66894461314
309,20011106,黑龙江省,230000,绥化市,231200,-3.72823732694
