,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山东省,370000,聊城市,371500,1.29177307564
1,20010102,山东省,370000,聊城市,371500,-0.446756907425
2,20010103,山东省,370000,聊城市,371500,-2.79158589114
3,20010104,山东省,370000,聊城市,371500,-2.29245058868
4,20010105,山东省,370000,聊城市,371500,-0.362836301975
5,20010106,山东省,370000,聊城市,371500,-1.56864856767
6,20010107,山东省,370000,聊城市,371500,-0.212088497072
7,20010108,山东省,370000,聊城市,371500,-0.511737035506
8,20010109,山东省,370000,聊城市,371500,-3.52090003179
9,20010110,山东省,370000,聊城市,371500,-4.13976667238
10,20010111,山东省,370000,聊城市,371500,-5.02697774638
11,20010112,山东省,370000,聊城市,371500,-4.64035606384
12,20010113,山东省,370000,聊城市,371500,-8.77690423053
13,20010114,山东省,370000,聊城市,371500,-11.6255580239
14,20010115,山东省,370000,聊城市,371500,-8.95691867497
15,20010116,山东省,370000,聊城市,371500,-4.66617750085
16,20010117,山东省,370000,聊城市,371500,-2.76110006934
17,20010118,山东省,370000,聊城市,371500,-2.69305090282
18,20010119,山东省,370000,聊城市,371500,-3.75350699217
19,20010120,山东省,370000,聊城市,371500,-2.55275000697
20,20010121,山东省,370000,聊城市,371500,-2.18286580106
21,20010122,山东省,370000,聊城市,371500,-3.01636605677
22,20010123,山东省,370000,聊城市,371500,-2.99463695029
23,20010124,山东省,370000,聊城市,371500,-3.25256109238
24,20010125,山东省,370000,聊城市,371500,-3.8838122513
25,20010126,山东省,370000,聊城市,371500,-4.20487990587
26,20010127,山东省,370000,聊城市,371500,-1.93235577189
27,20010128,山东省,370000,聊城市,371500,-3.38238053736
28,20010129,山东省,370000,聊城市,371500,-1.93158856164
29,20010130,山东省,370000,聊城市,371500,0.668847246015
30,20010131,山东省,370000,聊城市,371500,1.04784622756
31,20010201,山东省,370000,聊城市,371500,-0.0929266670516
32,20010202,山东省,370000,聊城市,371500,1.46999523432
33,20010203,山东省,370000,聊城市,371500,-0.66417249195
34,20010204,山东省,370000,聊城市,371500,-1.15481410078
35,20010205,山东省,370000,聊城市,371500,-2.94500785289
36,20010206,山东省,370000,聊城市,371500,-6.35381043476
37,20010207,山东省,370000,聊城市,371500,-6.93150406298
38,20010208,山东省,370000,聊城市,371500,-2.56068070557
39,20010209,山东省,370000,聊城市,371500,-0.00485147551998
40,20010210,山东省,370000,聊城市,371500,-0.422407837625
41,20010211,山东省,370000,聊城市,371500,-2.79511246474
42,20010212,山东省,370000,聊城市,371500,-2.55660745372
43,20010213,山东省,370000,聊城市,371500,-1.65455800554
44,20010214,山东省,370000,聊城市,371500,2.7332956169
45,20010215,山东省,370000,聊城市,371500,1.29274668512
46,20010216,山东省,370000,聊城市,371500,1.52332568817
47,20010217,山东省,370000,聊城市,371500,2.31127928651
48,20010218,山东省,370000,聊城市,371500,6.26325472541
49,20010219,山东省,370000,聊城市,371500,6.80525147397
50,20010220,山东省,370000,聊城市,371500,5.08786166233
51,20010221,山东省,370000,聊城市,371500,6.24514022081
52,20010222,山东省,370000,聊城市,371500,5.64048085005
53,20010223,山东省,370000,聊城市,371500,-1.72327808194
54,20010224,山东省,370000,聊城市,371500,-0.101793893006
55,20010225,山东省,370000,聊城市,371500,2.64638459164
56,20010226,山东省,370000,聊城市,371500,3.88138823924
57,20010227,山东省,370000,聊城市,371500,3.56435133063
58,20010228,山东省,370000,聊城市,371500,5.41824925464
59,20010301,山东省,370000,聊城市,371500,9.39891473107
60,20010302,山东省,370000,聊城市,371500,10.0569343152
61,20010303,山东省,370000,聊城市,371500,4.83781868479
62,20010304,山东省,370000,聊城市,371500,6.70624262354
63,20010305,山东省,370000,聊城市,371500,9.76347840351
64,20010306,山东省,370000,聊城市,371500,3.80160161723
65,20010307,山东省,370000,聊城市,371500,1.08954988809
66,20010308,山东省,370000,聊城市,371500,1.78384811075
67,20010309,山东省,370000,聊城市,371500,7.92350800141
68,20010310,山东省,370000,聊城市,371500,4.61387041341
69,20010311,山东省,370000,聊城市,371500,5.70066883253
70,20010312,山东省,370000,聊城市,371500,11.1824003303
71,20010313,山东省,370000,聊城市,371500,14.4906724847
72,20010314,山东省,370000,聊城市,371500,7.29835674037
73,20010315,山东省,370000,聊城市,371500,7.49940001446
74,20010316,山东省,370000,聊城市,371500,5.16950868524
75,20010317,山东省,370000,聊城市,371500,9.77423016921
76,20010318,山东省,370000,聊城市,371500,12.6133080358
77,20010319,山东省,370000,聊城市,371500,16.5128395246
78,20010320,山东省,370000,聊城市,371500,16.5038068606
79,20010321,山东省,370000,聊城市,371500,17.3578395844
80,20010322,山东省,370000,聊城市,371500,12.1071040941
81,20010323,山东省,370000,聊城市,371500,13.3393604859
82,20010324,山东省,370000,聊城市,371500,15.0559619821
83,20010325,山东省,370000,聊城市,371500,9.77435617862
84,20010326,山东省,370000,聊城市,371500,7.75577893464
85,20010327,山东省,370000,聊城市,371500,0.22299402442
86,20010328,山东省,370000,聊城市,371500,4.96771575057
87,20010329,山东省,370000,聊城市,371500,10.3124821704
88,20010330,山东省,370000,聊城市,371500,6.9193524485
89,20010331,山东省,370000,聊城市,371500,9.01469883711
90,20010401,山东省,370000,聊城市,371500,13.2030194739
91,20010402,山东省,370000,聊城市,371500,12.3409956642
92,20010403,山东省,370000,聊城市,371500,11.3122314785
93,20010404,山东省,370000,聊城市,371500,12.3769881207
94,20010405,山东省,370000,聊城市,371500,11.4510199091
95,20010406,山东省,370000,聊城市,371500,9.39250029688
96,20010407,山东省,370000,聊城市,371500,14.9045806138
97,20010408,山东省,370000,聊城市,371500,15.1841659546
98,20010409,山东省,370000,聊城市,371500,12.1293999216
99,20010410,山东省,370000,聊城市,371500,8.61343719648
100,20010411,山东省,370000,聊城市,371500,10.2316945532
101,20010412,山东省,370000,聊城市,371500,14.9098679916
102,20010413,山东省,370000,聊城市,371500,11.5957115007
103,20010414,山东省,370000,聊城市,371500,15.2456197739
104,20010415,山东省,370000,聊城市,371500,18.3176138505
105,20010416,山东省,370000,聊城市,371500,19.1958666262
106,20010417,山东省,370000,聊城市,371500,20.6454398943
