,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,浙江省,330000,舟山市,330900,8.36232328415
1,20010102,浙江省,330000,舟山市,330900,9.19137763977
2,20010103,浙江省,330000,舟山市,330900,9.27944898605
3,20010104,浙江省,330000,舟山市,330900,10.6073584557
4,20010105,浙江省,330000,舟山市,330900,10.6794710159
5,20010106,浙江省,330000,舟山市,330900,14.4336738586
6,20010107,浙江省,330000,舟山市,330900,9.17518234253
7,20010108,浙江省,330000,舟山市,330900,10.3166761398
8,20010109,浙江省,330000,舟山市,330900,5.59360313416
9,20010110,浙江省,330000,舟山市,330900,5.74849271774
10,20010111,浙江省,330000,舟山市,330900,6.4718170166
11,20010112,浙江省,330000,舟山市,330900,10.2841114998
12,20010113,浙江省,330000,舟山市,330900,6.36985421181
13,20010114,浙江省,330000,舟山市,330900,0.760413616896
14,20010115,浙江省,330000,舟山市,330900,-0.92505979538
15,20010116,浙江省,330000,舟山市,330900,1.26207947731
16,20010117,浙江省,330000,舟山市,330900,8.49570035934
17,20010118,浙江省,330000,舟山市,330900,11.094201088
18,20010119,浙江省,330000,舟山市,330900,12.3304834366
19,20010120,浙江省,330000,舟山市,330900,6.9217684269
20,20010121,浙江省,330000,舟山市,330900,9.10612726212
21,20010122,浙江省,330000,舟山市,330900,10.089343071
22,20010123,浙江省,330000,舟山市,330900,10.460310936
23,20010124,浙江省,330000,舟山市,330900,10.5842814445
24,20010125,浙江省,330000,舟山市,330900,7.89412736893
25,20010126,浙江省,330000,舟山市,330900,3.15495789051
26,20010127,浙江省,330000,舟山市,330900,3.422783494
27,20010128,浙江省,330000,舟山市,330900,2.98857712746
28,20010129,浙江省,330000,舟山市,330900,3.11619770527
29,20010130,浙江省,330000,舟山市,330900,6.33440971375
30,20010131,浙江省,330000,舟山市,330900,8.53065490723
31,20010201,浙江省,330000,舟山市,330900,4.68920755386
32,20010202,浙江省,330000,舟山市,330900,6.51480913162
33,20010203,浙江省,330000,舟山市,330900,8.76586484909
34,20010204,浙江省,330000,舟山市,330900,9.21516942978
35,20010205,浙江省,330000,舟山市,330900,10.9171948433
36,20010206,浙江省,330000,舟山市,330900,8.30210971832
37,20010207,浙江省,330000,舟山市,330900,4.14676427841
38,20010208,浙江省,330000,舟山市,330900,2.50075423717
39,20010209,浙江省,330000,舟山市,330900,5.82864117622
40,20010210,浙江省,330000,舟山市,330900,7.75726890564
41,20010211,浙江省,330000,舟山市,330900,9.27911901474
42,20010212,浙江省,330000,舟山市,330900,6.66366791725
43,20010213,浙江省,330000,舟山市,330900,4.46188139915
44,20010214,浙江省,330000,舟山市,330900,3.41744303703
45,20010215,浙江省,330000,舟山市,330900,8.28418159485
46,20010216,浙江省,330000,舟山市,330900,3.96874880791
47,20010217,浙江省,330000,舟山市,330900,9.15229845047
48,20010218,浙江省,330000,舟山市,330900,11.3600077629
49,20010219,浙江省,330000,舟山市,330900,11.135093689
50,20010220,浙江省,330000,舟山市,330900,12.3534765244
51,20010221,浙江省,330000,舟山市,330900,11.0618772507
52,20010222,浙江省,330000,舟山市,330900,13.6012511253
53,20010223,浙江省,330000,舟山市,330900,15.3347997665
54,20010224,浙江省,330000,舟山市,330900,4.54968190193
55,20010225,浙江省,330000,舟山市,330900,5.93503975868
56,20010226,浙江省,330000,舟山市,330900,8.94577741623
57,20010227,浙江省,330000,舟山市,330900,11.3114800453
58,20010228,浙江省,330000,舟山市,330900,7.66989922523
59,20010301,浙江省,330000,舟山市,330900,11.3705940247
60,20010302,浙江省,330000,舟山市,330900,11.4554276466
61,20010303,浙江省,330000,舟山市,330900,10.694978714
62,20010304,浙江省,330000,舟山市,330900,8.22497177124
63,20010305,浙江省,330000,舟山市,330900,12.4021143913
64,20010306,浙江省,330000,舟山市,330900,13.2990708351
65,20010307,浙江省,330000,舟山市,330900,5.18442368507
66,20010308,浙江省,330000,舟山市,330900,6.13301920891
67,20010309,浙江省,330000,舟山市,330900,7.4904923439
68,20010310,浙江省,330000,舟山市,330900,11.6460618973
69,20010311,浙江省,330000,舟山市,330900,10.0951862335
70,20010312,浙江省,330000,舟山市,330900,7.8163459301
71,20010313,浙江省,330000,舟山市,330900,11.5369296074
72,20010314,浙江省,330000,舟山市,330900,15.1366276741
73,20010315,浙江省,330000,舟山市,330900,8.93790435791
74,20010316,浙江省,330000,舟山市,330900,9.49130821228
75,20010317,浙江省,330000,舟山市,330900,8.61759853363
76,20010318,浙江省,330000,舟山市,330900,11.3030610085
77,20010319,浙江省,330000,舟山市,330900,12.2915387154
78,20010320,浙江省,330000,舟山市,330900,15.3139481544
79,20010321,浙江省,330000,舟山市,330900,16.1549739838
80,20010322,浙江省,330000,舟山市,330900,16.6989889145
81,20010323,浙江省,330000,舟山市,330900,14.7410364151
82,20010324,浙江省,330000,舟山市,330900,14.7514233589
83,20010325,浙江省,330000,舟山市,330900,12.1248040199
84,20010326,浙江省,330000,舟山市,330900,12.4772305489
85,20010327,浙江省,330000,舟山市,330900,13.4212026596
86,20010328,浙江省,330000,舟山市,330900,9.0716547966
87,20010329,浙江省,330000,舟山市,330900,10.5383443832
88,20010330,浙江省,330000,舟山市,330900,13.9498944283
89,20010331,浙江省,330000,舟山市,330900,8.72523164749
90,20010401,浙江省,330000,舟山市,330900,11.7200479507
91,20010402,浙江省,330000,舟山市,330900,14.1183133125
92,20010403,浙江省,330000,舟山市,330900,11.0263123512
93,20010404,浙江省,330000,舟山市,330900,12.0564551353
94,20010405,浙江省,330000,舟山市,330900,16.101102829
95,20010406,浙江省,330000,舟山市,330900,17.1967573166
96,20010407,浙江省,330000,舟山市,330900,16.9382362366
97,20010408,浙江省,330000,舟山市,330900,15.1741108894
98,20010409,浙江省,330000,舟山市,330900,15.0793576241
99,20010410,浙江省,330000,舟山市,330900,15.1633944511
100,20010411,浙江省,330000,舟山市,330900,9.26701688766
101,20010412,浙江省,330000,舟山市,330900,12.8265929222
102,20010413,浙江省,330000,舟山市,330900,15.0347599983
103,20010414,浙江省,330000,舟山市,330900,12.5308408737
104,20010415,浙江省,330000,舟山市,330900,15.3179621696
105,20010416,浙江省,330000,舟山市,330900,17.9433431625
106,20010417,浙江省,330000,舟山市,330900,17.284330368
107,20010418,浙江省,330000,舟山市,330900,17.5217809677
108,20010419,浙江省,330000,舟山市,330900,20.0311346054
109,20010420,浙江省,330000,舟山市,330900,15.7666249275
110,20010421,浙江省,330000,舟山市,330900,13.6625952721
