,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,江苏省,320000,苏州市,320500,7.85708869587
1,20010102,江苏省,320000,苏州市,320500,7.99049973488
2,20010103,江苏省,320000,苏州市,320500,8.45237055692
3,20010104,江苏省,320000,苏州市,320500,8.19559970769
4,20010105,江苏省,320000,苏州市,320500,8.83158883181
5,20010106,江苏省,320000,苏州市,320500,11.0676890287
6,20010107,江苏省,320000,苏州市,320500,6.42967237126
7,20010108,江苏省,320000,苏州市,320500,7.86961856755
8,20010109,江苏省,320000,苏州市,320500,3.14798443968
9,20010110,江苏省,320000,苏州市,320500,3.72666805441
10,20010111,江苏省,320000,苏州市,320500,5.87606913393
11,20010112,江苏省,320000,苏州市,320500,7.47706998478
12,20010113,江苏省,320000,苏州市,320500,4.05296365781
13,20010114,江苏省,320000,苏州市,320500,-1.32726664977
14,20010115,江苏省,320000,苏州市,320500,-1.91189334067
15,20010116,江苏省,320000,苏州市,320500,0.89166339961
16,20010117,江苏省,320000,苏州市,320500,5.8516126546
17,20010118,江苏省,320000,苏州市,320500,8.66276767037
18,20010119,江苏省,320000,苏州市,320500,9.2121275555
19,20010120,江苏省,320000,苏州市,320500,5.95852359858
20,20010121,江苏省,320000,苏州市,320500,6.54495401816
21,20010122,江苏省,320000,苏州市,320500,6.36468922008
22,20010123,江苏省,320000,苏州市,320500,7.48323776505
23,20010124,江苏省,320000,苏州市,320500,8.05943688479
24,20010125,江苏省,320000,苏州市,320500,5.09497335824
25,20010126,江苏省,320000,苏州市,320500,0.762728138911
26,20010127,江苏省,320000,苏州市,320500,1.49582281438
27,20010128,江苏省,320000,苏州市,320500,1.45106884024
28,20010129,江苏省,320000,苏州市,320500,2.17974847555
29,20010130,江苏省,320000,苏州市,320500,4.80514853651
30,20010131,江苏省,320000,苏州市,320500,5.3880935799
31,20010201,江苏省,320000,苏州市,320500,3.34571844881
32,20010202,江苏省,320000,苏州市,320500,4.91802107204
33,20010203,江苏省,320000,苏州市,320500,6.9373052337
34,20010204,江苏省,320000,苏州市,320500,7.62673902512
35,20010205,江苏省,320000,苏州市,320500,8.09301603924
36,20010206,江苏省,320000,苏州市,320500,5.97812932188
37,20010207,江苏省,320000,苏州市,320500,2.31971558116
38,20010208,江苏省,320000,苏州市,320500,2.43355458975
39,20010209,江苏省,320000,苏州市,320500,5.12954898314
40,20010210,江苏省,320000,苏州市,320500,6.67497873306
41,20010211,江苏省,320000,苏州市,320500,7.6242612492
42,20010212,江苏省,320000,苏州市,320500,4.32960773598
43,20010213,江苏省,320000,苏州市,320500,3.54143233733
44,20010214,江苏省,320000,苏州市,320500,4.4865915992
45,20010215,江苏省,320000,苏州市,320500,7.67673821883
46,20010216,江苏省,320000,苏州市,320500,4.07663927295
47,20010217,江苏省,320000,苏州市,320500,7.96223365177
48,20010218,江苏省,320000,苏州市,320500,9.73601826754
49,20010219,江苏省,320000,苏州市,320500,8.84025556391
50,20010220,江苏省,320000,苏州市,320500,10.5954443758
51,20010221,江苏省,320000,苏州市,320500,9.48800620166
52,20010222,江苏省,320000,苏州市,320500,12.3130030199
53,20010223,江苏省,320000,苏州市,320500,10.8337506381
54,20010224,江苏省,320000,苏州市,320500,2.85904111645
55,20010225,江苏省,320000,苏州市,320500,4.87376973846
56,20010226,江苏省,320000,苏州市,320500,7.81588515368
57,20010227,江苏省,320000,苏州市,320500,8.94700730931
58,20010228,江苏省,320000,苏州市,320500,6.45598277179
59,20010301,江苏省,320000,苏州市,320500,10.0599244291
