,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,湖北省,420000,荆州市,421000,6.27577564933
1,20010102,湖北省,420000,荆州市,421000,6.91658886996
2,20010103,湖北省,420000,荆州市,421000,8.65669447003
3,20010104,湖北省,420000,荆州市,421000,7.54200666601
4,20010105,湖北省,420000,荆州市,421000,5.61916599852
5,20010106,湖北省,420000,荆州市,421000,3.86125097853
6,20010107,湖北省,420000,荆州市,421000,4.21377297604
7,20010108,湖北省,420000,荆州市,421000,2.29702717969
8,20010109,湖北省,420000,荆州市,421000,3.56108749997
9,20010110,湖北省,420000,荆州市,421000,4.89788779345
10,20010111,湖北省,420000,荆州市,421000,6.6153550148
11,20010112,湖北省,420000,荆州市,421000,3.87130462762
12,20010113,湖北省,420000,荆州市,421000,4.89323655042
13,20010114,湖北省,420000,荆州市,421000,3.05956237244
14,20010115,湖北省,420000,荆州市,421000,3.90616718928
15,20010116,湖北省,420000,荆州市,421000,6.09411321987
16,20010117,湖北省,420000,荆州市,421000,6.03408978202
17,20010118,湖北省,420000,荆州市,421000,8.78804362904
18,20010119,湖北省,420000,荆州市,421000,6.15079502626
19,20010120,湖北省,420000,荆州市,421000,7.45614034479
20,20010121,湖北省,420000,荆州市,421000,5.42351206866
21,20010122,湖北省,420000,荆州市,421000,3.61015387015
22,20010123,湖北省,420000,荆州市,421000,1.54107078368
23,20010124,湖北省,420000,荆州市,421000,0.946754728303
24,20010125,湖北省,420000,荆州市,421000,-0.229889222167
25,20010126,湖北省,420000,荆州市,421000,0.898425899672
26,20010127,湖北省,420000,荆州市,421000,2.58650539138
27,20010128,湖北省,420000,荆州市,421000,4.76376393347
28,20010129,湖北省,420000,荆州市,421000,6.46311820637
29,20010130,湖北省,420000,荆州市,421000,8.53200140866
30,20010131,湖北省,420000,荆州市,421000,7.95545579448
31,20010201,湖北省,420000,荆州市,421000,6.14499135451
32,20010202,湖北省,420000,荆州市,421000,6.37330491615
33,20010203,湖北省,420000,荆州市,421000,6.07841704108
34,20010204,湖北省,420000,荆州市,421000,7.42360938679
35,20010205,湖北省,420000,荆州市,421000,5.63579310793
36,20010206,湖北省,420000,荆州市,421000,2.5120474064
37,20010207,湖北省,420000,荆州市,421000,3.52381443977
38,20010208,湖北省,420000,荆州市,421000,5.21650679906
39,20010209,湖北省,420000,荆州市,421000,7.15108127305
40,20010210,湖北省,420000,荆州市,421000,9.62640820128
41,20010211,湖北省,420000,荆州市,421000,4.25007985577
42,20010212,湖北省,420000,荆州市,421000,1.41589674805
43,20010213,湖北省,420000,荆州市,421000,3.92940412146
44,20010214,湖北省,420000,荆州市,421000,6.70806224418
45,20010215,湖北省,420000,荆州市,421000,9.66929600456
46,20010216,湖北省,420000,荆州市,421000,10.7966579957
47,20010217,湖北省,420000,荆州市,421000,10.1553246469
48,20010218,湖北省,420000,荆州市,421000,12.8491827358
49,20010219,湖北省,420000,荆州市,421000,12.2341439507
50,20010220,湖北省,420000,荆州市,421000,10.3170666261
51,20010221,湖北省,420000,荆州市,421000,11.5883029013
52,20010222,湖北省,420000,荆州市,421000,12.1053432118
53,20010223,湖北省,420000,荆州市,421000,8.16482448578
54,20010224,湖北省,420000,荆州市,421000,5.82153187376
55,20010225,湖北省,420000,荆州市,421000,5.3127690662
56,20010226,湖北省,420000,荆州市,421000,4.91033845959
57,20010227,湖北省,420000,荆州市,421000,5.81749356877
58,20010228,湖北省,420000,荆州市,421000,9.67998854319
59,20010301,湖北省,420000,荆州市,421000,13.473274231
60,20010302,湖北省,420000,荆州市,421000,11.8897405971
61,20010303,湖北省,420000,荆州市,421000,11.900466341
62,20010304,湖北省,420000,荆州市,421000,13.9754434065
63,20010305,湖北省,420000,荆州市,421000,12.0010669015
64,20010306,湖北省,420000,荆州市,421000,11.0310926148
65,20010307,湖北省,420000,荆州市,421000,8.55477739103
66,20010308,湖北省,420000,荆州市,421000,8.42065984553
67,20010309,湖北省,420000,荆州市,421000,8.62412663662
68,20010310,湖北省,420000,荆州市,421000,11.4397722013
69,20010311,湖北省,420000,荆州市,421000,13.1609552268
70,20010312,湖北省,420000,荆州市,421000,15.162710421
71,20010313,湖北省,420000,荆州市,421000,17.493961392
72,20010314,湖北省,420000,荆州市,421000,18.9619129643
73,20010315,湖北省,420000,荆州市,421000,9.06425695708
74,20010316,湖北省,420000,荆州市,421000,6.47366305554
75,20010317,湖北省,420000,荆州市,421000,10.7537001696
76,20010318,湖北省,420000,荆州市,421000,11.8808949788
77,20010319,湖北省,420000,荆州市,421000,13.7129209692
78,20010320,湖北省,420000,荆州市,421000,16.3723217357
79,20010321,湖北省,420000,荆州市,421000,19.0287559394
80,20010322,湖北省,420000,荆州市,421000,15.3458487482
81,20010323,湖北省,420000,荆州市,421000,12.9753319133
82,20010324,湖北省,420000,荆州市,421000,13.2428102782
83,20010325,湖北省,420000,荆州市,421000,15.8171387297
84,20010326,湖北省,420000,荆州市,421000,16.9937002009
85,20010327,湖北省,420000,荆州市,421000,15.8172814051
86,20010328,湖北省,420000,荆州市,421000,8.65912356521
87,20010329,湖北省,420000,荆州市,421000,13.440408909
88,20010330,湖北省,420000,荆州市,421000,17.0188328136
89,20010331,湖北省,420000,荆州市,421000,15.1416276296
90,20010401,湖北省,420000,荆州市,421000,14.9428864681
