,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,青海省,630000,西宁市,630100,-7.82661008835
1,20010102,青海省,630000,西宁市,630100,-7.52943713324
2,20010103,青海省,630000,西宁市,630100,-7.71043087187
3,20010104,青海省,630000,西宁市,630100,-8.31963489169
4,20010105,青海省,630000,西宁市,630100,-8.1436485563
5,20010106,青海省,630000,西宁市,630100,-7.47465192704
6,20010107,青海省,630000,西宁市,630100,-6.64667901539
7,20010108,青海省,630000,西宁市,630100,-10.8752975918
8,20010109,青海省,630000,西宁市,630100,-10.8100117275
9,20010110,青海省,630000,西宁市,630100,-8.14215396699
10,20010111,青海省,630000,西宁市,630100,-6.01447784333
11,20010112,青海省,630000,西宁市,630100,-4.84607490471
12,20010113,青海省,630000,西宁市,630100,-8.53183521543
13,20010114,青海省,630000,西宁市,630100,-8.71759019579
14,20010115,青海省,630000,西宁市,630100,-8.16319238572
15,20010116,青海省,630000,西宁市,630100,-7.76734474727
16,20010117,青海省,630000,西宁市,630100,-5.73573246456
17,20010118,青海省,630000,西宁市,630100,-6.88695837203
18,20010119,青海省,630000,西宁市,630100,-8.06291407631
19,20010120,青海省,630000,西宁市,630100,-3.97302360762
20,20010121,青海省,630000,西宁市,630100,-4.06830154146
21,20010122,青海省,630000,西宁市,630100,-5.64785889217
22,20010123,青海省,630000,西宁市,630100,-6.27235712324
23,20010124,青海省,630000,西宁市,630100,-8.27265301205
24,20010125,青海省,630000,西宁市,630100,-9.60908081418
25,20010126,青海省,630000,西宁市,630100,-9.56966890608
26,20010127,青海省,630000,西宁市,630100,-10.1730947949
27,20010128,青海省,630000,西宁市,630100,-9.78651850564
28,20010129,青海省,630000,西宁市,630100,-7.85176697231
29,20010130,青海省,630000,西宁市,630100,-6.20646849133
30,20010131,青海省,630000,西宁市,630100,-7.30999322165
31,20010201,青海省,630000,西宁市,630100,-6.22191263381
32,20010202,青海省,630000,西宁市,630100,-6.41829324904
33,20010203,青海省,630000,西宁市,630100,-6.75655553454
34,20010204,青海省,630000,西宁市,630100,-4.87616929554
35,20010205,青海省,630000,西宁市,630100,-3.12047113691
36,20010206,青海省,630000,西宁市,630100,-5.74032987867
37,20010207,青海省,630000,西宁市,630100,-6.80254647845
38,20010208,青海省,630000,西宁市,630100,-5.31483683132
39,20010209,青海省,630000,西宁市,630100,-5.48474586578
40,20010210,青海省,630000,西宁市,630100,-4.17256186122
41,20010211,青海省,630000,西宁市,630100,-5.10484892981
42,20010212,青海省,630000,西宁市,630100,-7.64960811252
43,20010213,青海省,630000,西宁市,630100,-7.46130157652
44,20010214,青海省,630000,西宁市,630100,-4.50188469887
45,20010215,青海省,630000,西宁市,630100,-4.5256266821
46,20010216,青海省,630000,西宁市,630100,-2.40778237297
