,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广西壮族自治区,450000,贵港市,450800,15.0946113413
1,20010102,广西壮族自治区,450000,贵港市,450800,15.1068092259
2,20010103,广西壮族自治区,450000,贵港市,450800,14.1719717112
3,20010104,广西壮族自治区,450000,贵港市,450800,14.1743994193
4,20010105,广西壮族自治区,450000,贵港市,450800,16.3635734211
5,20010106,广西壮族自治区,450000,贵港市,450800,18.3841124448
6,20010107,广西壮族自治区,450000,贵港市,450800,18.8588310588
7,20010108,广西壮族自治区,450000,贵港市,450800,20.2981236198
8,20010109,广西壮族自治区,450000,贵港市,450800,9.30760182034
9,20010110,广西壮族自治区,450000,贵港市,450800,8.518033071
10,20010111,广西壮族自治区,450000,贵港市,450800,11.9515852495
11,20010112,广西壮族自治区,450000,贵港市,450800,13.3873105049
12,20010113,广西壮族自治区,450000,贵港市,450800,13.7041654587
13,20010114,广西壮族自治区,450000,贵港市,450800,13.0486079129
14,20010115,广西壮族自治区,450000,贵港市,450800,8.84864178571
15,20010116,广西壮族自治区,450000,贵港市,450800,10.5574716655
16,20010117,广西壮族自治区,450000,贵港市,450800,14.1424553611
17,20010118,广西壮族自治区,450000,贵港市,450800,16.0805661895
18,20010119,广西壮族自治区,450000,贵港市,450800,19.249392076
19,20010120,广西壮族自治区,450000,贵港市,450800,18.5645420768
20,20010121,广西壮族自治区,450000,贵港市,450800,19.996004278
21,20010122,广西壮族自治区,450000,贵港市,450800,21.3128519058
22,20010123,广西壮族自治区,450000,贵港市,450800,20.7330893603
23,20010124,广西壮族自治区,450000,贵港市,450800,16.4861265963
24,20010125,广西壮族自治区,450000,贵港市,450800,9.39657627453
25,20010126,广西壮族自治区,450000,贵港市,450800,9.88200447776
26,20010127,广西壮族自治区,450000,贵港市,450800,8.85581068559
27,20010128,广西壮族自治区,450000,贵港市,450800,10.7846498923
28,20010129,广西壮族自治区,450000,贵港市,450800,12.6411095533
29,20010130,广西壮族自治区,450000,贵港市,450800,11.4452526786
30,20010131,广西壮族自治区,450000,贵港市,450800,12.5281182202
31,20010201,广西壮族自治区,450000,贵港市,450800,10.2870929024
32,20010202,广西壮族自治区,450000,贵港市,450800,8.64289251241
33,20010203,广西壮族自治区,450000,贵港市,450800,9.54352153431
34,20010204,广西壮族自治区,450000,贵港市,450800,11.7419890057
35,20010205,广西壮族自治区,450000,贵港市,450800,13.4271627339
36,20010206,广西壮族自治区,450000,贵港市,450800,15.5201917562
37,20010207,广西壮族自治区,450000,贵港市,450800,12.0118987344
38,20010208,广西壮族自治区,450000,贵港市,450800,10.6716593829
39,20010209,广西壮族自治区,450000,贵港市,450800,8.93520814722
40,20010210,广西壮族自治区,450000,贵港市,450800,10.3443035212
41,20010211,广西壮族自治区,450000,贵港市,450800,12.9935649092
42,20010212,广西壮族自治区,450000,贵港市,450800,15.2220342376
43,20010213,广西壮族自治区,450000,贵港市,450800,9.6446387551
44,20010214,广西壮族自治区,450000,贵港市,450800,11.5624828772
45,20010215,广西壮族自治区,450000,贵港市,450800,13.2822292068
46,20010216,广西壮族自治区,450000,贵港市,450800,14.890696829
47,20010217,广西壮族自治区,450000,贵港市,450800,16.7800972678
48,20010218,广西壮族自治区,450000,贵港市,450800,18.2342874354
49,20010219,广西壮族自治区,450000,贵港市,450800,18.5736311132
50,20010220,广西壮族自治区,450000,贵港市,450800,21.316170519
51,20010221,广西壮族自治区,450000,贵港市,450800,21.4842998331
52,20010222,广西壮族自治区,450000,贵港市,450800,22.1131050803
53,20010223,广西壮族自治区,450000,贵港市,450800,21.6427549015
54,20010224,广西壮族自治区,450000,贵港市,450800,14.5990735401
55,20010225,广西壮族自治区,450000,贵港市,450800,10.0409939506
56,20010226,广西壮族自治区,450000,贵港市,450800,10.8787114837
57,20010227,广西壮族自治区,450000,贵港市,450800,12.6874428229
58,20010228,广西壮族自治区,450000,贵港市,450800,12.4605690349
59,20010301,广西壮族自治区,450000,贵港市,450800,15.0479217443
60,20010302,广西壮族自治区,450000,贵港市,450800,17.2304304296
61,20010303,广西壮族自治区,450000,贵港市,450800,15.8322090236
62,20010304,广西壮族自治区,450000,贵港市,450800,16.9516472383
63,20010305,广西壮族自治区,450000,贵港市,450800,17.7389476083
64,20010306,广西壮族自治区,450000,贵港市,450800,18.7151355743
65,20010307,广西壮族自治区,450000,贵港市,450800,16.5338655385
66,20010308,广西壮族自治区,450000,贵港市,450800,14.0030873906
67,20010309,广西壮族自治区,450000,贵港市,450800,12.7693720731
68,20010310,广西壮族自治区,450000,贵港市,450800,13.2750840621
69,20010311,广西壮族自治区,450000,贵港市,450800,14.0659873269
70,20010312,广西壮族自治区,450000,贵港市,450800,16.7613536661
71,20010313,广西壮族自治区,450000,贵港市,450800,18.3077135953
72,20010314,广西壮族自治区,450000,贵港市,450800,17.8935080442
73,20010315,广西壮族自治区,450000,贵港市,450800,19.6940108213
74,20010316,广西壮族自治区,450000,贵港市,450800,20.7128436349
75,20010317,广西壮族自治区,450000,贵港市,450800,18.9088235335
76,20010318,广西壮族自治区,450000,贵港市,450800,18.4878451607
77,20010319,广西壮族自治区,450000,贵港市,450800,17.7515837929
78,20010320,广西壮族自治区,450000,贵港市,450800,18.5942135724
79,20010321,广西壮族自治区,450000,贵港市,450800,20.9243917465
80,20010322,广西壮族自治区,450000,贵港市,450800,24.3380280408
81,20010323,广西壮族自治区,450000,贵港市,450800,24.6723575592
82,20010324,广西壮族自治区,450000,贵港市,450800,24.6448300969
83,20010325,广西壮族自治区,450000,贵港市,450800,19.2368842905
84,20010326,广西壮族自治区,450000,贵港市,450800,18.4669020393
85,20010327,广西壮族自治区,450000,贵港市,450800,18.8818008249
86,20010328,广西壮族自治区,450000,贵港市,450800,20.1119192297
87,20010329,广西壮族自治区,450000,贵港市,450800,18.8593647697
88,20010330,广西壮族自治区,450000,贵港市,450800,21.2341703935
89,20010331,广西壮族自治区,450000,贵港市,450800,18.9562975277
90,20010401,广西壮族自治区,450000,贵港市,450800,19.4232401414
91,20010402,广西壮族自治区,450000,贵港市,450800,21.3098045696
92,20010403,广西壮族自治区,450000,贵港市,450800,23.4041707299
93,20010404,广西壮族自治区,450000,贵港市,450800,20.4639091492
94,20010405,广西壮族自治区,450000,贵港市,450800,20.624538595
95,20010406,广西壮族自治区,450000,贵港市,450800,20.8005846197
96,20010407,广西壮族自治区,450000,贵港市,450800,21.3597134677
97,20010408,广西壮族自治区,450000,贵港市,450800,24.883525675
98,20010409,广西壮族自治区,450000,贵港市,450800,25.2656823072
99,20010410,广西壮族自治区,450000,贵港市,450800,21.6876023032
100,20010411,广西壮族自治区,450000,贵港市,450800,14.0890789899
101,20010412,广西壮族自治区,450000,贵港市,450800,17.1685191068
102,20010413,广西壮族自治区,450000,贵港市,450800,20.5047136654
103,20010414,广西壮族自治区,450000,贵港市,450800,20.1865369623
104,20010415,广西壮族自治区,450000,贵港市,450800,18.9101156755
105,20010416,广西壮族自治区,450000,贵港市,450800,19.3785813072
106,20010417,广西壮族自治区,450000,贵港市,450800,20.5863578103
107,20010418,广西壮族自治区,450000,贵港市,450800,22.7908742211
