,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,内蒙古自治区,150000,赤峰市,150400,-14.1025402329
1,20010102,内蒙古自治区,150000,赤峰市,150400,-17.4882789998
2,20010103,内蒙古自治区,150000,赤峰市,150400,-20.131834641
3,20010104,内蒙古自治区,150000,赤峰市,150400,-20.5167189117
4,20010105,内蒙古自治区,150000,赤峰市,150400,-16.8970347515
5,20010106,内蒙古自治区,150000,赤峰市,150400,-13.491833943
6,20010107,内蒙古自治区,150000,赤峰市,150400,-13.751148413
7,20010108,内蒙古自治区,150000,赤峰市,150400,-16.5086686552
8,20010109,内蒙古自治区,150000,赤峰市,150400,-19.0693735249
9,20010110,内蒙古自治区,150000,赤峰市,150400,-21.3398407077
10,20010111,内蒙古自治区,150000,赤峰市,150400,-22.35184902
11,20010112,内蒙古自治区,150000,赤峰市,150400,-22.4272052119
12,20010113,内蒙古自治区,150000,赤峰市,150400,-22.5182398962
13,20010114,内蒙古自治区,150000,赤峰市,150400,-22.0699285476
14,20010115,内蒙古自治区,150000,赤峰市,150400,-20.0544401122
15,20010116,内蒙古自治区,150000,赤峰市,150400,-17.7477754995
16,20010117,内蒙古自治区,150000,赤峰市,150400,-12.680564108
17,20010118,内蒙古自治区,150000,赤峰市,150400,-16.4095536342
18,20010119,内蒙古自治区,150000,赤峰市,150400,-17.31122956
19,20010120,内蒙古自治区,150000,赤峰市,150400,-14.1229899659
20,20010121,内蒙古自治区,150000,赤峰市,150400,-14.0759090431
21,20010122,内蒙古自治区,150000,赤峰市,150400,-14.1980808234
22,20010123,内蒙古自治区,150000,赤峰市,150400,-12.5330717347
23,20010124,内蒙古自治区,150000,赤峰市,150400,-11.9319035317
24,20010125,内蒙古自治区,150000,赤峰市,150400,-12.8987941978
25,20010126,内蒙古自治区,150000,赤峰市,150400,-10.771977068
26,20010127,内蒙古自治区,150000,赤峰市,150400,-12.1564546952
27,20010128,内蒙古自治区,150000,赤峰市,150400,-11.2231517823
28,20010129,内蒙古自治区,150000,赤峰市,150400,-11.5790908396
29,20010130,内蒙古自治区,150000,赤峰市,150400,-9.39250389998
30,20010131,内蒙古自治区,150000,赤峰市,150400,-12.9875137983
31,20010201,内蒙古自治区,150000,赤峰市,150400,-15.594481015
32,20010202,内蒙古自治区,150000,赤峰市,150400,-18.6359896896
33,20010203,内蒙古自治区,150000,赤峰市,150400,-20.0354651932
34,20010204,内蒙古自治区,150000,赤峰市,150400,-19.9126431095
35,20010205,内蒙古自治区,150000,赤峰市,150400,-20.1086618723
36,20010206,内蒙古自治区,150000,赤峰市,150400,-19.2248553402
37,20010207,内蒙古自治区,150000,赤峰市,150400,-15.5622933837
38,20010208,内蒙古自治区,150000,赤峰市,150400,-12.0098650613
39,20010209,内蒙古自治区,150000,赤峰市,150400,-14.0945090065
40,20010210,内蒙古自治区,150000,赤峰市,150400,-17.5600117021
41,20010211,内蒙古自治区,150000,赤峰市,150400,-16.5943092039
42,20010212,内蒙古自治区,150000,赤峰市,150400,-13.1413995333
43,20010213,内蒙古自治区,150000,赤峰市,150400,-13.9131638945
44,20010214,内蒙古自治区,150000,赤峰市,150400,-12.5037304133
45,20010215,内蒙古自治区,150000,赤峰市,150400,-11.9984394736
46,20010216,内蒙古自治区,150000,赤峰市,150400,-6.06157565511
47,20010217,内蒙古自治区,150000,赤峰市,150400,-1.59077686351
48,20010218,内蒙古自治区,150000,赤峰市,150400,-2.13163286528
49,20010219,内蒙古自治区,150000,赤峰市,150400,-1.71520626926
50,20010220,内蒙古自治区,150000,赤峰市,150400,0.156132131746
51,20010221,内蒙古自治区,150000,赤峰市,150400,0.437680359476
52,20010222,内蒙古自治区,150000,赤峰市,150400,-6.56159387443
53,20010223,内蒙古自治区,150000,赤峰市,150400,-9.69286293629
54,20010224,内蒙古自治区,150000,赤峰市,150400,-8.16531326948
55,20010225,内蒙古自治区,150000,赤峰市,150400,-3.42168334225
56,20010226,内蒙古自治区,150000,赤峰市,150400,2.06005351754
57,20010227,内蒙古自治区,150000,赤峰市,150400,-0.571661075313
58,20010228,内蒙古自治区,150000,赤峰市,150400,0.0552121296309
59,20010301,内蒙古自治区,150000,赤峰市,150400,-1.83386157082
60,20010302,内蒙古自治区,150000,赤峰市,150400,-1.60978759916
61,20010303,内蒙古自治区,150000,赤峰市,150400,-7.37403278706
62,20010304,内蒙古自治区,150000,赤峰市,150400,-7.34399945184
63,20010305,内蒙古自治区,150000,赤峰市,150400,-6.43387783867
64,20010306,内蒙古自治区,150000,赤峰市,150400,-9.66992958124
65,20010307,内蒙古自治区,150000,赤峰市,150400,-10.7010218723
66,20010308,内蒙古自治区,150000,赤峰市,150400,-10.0471002819
67,20010309,内蒙古自治区,150000,赤峰市,150400,-9.30219273429
68,20010310,内蒙古自治区,150000,赤峰市,150400,-7.6993285191
69,20010311,内蒙古自治区,150000,赤峰市,150400,-4.33776466733
70,20010312,内蒙古自治区,150000,赤峰市,150400,2.96596847327
71,20010313,内蒙古自治区,150000,赤峰市,150400,3.89610768128
72,20010314,内蒙古自治区,150000,赤峰市,150400,-2.89013734638
73,20010315,内蒙古自治区,150000,赤峰市,150400,0.117691781949
74,20010316,内蒙古自治区,150000,赤峰市,150400,4.47256527853
75,20010317,内蒙古自治区,150000,赤峰市,150400,5.04730830163
76,20010318,内蒙古自治区,150000,赤峰市,150400,7.76747561486
77,20010319,内蒙古自治区,150000,赤峰市,150400,8.55101326576
78,20010320,内蒙古自治区,150000,赤峰市,150400,3.23184263139
79,20010321,内蒙古自治区,150000,赤峰市,150400,-1.44209511248
80,20010322,内蒙古自治区,150000,赤峰市,150400,2.18083263579
81,20010323,内蒙古自治区,150000,赤峰市,150400,1.09095731475
82,20010324,内蒙古自治区,150000,赤峰市,150400,-3.18922254871
83,20010325,内蒙古自治区,150000,赤峰市,150400,-5.98278677168
84,20010326,内蒙古自治区,150000,赤峰市,150400,-6.49397027887
85,20010327,内蒙古自治区,150000,赤峰市,150400,-4.16192456587
86,20010328,内蒙古自治区,150000,赤峰市,150400,-2.61294963366
87,20010329,内蒙古自治区,150000,赤峰市,150400,-3.2786270928
88,20010330,内蒙古自治区,150000,赤峰市,150400,-2.35404012756
89,20010331,内蒙古自治区,150000,赤峰市,150400,5.10662945243
90,20010401,内蒙古自治区,150000,赤峰市,150400,8.63279352503
91,20010402,内蒙古自治区,150000,赤峰市,150400,2.59518649177
92,20010403,内蒙古自治区,150000,赤峰市,150400,6.12463019899
93,20010404,内蒙古自治区,150000,赤峰市,150400,7.9273604263
94,20010405,内蒙古自治区,150000,赤峰市,150400,5.31670595693
95,20010406,内蒙古自治区,150000,赤峰市,150400,9.75999909787
96,20010407,内蒙古自治区,150000,赤峰市,150400,10.0128963289
97,20010408,内蒙古自治区,150000,赤峰市,150400,11.8541766986
98,20010409,内蒙古自治区,150000,赤峰市,150400,4.15206048182
99,20010410,内蒙古自治区,150000,赤峰市,150400,2.75996565225
100,20010411,内蒙古自治区,150000,赤峰市,150400,3.3273702419
