,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,四川省,510000,达州市,511700,7.91507178087
1,20010102,四川省,510000,达州市,511700,7.12311632205
2,20010103,四川省,510000,达州市,511700,7.15968589294
3,20010104,四川省,510000,达州市,511700,7.89166742716
4,20010105,四川省,510000,达州市,511700,7.17170692102
5,20010106,四川省,510000,达州市,511700,6.82190408462
6,20010107,四川省,510000,达州市,511700,7.40399149137
7,20010108,四川省,510000,达州市,511700,5.17019731571
8,20010109,四川省,510000,达州市,511700,4.91465767836
9,20010110,四川省,510000,达州市,511700,4.04047105251
10,20010111,四川省,510000,达州市,511700,4.76594157708
11,20010112,四川省,510000,达州市,511700,5.94477785551
12,20010113,四川省,510000,达州市,511700,7.19659871321
13,20010114,四川省,510000,达州市,511700,5.53479494193
14,20010115,四川省,510000,达州市,511700,6.09675912368
15,20010116,四川省,510000,达州市,511700,5.7713593703
16,20010117,四川省,510000,达州市,511700,5.01279837046
17,20010118,四川省,510000,达州市,511700,7.44570567058
18,20010119,四川省,510000,达州市,511700,6.6319224651
19,20010120,四川省,510000,达州市,511700,6.75119956334
20,20010121,四川省,510000,达州市,511700,6.42735805267
21,20010122,四川省,510000,达州市,511700,7.07232345679
22,20010123,四川省,510000,达州市,511700,4.99244812819
23,20010124,四川省,510000,达州市,511700,3.02410460894
24,20010125,四川省,510000,达州市,511700,1.98213902574
25,20010126,四川省,510000,达州市,511700,3.41399147572
26,20010127,四川省,510000,达州市,511700,5.59791376652
27,20010128,四川省,510000,达州市,511700,5.24210574688
28,20010129,四川省,510000,达州市,511700,6.13445338836
29,20010130,四川省,510000,达州市,511700,8.45887839488
30,20010131,四川省,510000,达州市,511700,8.32118005019
31,20010201,四川省,510000,达州市,511700,7.05630913759
32,20010202,四川省,510000,达州市,511700,7.05307835799
33,20010203,四川省,510000,达州市,511700,7.23845085731
34,20010204,四川省,510000,达州市,511700,8.26562820337
35,20010205,四川省,510000,达州市,511700,8.53914384353
36,20010206,四川省,510000,达州市,511700,7.42946808155
37,20010207,四川省,510000,达州市,511700,8.64838365408
38,20010208,四川省,510000,达州市,511700,8.53540043953
39,20010209,四川省,510000,达州市,511700,8.1485040249
40,20010210,四川省,510000,达州市,511700,10.2944663121
41,20010211,四川省,510000,达州市,511700,7.84626722336
42,20010212,四川省,510000,达州市,511700,5.17779627213
43,20010213,四川省,510000,达州市,511700,6.91726768934
44,20010214,四川省,510000,达州市,511700,5.79040326828
45,20010215,四川省,510000,达州市,511700,7.87468202298
46,20010216,四川省,510000,达州市,511700,8.69764358569
47,20010217,四川省,510000,达州市,511700,10.718147718
48,20010218,四川省,510000,达州市,511700,12.2347911933
49,20010219,四川省,510000,达州市,511700,11.0213943873
50,20010220,四川省,510000,达州市,511700,9.68404164681
51,20010221,四川省,510000,达州市,511700,10.6259694344
52,20010222,四川省,510000,达州市,511700,12.1859343602
53,20010223,四川省,510000,达州市,511700,12.7774031223
54,20010224,四川省,510000,达州市,511700,11.4450687995
55,20010225,四川省,510000,达州市,511700,10.061195398
56,20010226,四川省,510000,达州市,511700,7.65014583637
57,20010227,四川省,510000,达州市,511700,7.78815242572
58,20010228,四川省,510000,达州市,511700,9.69845392765
59,20010301,四川省,510000,达州市,511700,11.6145751415
60,20010302,四川省,510000,达州市,511700,11.4437062435
61,20010303,四川省,510000,达州市,511700,11.2569687428
62,20010304,四川省,510000,达州市,511700,12.4487378047
63,20010305,四川省,510000,达州市,511700,14.2622852081
64,20010306,四川省,510000,达州市,511700,15.1144004235
65,20010307,四川省,510000,达州市,511700,9.76623151241
66,20010308,四川省,510000,达州市,511700,10.8274517793
67,20010309,四川省,510000,达州市,511700,9.89246065189
68,20010310,四川省,510000,达州市,511700,12.5109818532
69,20010311,四川省,510000,达州市,511700,14.205254188
70,20010312,四川省,510000,达州市,511700,15.202890714
71,20010313,四川省,510000,达州市,511700,16.9868794466
72,20010314,四川省,510000,达州市,511700,18.8485814608
73,20010315,四川省,510000,达州市,511700,12.1577109068
74,20010316,四川省,510000,达州市,511700,10.1892445638
75,20010317,四川省,510000,达州市,511700,12.9430582584
76,20010318,四川省,510000,达州市,511700,11.8245525605
77,20010319,四川省,510000,达州市,511700,12.7729147153
78,20010320,四川省,510000,达州市,511700,14.9387553288
79,20010321,四川省,510000,达州市,511700,16.8583636651
80,20010322,四川省,510000,达州市,511700,17.2391798557
81,20010323,四川省,510000,达州市,511700,15.8835028624
82,20010324,四川省,510000,达州市,511700,12.675725888
83,20010325,四川省,510000,达州市,511700,14.582572937
84,20010326,四川省,510000,达州市,511700,14.6713125033
85,20010327,四川省,510000,达州市,511700,16.8562791042
86,20010328,四川省,510000,达州市,511700,14.072206864
87,20010329,四川省,510000,达州市,511700,15.5402575273
88,20010330,四川省,510000,达州市,511700,17.7244920975
89,20010331,四川省,510000,达州市,511700,16.7690201295
90,20010401,四川省,510000,达州市,511700,15.0968132019
91,20010402,四川省,510000,达州市,511700,17.6094843547
92,20010403,四川省,510000,达州市,511700,17.855060235
93,20010404,四川省,510000,达州市,511700,18.3141435966
94,20010405,四川省,510000,达州市,511700,17.8240487514
95,20010406,四川省,510000,达州市,511700,18.5188230857
96,20010407,四川省,510000,达州市,511700,17.3694325961
97,20010408,四川省,510000,达州市,511700,19.3040494185
98,20010409,四川省,510000,达州市,511700,12.2937725263
99,20010410,四川省,510000,达州市,511700,6.16049756148
100,20010411,四川省,510000,达州市,511700,9.94449757307
101,20010412,四川省,510000,达州市,511700,12.8133437083
102,20010413,四川省,510000,达州市,511700,16.9251749577
103,20010414,四川省,510000,达州市,511700,14.6821993559
104,20010415,四川省,510000,达州市,511700,17.1565128229
105,20010416,四川省,510000,达州市,511700,18.8109120589
106,20010417,四川省,510000,达州市,511700,19.780098695
