,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山西省,140000,运城市,140800,1.53716517431
1,20010102,山西省,140000,运城市,140800,1.69941875935
2,20010103,山西省,140000,运城市,140800,0.860019608906
3,20010104,山西省,140000,运城市,140800,-0.619396059854
4,20010105,山西省,140000,运城市,140800,-0.733113204581
5,20010106,山西省,140000,运城市,140800,-0.559974629219
6,20010107,山西省,140000,运城市,140800,0.173743278214
7,20010108,山西省,140000,运城市,140800,-1.61348295552
8,20010109,山西省,140000,运城市,140800,-2.17684013503
9,20010110,山西省,140000,运城市,140800,-0.626601256537
10,20010111,山西省,140000,运城市,140800,-0.186679700988
11,20010112,山西省,140000,运城市,140800,0.712621673835
12,20010113,山西省,140000,运城市,140800,-2.04133962584
13,20010114,山西省,140000,运城市,140800,-4.78632542746
14,20010115,山西省,140000,运城市,140800,-3.28315933091
15,20010116,山西省,140000,运城市,140800,-2.42982867445
16,20010117,山西省,140000,运城市,140800,1.00479154267
17,20010118,山西省,140000,运城市,140800,0.421967396247
18,20010119,山西省,140000,运城市,140800,0.212594713164
19,20010120,山西省,140000,运城市,140800,1.82577169404
20,20010121,山西省,140000,运城市,140800,0.890571485886
21,20010122,山西省,140000,运城市,140800,-0.945860987024
22,20010123,山西省,140000,运城市,140800,-2.94240566662
23,20010124,山西省,140000,运城市,140800,-1.80988595762
24,20010125,山西省,140000,运城市,140800,-3.53543901784
25,20010126,山西省,140000,运城市,140800,-2.50223229613
26,20010127,山西省,140000,运城市,140800,-1.31812503263
27,20010128,山西省,140000,运城市,140800,-3.82060671534
28,20010129,山西省,140000,运城市,140800,-1.33425697769
29,20010130,山西省,140000,运城市,140800,1.28811036519
30,20010131,山西省,140000,运城市,140800,0.759425708119
31,20010201,山西省,140000,运城市,140800,0.414858933858
32,20010202,山西省,140000,运城市,140800,2.56762946333
33,20010203,山西省,140000,运城市,140800,2.5609244568
34,20010204,山西省,140000,运城市,140800,1.37719042557
35,20010205,山西省,140000,运城市,140800,0.0528562465949
36,20010206,山西省,140000,运城市,140800,-0.498916706869
37,20010207,山西省,140000,运城市,140800,-1.25345369663
38,20010208,山西省,140000,运城市,140800,1.64919297184
39,20010209,山西省,140000,运城市,140800,2.38880169094
40,20010210,山西省,140000,运城市,140800,3.48237720387
41,20010211,山西省,140000,运城市,140800,-1.23023203148
42,20010212,山西省,140000,运城市,140800,-0.921360062276
43,20010213,山西省,140000,运城市,140800,1.14226960923
44,20010214,山西省,140000,运城市,140800,4.77600559507
45,20010215,山西省,140000,运城市,140800,3.03963357977
46,20010216,山西省,140000,运城市,140800,3.84381860324
47,20010217,山西省,140000,运城市,140800,5.469653368
48,20010218,山西省,140000,运城市,140800,9.05398261206
49,20010219,山西省,140000,运城市,140800,8.70287617275
50,20010220,山西省,140000,运城市,140800,6.6722260407
51,20010221,山西省,140000,运城市,140800,9.85889208657
52,20010222,山西省,140000,运城市,140800,7.58015809059
53,20010223,山西省,140000,运城市,140800,4.39507556983
54,20010224,山西省,140000,运城市,140800,1.33062634165
55,20010225,山西省,140000,运城市,140800,3.05113349621
56,20010226,山西省,140000,运城市,140800,0.888107774726
57,20010227,山西省,140000,运城市,140800,5.02625589371
58,20010228,山西省,140000,运城市,140800,7.89718619074
59,20010301,山西省,140000,运城市,140800,11.4112894194
60,20010302,山西省,140000,运城市,140800,8.72877990178
61,20010303,山西省,140000,运城市,140800,5.8627613272
62,20010304,山西省,140000,运城市,140800,8.72956177848
63,20010305,山西省,140000,运城市,140800,8.86487945829
64,20010306,山西省,140000,运城市,140800,3.75570347479
65,20010307,山西省,140000,运城市,140800,1.33453708376
66,20010308,山西省,140000,运城市,140800,1.79291215539
67,20010309,山西省,140000,运城市,140800,6.20490307127
68,20010310,山西省,140000,运城市,140800,9.2481079374
69,20010311,山西省,140000,运城市,140800,9.69072020394
70,20010312,山西省,140000,运城市,140800,13.6206023897
71,20010313,山西省,140000,运城市,140800,14.955459731
72,20010314,山西省,140000,运城市,140800,11.1950329644
73,20010315,山西省,140000,运城市,140800,6.03576643126
74,20010316,山西省,140000,运城市,140800,3.54796192838
75,20010317,山西省,140000,运城市,140800,9.46556421007
76,20010318,山西省,140000,运城市,140800,11.635276413
77,20010319,山西省,140000,运城市,140800,13.1318335124
78,20010320,山西省,140000,运城市,140800,13.733074052
79,20010321,山西省,140000,运城市,140800,16.2380936486
80,20010322,山西省,140000,运城市,140800,11.8567563738
81,20010323,山西省,140000,运城市,140800,13.5695062092
82,20010324,山西省,140000,运城市,140800,15.6455168315
83,20010325,山西省,140000,运城市,140800,13.2495389121
84,20010326,山西省,140000,运城市,140800,11.4429331507
85,20010327,山西省,140000,运城市,140800,5.40142410142
86,20010328,山西省,140000,运城市,140800,6.66887775149
87,20010329,山西省,140000,运城市,140800,11.6604569844
88,20010330,山西省,140000,运城市,140800,12.4800770078
89,20010331,山西省,140000,运城市,140800,11.4815715245
90,20010401,山西省,140000,运城市,140800,14.3275277002
91,20010402,山西省,140000,运城市,140800,17.3776044028
92,20010403,山西省,140000,运城市,140800,13.0360025951
93,20010404,山西省,140000,运城市,140800,13.8543428966
94,20010405,山西省,140000,运城市,140800,12.4130198615
95,20010406,山西省,140000,运城市,140800,11.7075763157
96,20010407,山西省,140000,运城市,140800,15.7885629109
97,20010408,山西省,140000,运城市,140800,17.1316978182
98,20010409,山西省,140000,运城市,140800,3.48204421827
99,20010410,山西省,140000,运城市,140800,4.73610161202
100,20010411,山西省,140000,运城市,140800,8.48607271739
101,20010412,山西省,140000,运城市,140800,12.9067137309
102,20010413,山西省,140000,运城市,140800,12.6595878329
103,20010414,山西省,140000,运城市,140800,12.4166203363
104,20010415,山西省,140000,运城市,140800,16.1129283905
105,20010416,山西省,140000,运城市,140800,18.562864903
106,20010417,山西省,140000,运城市,140800,21.2405817304
107,20010418,山西省,140000,运城市,140800,21.7897585188
108,20010419,山西省,140000,运城市,140800,18.08068864
109,20010420,山西省,140000,运城市,140800,8.74707286017
110,20010421,山西省,140000,运城市,140800,8.68912514278
111,20010422,山西省,140000,运城市,140800,13.7261254174
112,20010423,山西省,140000,运城市,140800,9.86667194366
113,20010424,山西省,140000,运城市,140800,11.8819758279
114,20010425,山西省,140000,运城市,140800,13.8778012684
115,20010426,山西省,140000,运城市,140800,16.982397243
116,20010427,山西省,140000,运城市,140800,18.4081715993
117,20010428,山西省,140000,运城市,140800,16.3563955307
118,20010429,山西省,140000,运城市,140800,16.7129139219
119,20010430,山西省,140000,运城市,140800,15.0383345468
120,20010501,山西省,140000,运城市,140800,19.7541494097
121,20010502,山西省,140000,运城市,140800,18.3746389662
122,20010503,山西省,140000,运城市,140800,18.7746788842
123,20010504,山西省,140000,运城市,140800,17.6103270122
124,20010505,山西省,140000,运城市,140800,20.8970858983
125,20010506,山西省,140000,运城市,140800,21.7192138127
126,20010507,山西省,140000,运城市,140800,20.110733223
127,20010508,山西省,140000,运城市,140800,20.7190131051
128,20010509,山西省,140000,运城市,140800,20.9089069911
129,20010510,山西省,140000,运城市,140800,22.9072437831
130,20010511,山西省,140000,运城市,140800,22.7103712899
131,20010512,山西省,140000,运城市,140800,20.7035666874
132,20010513,山西省,140000,运城市,140800,25.1555559976
133,20010514,山西省,140000,运城市,140800,21.7614847728
134,20010515,山西省,140000,运城市,140800,20.1364300592
135,20010516,山西省,140000,运城市,140800,16.0704439163
136,20010517,山西省,140000,运城市,140800,20.1357331957
137,20010518,山西省,140000,运城市,140800,22.8008498056
138,20010519,山西省,140000,运城市,140800,24.2548898969
139,20010520,山西省,140000,运城市,140800,25.3501307351
140,20010521,山西省,140000,运城市,140800,26.2532290322
141,20010522,山西省,140000,运城市,140800,26.659608514
142,20010523,山西省,140000,运城市,140800,25.0041073935
143,20010524,山西省,140000,运城市,140800,18.6748751777
144,20010525,山西省,140000,运城市,140800,20.6421918597
145,20010526,山西省,140000,运城市,140800,22.5444232396
146,20010527,山西省,140000,运城市,140800,22.8176225935
147,20010528,山西省,140000,运城市,140800,24.9830950601
148,20010529,山西省,140000,运城市,140800,22.9289339338
149,20010530,山西省,140000,运城市,140800,20.9795253754
150,20010531,山西省,140000,运城市,140800,21.5808992113
151,20010601,山西省,140000,运城市,140800,23.9678609576
152,20010602,山西省,140000,运城市,140800,25.0919960022
153,20010603,山西省,140000,运城市,140800,25.4182603564
154,20010604,山西省,140000,运城市,140800,24.5902531215
155,20010605,山西省,140000,运城市,140800,26.2252095359
156,20010606,山西省,140000,运城市,140800,27.8197683607
157,20010607,山西省,140000,运城市,140800,27.7576414926
158,20010608,山西省,140000,运城市,140800,24.1440620422
159,20010609,山西省,140000,运城市,140800,19.6123004096
160,20010610,山西省,140000,运城市,140800,22.4069779532
161,20010611,山西省,140000,运城市,140800,24.0577671051
162,20010612,山西省,140000,运城市,140800,20.5822701045
163,20010613,山西省,140000,运城市,140800,23.987562888
164,20010614,山西省,140000,运城市,140800,25.8448490688
165,20010615,山西省,140000,运城市,140800,22.4353340694
166,20010616,山西省,140000,运城市,140800,23.9768929618
167,20010617,山西省,140000,运城市,140800,24.8401626587
168,20010618,山西省,140000,运城市,140800,26.2043655396
169,20010619,山西省,140000,运城市,140800,27.3306925092
170,20010620,山西省,140000,运城市,140800,25.8488119398
171,20010621,山西省,140000,运城市,140800,26.3726247515
172,20010622,山西省,140000,运城市,140800,25.3261125292
173,20010623,山西省,140000,运城市,140800,24.8693850381
174,20010624,山西省,140000,运城市,140800,25.4840556553
175,20010625,山西省,140000,运城市,140800,25.6914672852
176,20010626,山西省,140000,运城市,140800,28.5687316895
177,20010627,山西省,140000,运城市,140800,30.8987176623
178,20010628,山西省,140000,运城市,140800,24.8000921522
179,20010629,山西省,140000,运城市,140800,24.2371529715
180,20010630,山西省,140000,运城市,140800,28.7180376325
181,20010701,山西省,140000,运城市,140800,30.7442828042
182,20010702,山西省,140000,运城市,140800,27.3960522788
183,20010703,山西省,140000,运城市,140800,24.385294669
184,20010704,山西省,140000,运城市,140800,29.4733628409
185,20010705,山西省,140000,运城市,140800,30.2837279184
186,20010706,山西省,140000,运城市,140800,28.430972726
187,20010707,山西省,140000,运城市,140800,28.9753812517
188,20010708,山西省,140000,运城市,140800,31.1968970707
189,20010709,山西省,140000,运城市,140800,30.4982716697
190,20010710,山西省,140000,运城市,140800,23.6809012277
191,20010711,山西省,140000,运城市,140800,23.0903193883
192,20010712,山西省,140000,运城市,140800,27.8540217263
193,20010713,山西省,140000,运城市,140800,29.4093762534
194,20010714,山西省,140000,运城市,140800,28.6391805921
195,20010715,山西省,140000,运城市,140800,28.9771216256
196,20010716,山西省,140000,运城市,140800,28.906609181
197,20010717,山西省,140000,运城市,140800,28.5090849195
198,20010718,山西省,140000,运城市,140800,28.5819507599
199,20010719,山西省,140000,运城市,140800,29.6117195674
200,20010720,山西省,140000,运城市,140800,26.2672962189
201,20010721,山西省,140000,运城市,140800,25.5203887394
202,20010722,山西省,140000,运城市,140800,27.7444816589
203,20010723,山西省,140000,运城市,140800,27.626455961
204,20010724,山西省,140000,运城市,140800,25.2580803462
205,20010725,山西省,140000,运城市,140800,27.9145519802
206,20010726,山西省,140000,运城市,140800,26.6866164616
207,20010727,山西省,140000,运城市,140800,21.5138151986
208,20010728,山西省,140000,运城市,140800,23.8708106995
209,20010729,山西省,140000,运城市,140800,21.2360046387
210,20010730,山西省,140000,运城市,140800,23.12924069
211,20010731,山西省,140000,运城市,140800,25.4313106537
212,20010801,山西省,140000,运城市,140800,25.6606498718
213,20010802,山西省,140000,运城市,140800,25.0707877568
214,20010803,山西省,140000,运城市,140800,25.7739911216
215,20010804,山西省,140000,运城市,140800,27.0933673859
216,20010805,山西省,140000,运城市,140800,28.327954919
217,20010806,山西省,140000,运城市,140800,28.3881468637
218,20010807,山西省,140000,运城市,140800,26.5198714665
219,20010808,山西省,140000,运城市,140800,25.1774906158
220,20010809,山西省,140000,运城市,140800,23.5961736407
221,20010810,山西省,140000,运城市,140800,24.6575904846
222,20010811,山西省,140000,运城市,140800,23.695078877
223,20010812,山西省,140000,运城市,140800,24.7009888785
224,20010813,山西省,140000,运城市,140800,24.7674376896
225,20010814,山西省,140000,运城市,140800,24.1830676488
226,20010815,山西省,140000,运城市,140800,23.7839288984
227,20010816,山西省,140000,运城市,140800,22.9681130545
228,20010817,山西省,140000,运城市,140800,25.1241475242
229,20010818,山西省,140000,运城市,140800,24.8387045724
230,20010819,山西省,140000,运城市,140800,19.4541410719
231,20010820,山西省,140000,运城市,140800,21.4046834128
232,20010821,山西省,140000,运城市,140800,24.0267070225
233,20010822,山西省,140000,运城市,140800,25.0612083435
234,20010823,山西省,140000,运城市,140800,26.3789158412
235,20010824,山西省,140000,运城市,140800,25.5285059793
236,20010825,山西省,140000,运城市,140800,25.8474305834
237,20010826,山西省,140000,运城市,140800,23.5535199302
238,20010827,山西省,140000,运城市,140800,21.6054828644
239,20010828,山西省,140000,运城市,140800,19.0934966496
240,20010829,山西省,140000,运城市,140800,21.1339894976
241,20010830,山西省,140000,运城市,140800,19.7633970261
242,20010831,山西省,140000,运城市,140800,21.2126165662
243,20010901,山西省,140000,运城市,140800,22.3195552826
244,20010902,山西省,140000,运城市,140800,23.6279729026
245,20010903,山西省,140000,运城市,140800,21.0696285248
246,20010904,山西省,140000,运城市,140800,22.6019482204
247,20010905,山西省,140000,运城市,140800,24.3558995383
248,20010906,山西省,140000,运城市,140800,24.4233048575
249,20010907,山西省,140000,运城市,140800,19.1176658903
250,20010908,山西省,140000,运城市,140800,19.8578412192
251,20010909,山西省,140000,运城市,140800,20.7224903107
252,20010910,山西省,140000,运城市,140800,21.6009656089
253,20010911,山西省,140000,运城市,140800,22.109003067
254,20010912,山西省,140000,运城市,140800,22.2217345101
255,20010913,山西省,140000,运城市,140800,22.7534600394
256,20010914,山西省,140000,运城市,140800,23.3066820417
257,20010915,山西省,140000,运城市,140800,23.7552950178
258,20010916,山西省,140000,运城市,140800,22.5084411621
259,20010917,山西省,140000,运城市,140800,17.8380745207
260,20010918,山西省,140000,运城市,140800,17.3123079845
261,20010919,山西省,140000,运城市,140800,12.1384282793
262,20010920,山西省,140000,运城市,140800,12.8023445947
263,20010921,山西省,140000,运城市,140800,13.5354612895
264,20010922,山西省,140000,运城市,140800,15.2964407512
265,20010923,山西省,140000,运城市,140800,16.3447169985
266,20010924,山西省,140000,运城市,140800,17.9849574225
267,20010925,山西省,140000,运城市,140800,17.9672716686
268,20010926,山西省,140000,运城市,140800,16.5964848655
269,20010927,山西省,140000,运城市,140800,18.9061418261
270,20010928,山西省,140000,运城市,140800,17.3513002668
271,20010929,山西省,140000,运城市,140800,14.6869538988
272,20010930,山西省,140000,运城市,140800,15.8995960236
273,20011001,山西省,140000,运城市,140800,17.2699249813
274,20011002,山西省,140000,运城市,140800,14.4801778793
275,20011003,山西省,140000,运城市,140800,13.0080248424
276,20011004,山西省,140000,运城市,140800,15.4137670517
277,20011005,山西省,140000,运城市,140800,16.0947816576
278,20011006,山西省,140000,运城市,140800,13.9104085377
279,20011007,山西省,140000,运城市,140800,13.8471080508
280,20011008,山西省,140000,运城市,140800,13.3235528673
281,20011009,山西省,140000,运城市,140800,14.3468316487
282,20011010,山西省,140000,运城市,140800,16.5986277444
283,20011011,山西省,140000,运城市,140800,16.7358469554
284,20011012,山西省,140000,运城市,140800,13.5161373138
285,20011013,山西省,140000,运城市,140800,13.7719477517
286,20011014,山西省,140000,运城市,140800,12.0309682846
287,20011015,山西省,140000,运城市,140800,13.8906720843
288,20011016,山西省,140000,运城市,140800,13.8830341612
289,20011017,山西省,140000,运城市,140800,14.2265460423
290,20011018,山西省,140000,运城市,140800,15.7201382773
291,20011019,山西省,140000,运城市,140800,14.0651220867
292,20011020,山西省,140000,运城市,140800,13.6192498888
293,20011021,山西省,140000,运城市,140800,14.0912203925
294,20011022,山西省,140000,运城市,140800,16.2914710454
295,20011023,山西省,140000,运城市,140800,16.2798721586
296,20011024,山西省,140000,运城市,140800,16.0641530446
297,20011025,山西省,140000,运城市,140800,14.2772415434
298,20011026,山西省,140000,运城市,140800,14.2175878252
299,20011027,山西省,140000,运城市,140800,14.3821027211
300,20011028,山西省,140000,运城市,140800,13.0959793908
301,20011029,山西省,140000,运城市,140800,12.1231742586
302,20011030,山西省,140000,运城市,140800,12.6852814266
303,20011031,山西省,140000,运城市,140800,12.2835628237
304,20011101,山西省,140000,运城市,140800,9.96415664128
305,20011102,山西省,140000,运城市,140800,8.52164162227
306,20011103,山西省,140000,运城市,140800,9.63041233335
307,20011104,山西省,140000,运城市,140800,9.26417531967
308,20011105,山西省,140000,运城市,140800,7.31168802806
309,20011106,山西省,140000,运城市,140800,7.77061969212
