,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,贵州省,520000,遵义市,520300,7.17327717767
1,20010102,贵州省,520000,遵义市,520300,6.66172236982
2,20010103,贵州省,520000,遵义市,520300,7.10249904964
3,20010104,贵州省,520000,遵义市,520300,7.82422894326
4,20010105,贵州省,520000,遵义市,520300,7.29870475548
5,20010106,贵州省,520000,遵义市,520300,8.78201908996
6,20010107,贵州省,520000,遵义市,520300,9.22468451486
7,20010108,贵州省,520000,遵义市,520300,6.45565547805
8,20010109,贵州省,520000,遵义市,520300,3.52401699191
9,20010110,贵州省,520000,遵义市,520300,4.61607411288
10,20010111,贵州省,520000,遵义市,520300,6.75227332461
11,20010112,贵州省,520000,遵义市,520300,5.74798875615
12,20010113,贵州省,520000,遵义市,520300,7.7357753187
13,20010114,贵州省,520000,遵义市,520300,4.07279982083
14,20010115,贵州省,520000,遵义市,520300,4.08206596236
15,20010116,贵州省,520000,遵义市,520300,6.5193494852
16,20010117,贵州省,520000,遵义市,520300,6.54012927456
17,20010118,贵州省,520000,遵义市,520300,8.36433535728
18,20010119,贵州省,520000,遵义市,520300,8.34725469783
19,20010120,贵州省,520000,遵义市,520300,9.72026466978
20,20010121,贵州省,520000,遵义市,520300,9.11797625777
21,20010122,贵州省,520000,遵义市,520300,7.58442997587
22,20010123,贵州省,520000,遵义市,520300,5.28005310418
23,20010124,贵州省,520000,遵义市,520300,3.40276141098
24,20010125,贵州省,520000,遵义市,520300,3.03672112589
25,20010126,贵州省,520000,遵义市,520300,4.82033237513
26,20010127,贵州省,520000,遵义市,520300,3.77057133205
27,20010128,贵州省,520000,遵义市,520300,4.46029492047
28,20010129,贵州省,520000,遵义市,520300,6.10955018583
29,20010130,贵州省,520000,遵义市,520300,7.77382952925
30,20010131,贵州省,520000,遵义市,520300,7.53487982957
31,20010201,贵州省,520000,遵义市,520300,5.16784589878
32,20010202,贵州省,520000,遵义市,520300,4.96182191545
33,20010203,贵州省,520000,遵义市,520300,6.2621785385
34,20010204,贵州省,520000,遵义市,520300,7.55941936244
35,20010205,贵州省,520000,遵义市,520300,8.88087741879
36,20010206,贵州省,520000,遵义市,520300,7.95409991085
37,20010207,贵州省,520000,遵义市,520300,7.54751633216
38,20010208,贵州省,520000,遵义市,520300,4.8132043956
39,20010209,贵州省,520000,遵义市,520300,5.76697720652
40,20010210,贵州省,520000,遵义市,520300,8.03868571572
41,20010211,贵州省,520000,遵义市,520300,7.01319885945
42,20010212,贵州省,520000,遵义市,520300,5.56829037874
43,20010213,贵州省,520000,遵义市,520300,4.29823876118
44,20010214,贵州省,520000,遵义市,520300,7.07950470413
45,20010215,贵州省,520000,遵义市,520300,8.18968425281
46,20010216,贵州省,520000,遵义市,520300,10.5467627981
47,20010217,贵州省,520000,遵义市,520300,11.7598713723
48,20010218,贵州省,520000,遵义市,520300,12.5028936552
49,20010219,贵州省,520000,遵义市,520300,11.2742314961
50,20010220,贵州省,520000,遵义市,520300,11.4774908259
51,20010221,贵州省,520000,遵义市,520300,13.1416280995
52,20010222,贵州省,520000,遵义市,520300,16.5701310255
53,20010223,贵州省,520000,遵义市,520300,15.0080908762
