,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,重庆市,500000,重庆市,500000,7.54054003385
1,20010102,重庆市,500000,重庆市,500000,7.20519957231
2,20010103,重庆市,500000,重庆市,500000,7.44239283566
3,20010104,重庆市,500000,重庆市,500000,8.10990745698
4,20010105,重庆市,500000,重庆市,500000,7.34885932692
5,20010106,重庆市,500000,重庆市,500000,7.48036181388
6,20010107,重庆市,500000,重庆市,500000,7.58158165965
7,20010108,重庆市,500000,重庆市,500000,5.56232870524
8,20010109,重庆市,500000,重庆市,500000,4.47117857478
9,20010110,重庆市,500000,重庆市,500000,4.26937561419
10,20010111,重庆市,500000,重庆市,500000,5.59042026649
11,20010112,重庆市,500000,重庆市,500000,5.58131539282
12,20010113,重庆市,500000,重庆市,500000,7.2553273038
13,20010114,重庆市,500000,重庆市,500000,4.97555497783
14,20010115,重庆市,500000,重庆市,500000,5.70310701198
15,20010116,重庆市,500000,重庆市,500000,6.49414166973
16,20010117,重庆市,500000,重庆市,500000,6.13603612526
17,20010118,重庆市,500000,重庆市,500000,7.89539524778
18,20010119,重庆市,500000,重庆市,500000,7.5499885837
19,20010120,重庆市,500000,重庆市,500000,7.92791935187
20,20010121,重庆市,500000,重庆市,500000,7.77921509623
21,20010122,重庆市,500000,重庆市,500000,7.19142186582
22,20010123,重庆市,500000,重庆市,500000,5.68897100789
23,20010124,重庆市,500000,重庆市,500000,3.78520113559
24,20010125,重庆市,500000,重庆市,500000,2.91245124388
25,20010126,重庆市,500000,重庆市,500000,4.64438072521
26,20010127,重庆市,500000,重庆市,500000,4.6428354062
27,20010128,重庆市,500000,重庆市,500000,5.52326909981
28,20010129,重庆市,500000,重庆市,500000,7.2375185885
29,20010130,重庆市,500000,重庆市,500000,8.89783807496
30,20010131,重庆市,500000,重庆市,500000,8.38063927272
31,20010201,重庆市,500000,重庆市,500000,6.76344201553
32,20010202,重庆市,500000,重庆市,500000,6.44084491442
33,20010203,重庆市,500000,重庆市,500000,6.62221774624
34,20010204,重庆市,500000,重庆市,500000,7.91160434694
35,20010205,重庆市,500000,重庆市,500000,8.72889967061
36,20010206,重庆市,500000,重庆市,500000,7.57045468134
37,20010207,重庆市,500000,重庆市,500000,8.54284797362
38,20010208,重庆市,500000,重庆市,500000,7.67472344787
39,20010209,重庆市,500000,重庆市,500000,7.887881025
40,20010210,重庆市,500000,重庆市,500000,10.1273042257
41,20010211,重庆市,500000,重庆市,500000,7.58895195429
42,20010212,重庆市,500000,重庆市,500000,5.43982940703
43,20010213,重庆市,500000,重庆市,500000,5.78353546612
44,20010214,重庆市,500000,重庆市,500000,6.69552234429
45,20010215,重庆市,500000,重庆市,500000,8.49954996157
46,20010216,重庆市,500000,重庆市,500000,10.2101885398
47,20010217,重庆市,500000,重庆市,500000,11.1863525573
48,20010218,重庆市,500000,重庆市,500000,12.163405035
