,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山西省,140000,长治市,140400,-0.393595252505
1,20010102,山西省,140000,长治市,140400,-0.730424869433
2,20010103,山西省,140000,长治市,140400,-2.9129278183
3,20010104,山西省,140000,长治市,140400,-4.12303847585
4,20010105,山西省,140000,长治市,140400,-2.50493194035
5,20010106,山西省,140000,长治市,140400,-3.33821748325
6,20010107,山西省,140000,长治市,140400,-2.62001858439
7,20010108,山西省,140000,长治市,140400,-3.20475223405
8,20010109,山西省,140000,长治市,140400,-6.14715964454
9,20010110,山西省,140000,长治市,140400,-4.57027190072
10,20010111,山西省,140000,长治市,140400,-4.58084355422
11,20010112,山西省,140000,长治市,140400,-3.29293867179
12,20010113,山西省,140000,长治市,140400,-6.78136149815
13,20010114,山西省,140000,长治市,140400,-9.2747537068
14,20010115,山西省,140000,长治市,140400,-8.43854585375
15,20010116,山西省,140000,长治市,140400,-6.83314089094
16,20010117,山西省,140000,长治市,140400,-4.10165461813
17,20010118,山西省,140000,长治市,140400,-3.00239965575
18,20010119,山西省,140000,长治市,140400,-3.2075052057
19,20010120,山西省,140000,长治市,140400,-2.01131506988
20,20010121,山西省,140000,长治市,140400,-1.96984055723
21,20010122,山西省,140000,长治市,140400,-2.73494945935
22,20010123,山西省,140000,长治市,140400,-4.57248048782
23,20010124,山西省,140000,长治市,140400,-3.32734385899
24,20010125,山西省,140000,长治市,140400,-4.95636540822
25,20010126,山西省,140000,长治市,140400,-4.34803569657
26,20010127,山西省,140000,长治市,140400,-2.64084289627
27,20010128,山西省,140000,长治市,140400,-5.10756834575
28,20010129,山西省,140000,长治市,140400,-2.53176083267
29,20010130,山西省,140000,长治市,140400,-0.634569412882
30,20010131,山西省,140000,长治市,140400,-1.06701701797
31,20010201,山西省,140000,长治市,140400,-2.35746454043
32,20010202,山西省,140000,长治市,140400,-0.446911170493
33,20010203,山西省,140000,长治市,140400,-0.699499278968
34,20010204,山西省,140000,长治市,140400,-1.02722015743
35,20010205,山西省,140000,长治市,140400,-2.09286505495
