,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,安徽省,340000,阜阳市,341200,5.01005293846
1,20010102,安徽省,340000,阜阳市,341200,6.53994184494
2,20010103,安徽省,340000,阜阳市,341200,4.62984228134
3,20010104,安徽省,340000,阜阳市,341200,3.40773676872
4,20010105,安徽省,340000,阜阳市,341200,5.3723787117
5,20010106,安徽省,340000,阜阳市,341200,3.02586261272
6,20010107,安徽省,340000,阜阳市,341200,1.47196412802
7,20010108,安徽省,340000,阜阳市,341200,0.876592882872
8,20010109,安徽省,340000,阜阳市,341200,0.0191405927576
9,20010110,安徽省,340000,阜阳市,341200,2.32930198193
10,20010111,安徽省,340000,阜阳市,341200,1.87507921338
11,20010112,安徽省,340000,阜阳市,341200,-0.145001672506
12,20010113,安徽省,340000,阜阳市,341200,-0.24697557807
13,20010114,安徽省,340000,阜阳市,341200,-2.84275898933
14,20010115,安徽省,340000,阜阳市,341200,-2.12060214996
15,20010116,安徽省,340000,阜阳市,341200,1.0932056576
16,20010117,安徽省,340000,阜阳市,341200,4.16699907303
17,20010118,安徽省,340000,阜阳市,341200,6.43259782791
18,20010119,安徽省,340000,阜阳市,341200,1.12267206043
19,20010120,安徽省,340000,阜阳市,341200,0.420216184054
20,20010121,安徽省,340000,阜阳市,341200,2.32467666864
21,20010122,安徽省,340000,阜阳市,341200,1.76662935242
22,20010123,安徽省,340000,阜阳市,341200,1.220222973
23,20010124,安徽省,340000,阜阳市,341200,0.262251133919
24,20010125,安徽省,340000,阜阳市,341200,-2.18797910213
25,20010126,安徽省,340000,阜阳市,341200,-3.7451578331
26,20010127,安徽省,340000,阜阳市,341200,-0.313275380135
27,20010128,安徽省,340000,阜阳市,341200,-0.165453000367
28,20010129,安徽省,340000,阜阳市,341200,2.71189439297
29,20010130,安徽省,340000,阜阳市,341200,5.44077892303
30,20010131,安徽省,340000,阜阳市,341200,3.86821195602
31,20010201,安徽省,340000,阜阳市,341200,2.57849769592
32,20010202,安徽省,340000,阜阳市,341200,4.2541100502
33,20010203,安徽省,340000,阜阳市,341200,5.03113320351
34,20010204,安徽省,340000,阜阳市,341200,3.68158122063
35,20010205,安徽省,340000,阜阳市,341200,3.83105157852
36,20010206,安徽省,340000,阜阳市,341200,-1.33479883999
37,20010207,安徽省,340000,阜阳市,341200,-2.07539566278
38,20010208,安徽省,340000,阜阳市,341200,1.11793927789
39,20010209,安徽省,340000,阜阳市,341200,3.38992927074
40,20010210,安徽省,340000,阜阳市,341200,5.52011283875
41,20010211,安徽省,340000,阜阳市,341200,2.97790162563
42,20010212,安徽省,340000,阜阳市,341200,1.58866290182
43,20010213,安徽省,340000,阜阳市,341200,1.31233823299
44,20010214,安徽省,340000,阜阳市,341200,5.61042789459
45,20010215,安徽省,340000,阜阳市,341200,7.18106147766
46,20010216,安徽省,340000,阜阳市,341200,4.73179700851
47,20010217,安徽省,340000,阜阳市,341200,2.92295453072
48,20010218,安徽省,340000,阜阳市,341200,8.72174758911
49,20010219,安徽省,340000,阜阳市,341200,10.4287376022
50,20010220,安徽省,340000,阜阳市,341200,6.55556554794
51,20010221,安徽省,340000,阜阳市,341200,7.8875491333
52,20010222,安徽省,340000,阜阳市,341200,10.8383476257
53,20010223,安徽省,340000,阜阳市,341200,1.78743700624
54,20010224,安徽省,340000,阜阳市,341200,1.34577247143
55,20010225,安徽省,340000,阜阳市,341200,3.14670574188
