,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广西壮族自治区,450000,防城港市,450600,17.2795697726
1,20010102,广西壮族自治区,450000,防城港市,450600,17.7453682239
2,20010103,广西壮族自治区,450000,防城港市,450600,14.8570156097
3,20010104,广西壮族自治区,450000,防城港市,450600,14.694190979
4,20010105,广西壮族自治区,450000,防城港市,450600,18.1774743887
5,20010106,广西壮族自治区,450000,防城港市,450600,19.7139006395
6,20010107,广西壮族自治区,450000,防城港市,450600,20.8866483248
7,20010108,广西壮族自治区,450000,防城港市,450600,21.6228429354
8,20010109,广西壮族自治区,450000,防城港市,450600,11.8536799504
9,20010110,广西壮族自治区,450000,防城港市,450600,10.3466719847
10,20010111,广西壮族自治区,450000,防城港市,450600,13.5993793194
11,20010112,广西壮族自治区,450000,防城港市,450600,14.5791309797
12,20010113,广西壮族自治区,450000,防城港市,450600,14.5198453756
13,20010114,广西壮族自治区,450000,防城港市,450600,14.2326403398
14,20010115,广西壮族自治区,450000,防城港市,450600,9.20755224962
15,20010116,广西壮族自治区,450000,防城港市,450600,9.9338158094
16,20010117,广西壮族自治区,450000,防城港市,450600,12.8645918919
17,20010118,广西壮族自治区,450000,防城港市,450600,16.8028037731
18,20010119,广西壮族自治区,450000,防城港市,450600,19.5449984624
19,20010120,广西壮族自治区,450000,防城港市,450600,19.3255913074
20,20010121,广西壮族自治区,450000,防城港市,450600,20.2329631219
21,20010122,广西壮族自治区,450000,防城港市,450600,22.1581381284
22,20010123,广西壮族自治区,450000,防城港市,450600,23.0291640942
23,20010124,广西壮族自治区,450000,防城港市,450600,21.3950540102
24,20010125,广西壮族自治区,450000,防城港市,450600,11.689450264
25,20010126,广西壮族自治区,450000,防城港市,450600,11.1470098495
26,20010127,广西壮族自治区,450000,防城港市,450600,10.5372024683
27,20010128,广西壮族自治区,450000,防城港市,450600,12.1337804794
28,20010129,广西壮族自治区,450000,防城港市,450600,13.349016483
29,20010130,广西壮族自治区,450000,防城港市,450600,12.8296637168
30,20010131,广西壮族自治区,450000,防城港市,450600,12.8959630086
31,20010201,广西壮族自治区,450000,防城港市,450600,11.6299406932
32,20010202,广西壮族自治区,450000,防城港市,450600,9.34490915445
33,20010203,广西壮族自治区,450000,防城港市,450600,10.4032857601
34,20010204,广西壮族自治区,450000,防城港市,450600,13.2687781407
35,20010205,广西壮族自治区,450000,防城港市,450600,16.3391262201
36,20010206,广西壮族自治区,450000,防城港市,450600,18.4403865521
37,20010207,广西壮族自治区,450000,防城港市,450600,14.7850251565
38,20010208,广西壮族自治区,450000,防城港市,450600,11.4218975214
39,20010209,广西壮族自治区,450000,防城港市,450600,9.60679611793
40,20010210,广西壮族自治区,450000,防城港市,450600,10.9352199848
41,20010211,广西壮族自治区,450000,防城港市,450600,12.5813308129
42,20010212,广西壮族自治区,450000,防城港市,450600,15.3729345615
43,20010213,广西壮族自治区,450000,防城港市,450600,12.059290079
44,20010214,广西壮族自治区,450000,防城港市,450600,12.8970675102
45,20010215,广西壮族自治区,450000,防城港市,450600,15.1175495294
46,20010216,广西壮族自治区,450000,防城港市,450600,15.9006307308
47,20010217,广西壮族自治区,450000,防城港市,450600,17.9639186859
48,20010218,广西壮族自治区,450000,防城港市,450600,18.5013204721
49,20010219,广西壮族自治区,450000,防城港市,450600,19.5710738255
50,20010220,广西壮族自治区,450000,防城港市,450600,20.7621404208
51,20010221,广西壮族自治区,450000,防城港市,450600,20.9639070951
52,20010222,广西壮族自治区,450000,防城港市,450600,21.2037793673
53,20010223,广西壮族自治区,450000,防城港市,450600,21.6686647855
54,20010224,广西壮族自治区,450000,防城港市,450600,16.3660898942
55,20010225,广西壮族自治区,450000,防城港市,450600,11.3477953397
56,20010226,广西壮族自治区,450000,防城港市,450600,11.7267640921
57,20010227,广西壮族自治区,450000,防城港市,450600,13.1566872964
58,20010228,广西壮族自治区,450000,防城港市,450600,14.3147497177
59,20010301,广西壮族自治区,450000,防城港市,450600,16.3273506165
60,20010302,广西壮族自治区,450000,防城港市,450600,18.0694280771
61,20010303,广西壮族自治区,450000,防城港市,450600,16.574968338
62,20010304,广西壮族自治区,450000,防城港市,450600,18.0943584442
63,20010305,广西壮族自治区,450000,防城港市,450600,19.240752587
64,20010306,广西壮族自治区,450000,防城港市,450600,20.7406068949
65,20010307,广西壮族自治区,450000,防城港市,450600,19.3779354095
66,20010308,广西壮族自治区,450000,防城港市,450600,13.8036432266
67,20010309,广西壮族自治区,450000,防城港市,450600,12.7931067393
68,20010310,广西壮族自治区,450000,防城港市,450600,13.7721488659
69,20010311,广西壮族自治区,450000,防城港市,450600,14.2862193768
70,20010312,广西壮族自治区,450000,防城港市,450600,16.076500159
71,20010313,广西壮族自治区,450000,防城港市,450600,17.200032601
72,20010314,广西壮族自治区,450000,防城港市,450600,19.7621666835
73,20010315,广西壮族自治区,450000,防城港市,450600,21.5229269174
74,20010316,广西壮族自治区,450000,防城港市,450600,23.2618604807
75,20010317,广西壮族自治区,450000,防城港市,450600,22.0293331146
76,20010318,广西壮族自治区,450000,防城港市,450600,19.9348408626
77,20010319,广西壮族自治区,450000,防城港市,450600,19.7309114016
78,20010320,广西壮族自治区,450000,防城港市,450600,19.5827742357
79,20010321,广西壮族自治区,450000,防城港市,450600,22.8318981758
80,20010322,广西壮族自治区,450000,防城港市,450600,24.5065706693
81,20010323,广西壮族自治区,450000,防城港市,450600,25.5329187833
82,20010324,广西壮族自治区,450000,防城港市,450600,25.8874476506
83,20010325,广西壮族自治区,450000,防城港市,450600,20.8828392029
84,20010326,广西壮族自治区,450000,防城港市,450600,19.9201550117
85,20010327,广西壮族自治区,450000,防城港市,450600,20.3651208144
86,20010328,广西壮族自治区,450000,防城港市,450600,21.3359738863
87,20010329,广西壮族自治区,450000,防城港市,450600,20.2171561901
88,20010330,广西壮族自治区,450000,防城港市,450600,21.4448776245
89,20010331,广西壮族自治区,450000,防城港市,450600,20.7110787905
90,20010401,广西壮族自治区,450000,防城港市,450600,21.8329633566
91,20010402,广西壮族自治区,450000,防城港市,450600,23.8143263597
92,20010403,广西壮族自治区,450000,防城港市,450600,24.8203192491
93,20010404,广西壮族自治区,450000,防城港市,450600,22.1416244507
94,20010405,广西壮族自治区,450000,防城港市,450600,21.5171865317
95,20010406,广西壮族自治区,450000,防城港市,450600,21.6969064566
96,20010407,广西壮族自治区,450000,防城港市,450600,23.0791298793
97,20010408,广西壮族自治区,450000,防城港市,450600,26.6351573651
98,20010409,广西壮族自治区,450000,防城港市,450600,27.5534255688
99,20010410,广西壮族自治区,450000,防城港市,450600,25.5516903217
100,20010411,广西壮族自治区,450000,防城港市,450600,15.7884368163
101,20010412,广西壮族自治区,450000,防城港市,450600,18.0347353128
102,20010413,广西壮族自治区,450000,防城港市,450600,20.7092712109
103,20010414,广西壮族自治区,450000,防城港市,450600,19.7026554988
104,20010415,广西壮族自治区,450000,防城港市,450600,19.8459513738
105,20010416,广西壮族自治区,450000,防城港市,450600,19.9832922129
106,20010417,广西壮族自治区,450000,防城港市,450600,22.4565005669
107,20010418,广西壮族自治区,450000,防城港市,450600,25.2831668854
108,20010419,广西壮族自治区,450000,防城港市,450600,27.2854642134
109,20010420,广西壮族自治区,450000,防城港市,450600,28.1678265792
110,20010421,广西壮族自治区,450000,防城港市,450600,25.6977229485
111,20010422,广西壮族自治区,450000,防城港市,450600,17.9080930857
112,20010423,广西壮族自治区,450000,防城港市,450600,17.9697341919
113,20010424,广西壮族自治区,450000,防城港市,450600,18.9064537929
114,20010425,广西壮族自治区,450000,防城港市,450600,19.1053873209
115,20010426,广西壮族自治区,450000,防城港市,450600,19.9320178399
116,20010427,广西壮族自治区,450000,防城港市,450600,24.3679494124
117,20010428,广西壮族自治区,450000,防城港市,450600,26.4236067258
118,20010429,广西壮族自治区,450000,防城港市,450600,26.8858931615
119,20010430,广西壮族自治区,450000,防城港市,450600,26.9066132766
120,20010501,广西壮族自治区,450000,防城港市,450600,23.50683359
121,20010502,广西壮族自治区,450000,防城港市,450600,24.2805237403
122,20010503,广西壮族自治区,450000,防城港市,450600,25.1523500589
123,20010504,广西壮族自治区,450000,防城港市,450600,24.9285960564
124,20010505,广西壮族自治区,450000,防城港市,450600,26.9734447186
125,20010506,广西壮族自治区,450000,防城港市,450600,28.5008757665
126,20010507,广西壮族自治区,450000,防城港市,450600,29.1039365622
127,20010508,广西壮族自治区,450000,防城港市,450600,25.9385342231
128,20010509,广西壮族自治区,450000,防城港市,450600,23.8147408412
129,20010510,广西壮族自治区,450000,防城港市,450600,23.4131568028
130,20010511,广西壮族自治区,450000,防城港市,450600,25.1832397167
131,20010512,广西壮族自治区,450000,防城港市,450600,26.3233837715
132,20010513,广西壮族自治区,450000,防城港市,450600,27.4932620709
