,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山西省,140000,阳泉市,140300,-3.11664279608
1,20010102,山西省,140000,阳泉市,140300,-3.89837298943
2,20010103,山西省,140000,阳泉市,140300,-6.63108623945
3,20010104,山西省,140000,阳泉市,140300,-6.23592721499
4,20010105,山西省,140000,阳泉市,140300,-3.72393182608
5,20010106,山西省,140000,阳泉市,140300,-5.06519669753
6,20010107,山西省,140000,阳泉市,140300,-3.28463016107
7,20010108,山西省,140000,阳泉市,140300,-5.6901013301
8,20010109,山西省,140000,阳泉市,140300,-8.9735555282
9,20010110,山西省,140000,阳泉市,140300,-7.42358057316
10,20010111,山西省,140000,阳泉市,140300,-7.80794385763
11,20010112,山西省,140000,阳泉市,140300,-6.74119934669
12,20010113,山西省,140000,阳泉市,140300,-11.1712562854
13,20010114,山西省,140000,阳泉市,140300,-12.8257066287
14,20010115,山西省,140000,阳泉市,140300,-11.702801631
15,20010116,山西省,140000,阳泉市,140300,-9.48105056469
16,20010117,山西省,140000,阳泉市,140300,-6.61651347234
17,20010118,山西省,140000,阳泉市,140300,-5.44786218496
18,20010119,山西省,140000,阳泉市,140300,-6.03692271159
19,20010120,山西省,140000,阳泉市,140300,-4.17215332618
20,20010121,山西省,140000,阳泉市,140300,-3.62585753661
21,20010122,山西省,140000,阳泉市,140300,-4.46165444301
22,20010123,山西省,140000,阳泉市,140300,-5.69522714615
23,20010124,山西省,140000,阳泉市,140300,-4.79782739052
24,20010125,山西省,140000,阳泉市,140300,-6.15030974608
25,20010126,山西省,140000,阳泉市,140300,-5.59532062824
26,20010127,山西省,140000,阳泉市,140300,-4.53471440535
27,20010128,山西省,140000,阳泉市,140300,-6.46817427415
28,20010129,山西省,140000,阳泉市,140300,-3.71743984177
29,20010130,山西省,140000,阳泉市,140300,-2.52152958168
30,20010131,山西省,140000,阳泉市,140300,-3.30516818395
31,20010201,山西省,140000,阳泉市,140300,-4.24955904484
32,20010202,山西省,140000,阳泉市,140300,-2.10466283904
33,20010203,山西省,140000,阳泉市,140300,-3.56947964888
34,20010204,山西省,140000,阳泉市,140300,-2.88064703575
35,20010205,山西省,140000,阳泉市,140300,-3.75514879593
36,20010206,山西省,140000,阳泉市,140300,-7.20788167073
37,20010207,山西省,140000,阳泉市,140300,-8.2675407483
38,20010208,山西省,140000,阳泉市,140300,-5.10770128323
39,20010209,山西省,140000,阳泉市,140300,-3.92789110771
40,20010210,山西省,140000,阳泉市,140300,-3.87268038896
41,20010211,山西省,140000,阳泉市,140300,-5.44127963139
42,20010212,山西省,140000,阳泉市,140300,-3.84493925021
43,20010213,山西省,140000,阳泉市,140300,-2.83811122179
44,20010214,山西省,140000,阳泉市,140300,-0.126030678932
45,20010215,山西省,140000,阳泉市,140300,-2.78956603316
46,20010216,山西省,140000,阳泉市,140300,-0.570312403429
47,20010217,山西省,140000,阳泉市,140300,1.22243409432
48,20010218,山西省,140000,阳泉市,140300,4.76524296174
49,20010219,山西省,140000,阳泉市,140300,5.04557545368
50,20010220,山西省,140000,阳泉市,140300,2.5892000932
51,20010221,山西省,140000,阳泉市,140300,4.30276590127
52,20010222,山西省,140000,阳泉市,140300,3.72583183875
53,20010223,山西省,140000,阳泉市,140300,-2.47522796117
54,20010224,山西省,140000,阳泉市,140300,-2.86203385431
55,20010225,山西省,140000,阳泉市,140300,1.14666539889
56,20010226,山西省,140000,阳泉市,140300,1.38606148041
57,20010227,山西省,140000,阳泉市,140300,2.40798074466
58,20010228,山西省,140000,阳泉市,140300,4.61380925545
59,20010301,山西省,140000,阳泉市,140300,7.02362203598
60,20010302,山西省,140000,阳泉市,140300,4.79920718303
61,20010303,山西省,140000,阳泉市,140300,0.281797574403
62,20010304,山西省,140000,阳泉市,140300,4.46685758004
63,20010305,山西省,140000,阳泉市,140300,5.83326565302
64,20010306,山西省,140000,阳泉市,140300,-2.47296310388
65,20010307,山西省,140000,阳泉市,140300,-4.15535132014
66,20010308,山西省,140000,阳泉市,140300,-0.7470391685
67,20010309,山西省,140000,阳泉市,140300,5.07097977858
68,20010310,山西省,140000,阳泉市,140300,3.20147562944
69,20010311,山西省,140000,阳泉市,140300,4.77414890436
70,20010312,山西省,140000,阳泉市,140300,8.55567176525
71,20010313,山西省,140000,阳泉市,140300,11.6914277444
72,20010314,山西省,140000,阳泉市,140300,4.73255384885
73,20010315,山西省,140000,阳泉市,140300,6.0916900268
74,20010316,山西省,140000,阳泉市,140300,4.543529969
75,20010317,山西省,140000,阳泉市,140300,7.96053956105
76,20010318,山西省,140000,阳泉市,140300,9.70685573725
77,20010319,山西省,140000,阳泉市,140300,13.2077292662
78,20010320,山西省,140000,阳泉市,140300,13.4482012529
79,20010321,山西省,140000,阳泉市,140300,13.1092387713
80,20010322,山西省,140000,阳泉市,140300,8.39054401104
81,20010323,山西省,140000,阳泉市,140300,12.2511645097
82,20010324,山西省,140000,阳泉市,140300,12.1302935527
83,20010325,山西省,140000,阳泉市,140300,6.13960068042
84,20010326,山西省,140000,阳泉市,140300,3.84530762526
85,20010327,山西省,140000,阳泉市,140300,-1.43383453527
86,20010328,山西省,140000,阳泉市,140300,1.1716895092
87,20010329,山西省,140000,阳泉市,140300,7.71614822975
88,20010330,山西省,140000,阳泉市,140300,5.48390971697
89,20010331,山西省,140000,阳泉市,140300,7.50842552919
90,20010401,山西省,140000,阳泉市,140300,12.6707946337
91,20010402,山西省,140000,阳泉市,140300,12.3143636997
92,20010403,山西省,140000,阳泉市,140300,10.7188108884
93,20010404,山西省,140000,阳泉市,140300,12.7718354005
94,20010405,山西省,140000,阳泉市,140300,6.30611691108
95,20010406,山西省,140000,阳泉市,140300,8.32701584009
96,20010407,山西省,140000,阳泉市,140300,12.8489172275
97,20010408,山西省,140000,阳泉市,140300,14.0549964905
98,20010409,山西省,140000,阳泉市,140300,3.74703252316
99,20010410,山西省,140000,阳泉市,140300,4.64171623267
100,20010411,山西省,140000,阳泉市,140300,7.28319773307
101,20010412,山西省,140000,阳泉市,140300,10.9909691444
102,20010413,山西省,140000,阳泉市,140300,8.95145790394
103,20010414,山西省,140000,阳泉市,140300,12.8994194177
104,20010415,山西省,140000,阳泉市,140300,15.733463214
105,20010416,山西省,140000,阳泉市,140300,17.3340601554
