,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,香港特别行政区,810000,香港特别行政区,810000,16.4889047146
1,20010102,香港特别行政区,810000,香港特别行政区,810000,18.7775421143
2,20010103,香港特别行政区,810000,香港特别行政区,810000,19.3275513649
3,20010104,香港特别行政区,810000,香港特别行政区,810000,18.7470207214
4,20010105,香港特别行政区,810000,香港特别行政区,810000,19.5332655907
5,20010106,香港特别行政区,810000,香港特别行政区,810000,19.5279755592
6,20010107,香港特别行政区,810000,香港特别行政区,810000,19.9927177429
7,20010108,香港特别行政区,810000,香港特别行政区,810000,19.7812356949
8,20010109,香港特别行政区,810000,香港特别行政区,810000,15.6696326733
9,20010110,香港特别行政区,810000,香港特别行政区,810000,13.7242867947
10,20010111,香港特别行政区,810000,香港特别行政区,810000,15.4441580772
11,20010112,香港特别行政区,810000,香港特别行政区,810000,18.1981983185
12,20010113,香港特别行政区,810000,香港特别行政区,810000,15.5661754608
13,20010114,香港特别行政区,810000,香港特别行政区,810000,15.3640191555
14,20010115,香港特别行政区,810000,香港特别行政区,810000,13.3327724934
15,20010116,香港特别行政区,810000,香港特别行政区,810000,15.2060933113
16,20010117,香港特别行政区,810000,香港特别行政区,810000,17.3299646378
17,20010118,香港特别行政区,810000,香港特别行政区,810000,19.8022303581
18,20010119,香港特别行政区,810000,香港特别行政区,810000,20.6405181885
19,20010120,香港特别行政区,810000,香港特别行政区,810000,21.073890686
20,20010121,香港特别行政区,810000,香港特别行政区,810000,19.5728664398
21,20010122,香港特别行政区,810000,香港特别行政区,810000,21.3578824997
22,20010123,香港特别行政区,810000,香港特别行政区,810000,20.1635737419
23,20010124,香港特别行政区,810000,香港特别行政区,810000,20.7281737328
24,20010125,香港特别行政区,810000,香港特别行政区,810000,17.0455589294
25,20010126,香港特别行政区,810000,香港特别行政区,810000,11.9516220093
26,20010127,香港特别行政区,810000,香港特别行政区,810000,10.2495946884
27,20010128,香港特别行政区,810000,香港特别行政区,810000,11.3020703793
28,20010129,香港特别行政区,810000,香港特别行政区,810000,13.9927937984
29,20010130,香港特别行政区,810000,香港特别行政区,810000,16.1292192936
30,20010131,香港特别行政区,810000,香港特别行政区,810000,17.1513199806
31,20010201,香港特别行政区,810000,香港特别行政区,810000,14.2614672184
32,20010202,香港特别行政区,810000,香港特别行政区,810000,12.0815329552
33,20010203,香港特别行政区,810000,香港特别行政区,810000,13.181447506
34,20010204,香港特别行政区,810000,香港特别行政区,810000,14.0824172497
35,20010205,香港特别行政区,810000,香港特别行政区,810000,17.1311292648
36,20010206,香港特别行政区,810000,香港特别行政区,810000,20.1856069565
37,20010207,香港特别行政区,810000,香港特别行政区,810000,17.1661858559
38,20010208,香港特别行政区,810000,香港特别行政区,810000,14.3224720955
39,20010209,香港特别行政区,810000,香港特别行政区,810000,14.7962830067
40,20010210,香港特别行政区,810000,香港特别行政区,810000,14.6808497906
41,20010211,香港特别行政区,810000,香港特别行政区,810000,17.9852576256
42,20010212,香港特别行政区,810000,香港特别行政区,810000,20.2064418793
43,20010213,香港特别行政区,810000,香港特别行政区,810000,15.2493624687
44,20010214,香港特别行政区,810000,香港特别行政区,810000,13.1507995129
45,20010215,香港特别行政区,810000,香港特别行政区,810000,15.7963602543
46,20010216,香港特别行政区,810000,香港特别行政区,810000,16.8706612587
47,20010217,香港特别行政区,810000,香港特别行政区,810000,17.870010376
48,20010218,香港特别行政区,810000,香港特别行政区,810000,19.7633690834
49,20010219,香港特别行政区,810000,香港特别行政区,810000,20.7844991684
50,20010220,香港特别行政区,810000,香港特别行政区,810000,21.0147638321
51,20010221,香港特别行政区,810000,香港特别行政区,810000,21.090719223
52,20010222,香港特别行政区,810000,香港特别行政区,810000,21.7739233971
53,20010223,香港特别行政区,810000,香港特别行政区,810000,21.9811553955
54,20010224,香港特别行政区,810000,香港特别行政区,810000,20.0626268387
