,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,黑龙江省,230000,鸡西市,230300,-24.7973254522
1,20010102,黑龙江省,230000,鸡西市,230300,-23.9151391405
2,20010103,黑龙江省,230000,鸡西市,230300,-19.7704704169
3,20010104,黑龙江省,230000,鸡西市,230300,-16.8049425067
4,20010105,黑龙江省,230000,鸡西市,230300,-19.2217453176
5,20010106,黑龙江省,230000,鸡西市,230300,-21.2831049832
6,20010107,黑龙江省,230000,鸡西市,230300,-19.6921041951
7,20010108,黑龙江省,230000,鸡西市,230300,-17.1962095607
8,20010109,黑龙江省,230000,鸡西市,230300,-17.6354360002
9,20010110,黑龙江省,230000,鸡西市,230300,-25.3114216255
10,20010111,黑龙江省,230000,鸡西市,230300,-28.2241199378
11,20010112,黑龙江省,230000,鸡西市,230300,-27.0948227391
12,20010113,黑龙江省,230000,鸡西市,230300,-26.9376030546
13,20010114,黑龙江省,230000,鸡西市,230300,-26.4362565532
14,20010115,黑龙江省,230000,鸡西市,230300,-24.6827823177
15,20010116,黑龙江省,230000,鸡西市,230300,-24.4683949153
16,20010117,黑龙江省,230000,鸡西市,230300,-24.1307277968
17,20010118,黑龙江省,230000,鸡西市,230300,-23.4650590203
18,20010119,黑龙江省,230000,鸡西市,230300,-21.8928896297
19,20010120,黑龙江省,230000,鸡西市,230300,-20.1978265589
20,20010121,黑龙江省,230000,鸡西市,230300,-20.6549066197
21,20010122,黑龙江省,230000,鸡西市,230300,-19.5431340535
22,20010123,黑龙江省,230000,鸡西市,230300,-17.7185568665
23,20010124,黑龙江省,230000,鸡西市,230300,-15.7041949792
24,20010125,黑龙江省,230000,鸡西市,230300,-14.3090476267
25,20010126,黑龙江省,230000,鸡西市,230300,-16.9468207215
26,20010127,黑龙江省,230000,鸡西市,230300,-13.3882040833
27,20010128,黑龙江省,230000,鸡西市,230300,-15.047291799
28,20010129,黑龙江省,230000,鸡西市,230300,-14.7253463341
29,20010130,黑龙江省,230000,鸡西市,230300,-17.3159263495
30,20010131,黑龙江省,230000,鸡西市,230300,-13.1454635244
31,20010201,黑龙江省,230000,鸡西市,230300,-19.0127004855
32,20010202,黑龙江省,230000,鸡西市,230300,-22.7564901294
33,20010203,黑龙江省,230000,鸡西市,230300,-24.8597352577
34,20010204,黑龙江省,230000,鸡西市,230300,-25.4078705528
35,20010205,黑龙江省,230000,鸡西市,230300,-23.4939711022
36,20010206,黑龙江省,230000,鸡西市,230300,-23.8015556624
37,20010207,黑龙江省,230000,鸡西市,230300,-23.2371607116
38,20010208,黑龙江省,230000,鸡西市,230300,-20.4430973169
39,20010209,黑龙江省,230000,鸡西市,230300,-18.159619996
40,20010210,黑龙江省,230000,鸡西市,230300,-20.8222555681
41,20010211,黑龙江省,230000,鸡西市,230300,-21.4396332249
42,20010212,黑龙江省,230000,鸡西市,230300,-20.0451654376
43,20010213,黑龙江省,230000,鸡西市,230300,-19.9933593345
44,20010214,黑龙江省,230000,鸡西市,230300,-18.9871271018
45,20010215,黑龙江省,230000,鸡西市,230300,-17.2758191138
46,20010216,黑龙江省,230000,鸡西市,230300,-14.0774054238
47,20010217,黑龙江省,230000,鸡西市,230300,-7.69507142269
48,20010218,黑龙江省,230000,鸡西市,230300,-10.7993639455
49,20010219,黑龙江省,230000,鸡西市,230300,-10.3892580668
50,20010220,黑龙江省,230000,鸡西市,230300,-4.74003548333
51,20010221,黑龙江省,230000,鸡西市,230300,-1.43274057047
52,20010222,黑龙江省,230000,鸡西市,230300,-6.60459102284
53,20010223,黑龙江省,230000,鸡西市,230300,-11.9660588756
54,20010224,黑龙江省,230000,鸡西市,230300,-11.5360983068
55,20010225,黑龙江省,230000,鸡西市,230300,-13.0435047005
56,20010226,黑龙江省,230000,鸡西市,230300,-8.61052640279
57,20010227,黑龙江省,230000,鸡西市,230300,-3.95233002215
58,20010228,黑龙江省,230000,鸡西市,230300,-6.1078655214
59,20010301,黑龙江省,230000,鸡西市,230300,-7.40127960118
60,20010302,黑龙江省,230000,鸡西市,230300,-5.69716186234
61,20010303,黑龙江省,230000,鸡西市,230300,-3.86741801825
62,20010304,黑龙江省,230000,鸡西市,230300,-5.85174699263
63,20010305,黑龙江省,230000,鸡西市,230300,-9.83631084905
64,20010306,黑龙江省,230000,鸡西市,230300,-12.8301779863
65,20010307,黑龙江省,230000,鸡西市,230300,-12.3228664254
66,20010308,黑龙江省,230000,鸡西市,230300,-13.1067370068
67,20010309,黑龙江省,230000,鸡西市,230300,-14.96962332
68,20010310,黑龙江省,230000,鸡西市,230300,-14.5000905991
69,20010311,黑龙江省,230000,鸡西市,230300,-12.7722770084
70,20010312,黑龙江省,230000,鸡西市,230300,-14.9014765422
71,20010313,黑龙江省,230000,鸡西市,230300,-5.10183440916
72,20010314,黑龙江省,230000,鸡西市,230300,-6.53905941501
73,20010315,黑龙江省,230000,鸡西市,230300,-5.39626304309
74,20010316,黑龙江省,230000,鸡西市,230300,-1.67688990146
75,20010317,黑龙江省,230000,鸡西市,230300,2.40252593611
76,20010318,黑龙江省,230000,鸡西市,230300,0.395930437428
77,20010319,黑龙江省,230000,鸡西市,230300,0.996549299721
78,20010320,黑龙江省,230000,鸡西市,230300,-2.75086367492
79,20010321,黑龙江省,230000,鸡西市,230300,-1.7540592497
80,20010322,黑龙江省,230000,鸡西市,230300,-3.93714942715
81,20010323,黑龙江省,230000,鸡西市,230300,-2.63480801293
82,20010324,黑龙江省,230000,鸡西市,230300,-1.69327756672
83,20010325,黑龙江省,230000,鸡西市,230300,-2.42623811418
84,20010326,黑龙江省,230000,鸡西市,230300,-3.21531217026
85,20010327,黑龙江省,230000,鸡西市,230300,-2.79632788355
86,20010328,黑龙江省,230000,鸡西市,230300,-1.7379308361
87,20010329,黑龙江省,230000,鸡西市,230300,-1.14226112853
88,20010330,黑龙江省,230000,鸡西市,230300,-0.38929605563
