,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,黑龙江省,230000,鹤岗市,230400,-26.9382517338
1,20010102,黑龙江省,230000,鹤岗市,230400,-24.6611192226
2,20010103,黑龙江省,230000,鹤岗市,230400,-20.8493779103
3,20010104,黑龙江省,230000,鹤岗市,230400,-18.3322424293
4,20010105,黑龙江省,230000,鹤岗市,230400,-20.7400511503
5,20010106,黑龙江省,230000,鹤岗市,230400,-23.1161260605
6,20010107,黑龙江省,230000,鹤岗市,230400,-21.0822906097
7,20010108,黑龙江省,230000,鹤岗市,230400,-18.1397344669
8,20010109,黑龙江省,230000,鹤岗市,230400,-21.2999278704
9,20010110,黑龙江省,230000,鹤岗市,230400,-28.4469434023
10,20010111,黑龙江省,230000,鹤岗市,230400,-29.9945847193
11,20010112,黑龙江省,230000,鹤岗市,230400,-28.2032679319
12,20010113,黑龙江省,230000,鹤岗市,230400,-28.026722908
13,20010114,黑龙江省,230000,鹤岗市,230400,-27.4536782106
14,20010115,黑龙江省,230000,鹤岗市,230400,-26.3989430666
15,20010116,黑龙江省,230000,鹤岗市,230400,-26.2785778046
16,20010117,黑龙江省,230000,鹤岗市,230400,-26.0545992057
17,20010118,黑龙江省,230000,鹤岗市,230400,-24.9828348955
18,20010119,黑龙江省,230000,鹤岗市,230400,-23.2422333161
19,20010120,黑龙江省,230000,鹤岗市,230400,-22.5494118532
20,20010121,黑龙江省,230000,鹤岗市,230400,-22.3579765956
21,20010122,黑龙江省,230000,鹤岗市,230400,-21.3178662856
22,20010123,黑龙江省,230000,鹤岗市,230400,-19.5554295778
23,20010124,黑龙江省,230000,鹤岗市,230400,-17.2245351473
24,20010125,黑龙江省,230000,鹤岗市,230400,-16.9945233663
25,20010126,黑龙江省,230000,鹤岗市,230400,-16.7155257066
26,20010127,黑龙江省,230000,鹤岗市,230400,-14.8645559748
27,20010128,黑龙江省,230000,鹤岗市,230400,-17.8806188901
28,20010129,黑龙江省,230000,鹤岗市,230400,-16.8608965278
29,20010130,黑龙江省,230000,鹤岗市,230400,-19.936927557
30,20010131,黑龙江省,230000,鹤岗市,230400,-14.7562195063
31,20010201,黑龙江省,230000,鹤岗市,230400,-20.9454301993
32,20010202,黑龙江省,230000,鹤岗市,230400,-24.5496762991
33,20010203,黑龙江省,230000,鹤岗市,230400,-26.1925094525
34,20010204,黑龙江省,230000,鹤岗市,230400,-26.9833601316
35,20010205,黑龙江省,230000,鹤岗市,230400,-25.050030907
36,20010206,黑龙江省,230000,鹤岗市,230400,-26.1674985091
37,20010207,黑龙江省,230000,鹤岗市,230400,-24.8251639207
38,20010208,黑龙江省,230000,鹤岗市,230400,-21.977573355
39,20010209,黑龙江省,230000,鹤岗市,230400,-21.9923020999
40,20010210,黑龙江省,230000,鹤岗市,230400,-23.832815369
41,20010211,黑龙江省,230000,鹤岗市,230400,-23.7674251795
42,20010212,黑龙江省,230000,鹤岗市,230400,-22.3955955505
43,20010213,黑龙江省,230000,鹤岗市,230400,-21.8978356918
44,20010214,黑龙江省,230000,鹤岗市,230400,-20.3129671017
45,20010215,黑龙江省,230000,鹤岗市,230400,-18.0124768813
46,20010216,黑龙江省,230000,鹤岗市,230400,-14.9711655577
47,20010217,黑龙江省,230000,鹤岗市,230400,-10.1207035184
48,20010218,黑龙江省,230000,鹤岗市,230400,-12.2569715381
49,20010219,黑龙江省,230000,鹤岗市,230400,-12.2279218237
50,20010220,黑龙江省,230000,鹤岗市,230400,-4.89180644353
51,20010221,黑龙江省,230000,鹤岗市,230400,-4.08626985053
52,20010222,黑龙江省,230000,鹤岗市,230400,-9.33061782519
53,20010223,黑龙江省,230000,鹤岗市,230400,-14.4430091977
54,20010224,黑龙江省,230000,鹤岗市,230400,-13.8020296693
55,20010225,黑龙江省,230000,鹤岗市,230400,-14.7381724914
56,20010226,黑龙江省,230000,鹤岗市,230400,-9.56498461962
57,20010227,黑龙江省,230000,鹤岗市,230400,-5.46849183242
58,20010228,黑龙江省,230000,鹤岗市,230400,-9.01368399461
59,20010301,黑龙江省,230000,鹤岗市,230400,-9.38536588351
60,20010302,黑龙江省,230000,鹤岗市,230400,-8.05275804798
61,20010303,黑龙江省,230000,鹤岗市,230400,-5.82076308131
62,20010304,黑龙江省,230000,鹤岗市,230400,-7.88100425402
63,20010305,黑龙江省,230000,鹤岗市,230400,-11.2461279035
64,20010306,黑龙江省,230000,鹤岗市,230400,-12.3394385378
65,20010307,黑龙江省,230000,鹤岗市,230400,-12.9087698261
66,20010308,黑龙江省,230000,鹤岗市,230400,-15.1347703536
67,20010309,黑龙江省,230000,鹤岗市,230400,-16.4016000231
68,20010310,黑龙江省,230000,鹤岗市,230400,-15.0234922965
69,20010311,黑龙江省,230000,鹤岗市,230400,-15.5598025521
70,20010312,黑龙江省,230000,鹤岗市,230400,-15.0571865042
71,20010313,黑龙江省,230000,鹤岗市,230400,-7.33428262671
72,20010314,黑龙江省,230000,鹤岗市,230400,-7.52820081512
73,20010315,黑龙江省,230000,鹤岗市,230400,-6.54521029194
74,20010316,黑龙江省,230000,鹤岗市,230400,-2.05945706367
75,20010317,黑龙江省,230000,鹤岗市,230400,1.44875211641
76,20010318,黑龙江省,230000,鹤岗市,230400,-1.34237571682
77,20010319,黑龙江省,230000,鹤岗市,230400,0.475961191512
78,20010320,黑龙江省,230000,鹤岗市,230400,-4.84509254495
79,20010321,黑龙江省,230000,鹤岗市,230400,-3.87078396479
80,20010322,黑龙江省,230000,鹤岗市,230400,-5.50703806678
81,20010323,黑龙江省,230000,鹤岗市,230400,-4.89471522967
82,20010324,黑龙江省,230000,鹤岗市,230400,-3.39880634348
83,20010325,黑龙江省,230000,鹤岗市,230400,-2.28082022568
84,20010326,黑龙江省,230000,鹤岗市,230400,-3.18663936853
85,20010327,黑龙江省,230000,鹤岗市,230400,-3.71135890981
86,20010328,黑龙江省,230000,鹤岗市,230400,-2.77684714894
87,20010329,黑龙江省,230000,鹤岗市,230400,-1.35350237911
88,20010330,黑龙江省,230000,鹤岗市,230400,-0.552299484145
89,20010331,黑龙江省,230000,鹤岗市,230400,-0.0192678537763
90,20010401,黑龙江省,230000,鹤岗市,230400,2.06887658934
91,20010402,黑龙江省,230000,鹤岗市,230400,0.130762385825
92,20010403,黑龙江省,230000,鹤岗市,230400,1.1856673602
93,20010404,黑龙江省,230000,鹤岗市,230400,4.31554844479
94,20010405,黑龙江省,230000,鹤岗市,230400,2.018487975
95,20010406,黑龙江省,230000,鹤岗市,230400,4.86287440856
96,20010407,黑龙江省,230000,鹤岗市,230400,6.37773738305
97,20010408,黑龙江省,230000,鹤岗市,230400,7.81557698051
98,20010409,黑龙江省,230000,鹤岗市,230400,6.96959493558
99,20010410,黑龙江省,230000,鹤岗市,230400,5.05380750696
100,20010411,黑龙江省,230000,鹤岗市,230400,3.74978291988
101,20010412,黑龙江省,230000,鹤岗市,230400,4.60724881291
102,20010413,黑龙江省,230000,鹤岗市,230400,5.09552425146
103,20010414,黑龙江省,230000,鹤岗市,230400,7.01336482167
104,20010415,黑龙江省,230000,鹤岗市,230400,8.00767784317
105,20010416,黑龙江省,230000,鹤岗市,230400,5.18088165919
106,20010417,黑龙江省,230000,鹤岗市,230400,7.14891547461
107,20010418,黑龙江省,230000,鹤岗市,230400,6.91460027297
108,20010419,黑龙江省,230000,鹤岗市,230400,0.593256196046
109,20010420,黑龙江省,230000,鹤岗市,230400,3.61523082852
110,20010421,黑龙江省,230000,鹤岗市,230400,3.52854689956
111,20010422,黑龙江省,230000,鹤岗市,230400,6.95151391625
112,20010423,黑龙江省,230000,鹤岗市,230400,2.91191081703
113,20010424,黑龙江省,230000,鹤岗市,230400,5.83756588896
114,20010425,黑龙江省,230000,鹤岗市,230400,8.1631543239
115,20010426,黑龙江省,230000,鹤岗市,230400,11.6780469418
116,20010427,黑龙江省,230000,鹤岗市,230400,15.4504781961
117,20010428,黑龙江省,230000,鹤岗市,230400,14.5224108895
118,20010429,黑龙江省,230000,鹤岗市,230400,13.8092008034
119,20010430,黑龙江省,230000,鹤岗市,230400,16.2625092864
120,20010501,黑龙江省,230000,鹤岗市,230400,12.4280089736
121,20010502,黑龙江省,230000,鹤岗市,230400,14.1256544193
122,20010503,黑龙江省,230000,鹤岗市,230400,13.2669708927
123,20010504,黑龙江省,230000,鹤岗市,230400,7.87960540255
124,20010505,黑龙江省,230000,鹤岗市,230400,7.72472416361
125,20010506,黑龙江省,230000,鹤岗市,230400,9.65078105529
126,20010507,黑龙江省,230000,鹤岗市,230400,11.856494089
127,20010508,黑龙江省,230000,鹤岗市,230400,11.635991931
128,20010509,黑龙江省,230000,鹤岗市,230400,9.56119527419
129,20010510,黑龙江省,230000,鹤岗市,230400,13.064423124
130,20010511,黑龙江省,230000,鹤岗市,230400,18.9593850772
131,20010512,黑龙江省,230000,鹤岗市,230400,21.2918949525
132,20010513,黑龙江省,230000,鹤岗市,230400,25.3521737258
133,20010514,黑龙江省,230000,鹤岗市,230400,24.2461293538
134,20010515,黑龙江省,230000,鹤岗市,230400,13.7644344966
135,20010516,黑龙江省,230000,鹤岗市,230400,9.95774281025
136,20010517,黑龙江省,230000,鹤岗市,230400,15.5788298647
137,20010518,黑龙江省,230000,鹤岗市,230400,10.6020237406
138,20010519,黑龙江省,230000,鹤岗市,230400,13.8678133289
