,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,青海省,630000,黄南藏族自治州,632300,-6.51181974411
1,20010102,青海省,630000,黄南藏族自治州,632300,-9.43689221276
2,20010103,青海省,630000,黄南藏族自治州,632300,-11.2952852461
3,20010104,青海省,630000,黄南藏族自治州,632300,-10.0379454507
4,20010105,青海省,630000,黄南藏族自治州,632300,-10.8085196813
5,20010106,青海省,630000,黄南藏族自治州,632300,-8.93189986547
6,20010107,青海省,630000,黄南藏族自治州,632300,-7.9352309121
7,20010108,青海省,630000,黄南藏族自治州,632300,-12.3711127175
8,20010109,青海省,630000,黄南藏族自治州,632300,-14.8720944087
9,20010110,青海省,630000,黄南藏族自治州,632300,-13.1730971018
10,20010111,青海省,630000,黄南藏族自治州,632300,-9.67401579751
11,20010112,青海省,630000,黄南藏族自治州,632300,-11.1818894598
12,20010113,青海省,630000,黄南藏族自治州,632300,-12.735430336
13,20010114,青海省,630000,黄南藏族自治州,632300,-12.8659482108
14,20010115,青海省,630000,黄南藏族自治州,632300,-12.6313470417
15,20010116,青海省,630000,黄南藏族自治州,632300,-11.2413183848
16,20010117,青海省,630000,黄南藏族自治州,632300,-7.33648778068
17,20010118,青海省,630000,黄南藏族自治州,632300,-5.47886251873
18,20010119,青海省,630000,黄南藏族自治州,632300,-10.0152947532
19,20010120,青海省,630000,黄南藏族自治州,632300,-5.74150377909
20,20010121,青海省,630000,黄南藏族自治州,632300,-6.43388404846
21,20010122,青海省,630000,黄南藏族自治州,632300,-5.97906648848
22,20010123,青海省,630000,黄南藏族自治州,632300,-9.2223432223
23,20010124,青海省,630000,黄南藏族自治州,632300,-10.3368412866
24,20010125,青海省,630000,黄南藏族自治州,632300,-15.0276359346
25,20010126,青海省,630000,黄南藏族自治州,632300,-15.8592765384
26,20010127,青海省,630000,黄南藏族自治州,632300,-13.8751501507
27,20010128,青海省,630000,黄南藏族自治州,632300,-12.9399583605
28,20010129,青海省,630000,黄南藏族自治州,632300,-9.85791026221
29,20010130,青海省,630000,黄南藏族自治州,632300,-4.78589633306
30,20010131,青海省,630000,黄南藏族自治州,632300,-4.64535801676
31,20010201,青海省,630000,黄南藏族自治州,632300,-4.58628983498
32,20010202,青海省,630000,黄南藏族自治州,632300,-5.09174816873
33,20010203,青海省,630000,黄南藏族自治州,632300,-6.71271618737
34,20010204,青海省,630000,黄南藏族自治州,632300,-4.3283539825
35,20010205,青海省,630000,黄南藏族自治州,632300,-4.12456179195
36,20010206,青海省,630000,黄南藏族自治州,632300,-8.61376559999
37,20010207,青海省,630000,黄南藏族自治州,632300,-8.608085982
38,20010208,青海省,630000,黄南藏族自治州,632300,-8.0496772978
39,20010209,青海省,630000,黄南藏族自治州,632300,-9.5597562578
40,20010210,青海省,630000,黄南藏族自治州,632300,-6.5259010103
41,20010211,青海省,630000,黄南藏族自治州,632300,-6.57464164098
42,20010212,青海省,630000,黄南藏族自治州,632300,-9.88925611708
43,20010213,青海省,630000,黄南藏族自治州,632300,-9.80446936289
44,20010214,青海省,630000,黄南藏族自治州,632300,-7.39988603592
45,20010215,青海省,630000,黄南藏族自治州,632300,-4.21642661624
46,20010216,青海省,630000,黄南藏族自治州,632300,-3.35704416699
47,20010217,青海省,630000,黄南藏族自治州,632300,-3.24407105909
48,20010218,青海省,630000,黄南藏族自治州,632300,-0.952074851887
49,20010219,青海省,630000,黄南藏族自治州,632300,-2.77223293516
50,20010220,青海省,630000,黄南藏族自治州,632300,-5.49418377876
51,20010221,青海省,630000,黄南藏族自治州,632300,-1.26783844518
52,20010222,青海省,630000,黄南藏族自治州,632300,-5.41745892101
53,20010223,青海省,630000,黄南藏族自治州,632300,-5.94895473056
54,20010224,青海省,630000,黄南藏族自治州,632300,-4.33135372268
55,20010225,青海省,630000,黄南藏族自治州,632300,-4.1032292525
56,20010226,青海省,630000,黄南藏族自治州,632300,-5.23259983593
57,20010227,青海省,630000,黄南藏族自治州,632300,-9.32605046166
58,20010228,青海省,630000,黄南藏族自治州,632300,-9.21350167592
59,20010301,青海省,630000,黄南藏族自治州,632300,-5.8016354084
60,20010302,青海省,630000,黄南藏族自治州,632300,-5.73523931503
61,20010303,青海省,630000,黄南藏族自治州,632300,-8.22043747372
62,20010304,青海省,630000,黄南藏族自治州,632300,-5.76347365379
63,20010305,青海省,630000,黄南藏族自治州,632300,-4.25636860265
64,20010306,青海省,630000,黄南藏族自治州,632300,-6.12522152795
65,20010307,青海省,630000,黄南藏族自治州,632300,-6.91309959624
66,20010308,青海省,630000,黄南藏族自治州,632300,-2.59060344166
67,20010309,青海省,630000,黄南藏族自治州,632300,-3.94846226904
68,20010310,青海省,630000,黄南藏族自治州,632300,-4.27972198062
69,20010311,青海省,630000,黄南藏族自治州,632300,-5.67470412784
70,20010312,青海省,630000,黄南藏族自治州,632300,-3.80865296721
71,20010313,青海省,630000,黄南藏族自治州,632300,-1.18906420072
72,20010314,青海省,630000,黄南藏族自治州,632300,0.343847164889
73,20010315,青海省,630000,黄南藏族自治州,632300,0.444334127775
74,20010316,青海省,630000,黄南藏族自治州,632300,-2.76029298306
75,20010317,青海省,630000,黄南藏族自治州,632300,-2.40731206934
76,20010318,青海省,630000,黄南藏族自治州,632300,-2.4318753418
77,20010319,青海省,630000,黄南藏族自治州,632300,-3.75584701002
78,20010320,青海省,630000,黄南藏族自治州,632300,-1.98681580193
79,20010321,青海省,630000,黄南藏族自治州,632300,1.5229747898
80,20010322,青海省,630000,黄南藏族自治州,632300,1.57503455347
81,20010323,青海省,630000,黄南藏族自治州,632300,-0.843838906247
82,20010324,青海省,630000,黄南藏族自治州,632300,-2.02057663351
83,20010325,青海省,630000,黄南藏族自治州,632300,-1.62912457753
84,20010326,青海省,630000,黄南藏族自治州,632300,-2.04526233361
85,20010327,青海省,630000,黄南藏族自治州,632300,-3.08603695631
86,20010328,青海省,630000,黄南藏族自治州,632300,-2.58636614304
87,20010329,青海省,630000,黄南藏族自治州,632300,-0.395950401988
88,20010330,青海省,630000,黄南藏族自治州,632300,1.4629649433
89,20010331,青海省,630000,黄南藏族自治州,632300,2.6248870439
90,20010401,青海省,630000,黄南藏族自治州,632300,4.22708045642
91,20010402,青海省,630000,黄南藏族自治州,632300,4.59547069338
92,20010403,青海省,630000,黄南藏族自治州,632300,0.897654119548
93,20010404,青海省,630000,黄南藏族自治州,632300,2.61536940336
94,20010405,青海省,630000,黄南藏族自治州,632300,-1.43657832692
95,20010406,青海省,630000,黄南藏族自治州,632300,3.26426967515
96,20010407,青海省,630000,黄南藏族自治州,632300,1.47195646833
97,20010408,青海省,630000,黄南藏族自治州,632300,5.5055879381
98,20010409,青海省,630000,黄南藏族自治州,632300,-5.70800528526
99,20010410,青海省,630000,黄南藏族自治州,632300,-7.33114154604
100,20010411,青海省,630000,黄南藏族自治州,632300,-3.65126253267
101,20010412,青海省,630000,黄南藏族自治州,632300,1.11625375375
102,20010413,青海省,630000,黄南藏族自治州,632300,1.89057232539
103,20010414,青海省,630000,黄南藏族自治州,632300,2.05799135168
104,20010415,青海省,630000,黄南藏族自治州,632300,5.08730781343
105,20010416,青海省,630000,黄南藏族自治州,632300,5.47934792837
106,20010417,青海省,630000,黄南藏族自治州,632300,7.28720118205
107,20010418,青海省,630000,黄南藏族自治州,632300,7.29809176127
108,20010419,青海省,630000,黄南藏族自治州,632300,5.36293152173
109,20010420,青海省,630000,黄南藏族自治州,632300,2.65612677468
110,20010421,青海省,630000,黄南藏族自治州,632300,4.18191401694
111,20010422,青海省,630000,黄南藏族自治州,632300,3.4712899473
112,20010423,青海省,630000,黄南藏族自治州,632300,1.28496061093
113,20010424,青海省,630000,黄南藏族自治州,632300,1.95519997792
114,20010425,青海省,630000,黄南藏族自治州,632300,4.94665828811
115,20010426,青海省,630000,黄南藏族自治州,632300,6.57049254311
116,20010427,青海省,630000,黄南藏族自治州,632300,3.53857451015
117,20010428,青海省,630000,黄南藏族自治州,632300,4.78069843716
118,20010429,青海省,630000,黄南藏族自治州,632300,-0.277044554551
119,20010430,青海省,630000,黄南藏族自治州,632300,1.93527573744
120,20010501,青海省,630000,黄南藏族自治州,632300,7.02523743312
121,20010502,青海省,630000,黄南藏族自治州,632300,6.21721289953
122,20010503,青海省,630000,黄南藏族自治州,632300,6.5102356169
123,20010504,青海省,630000,黄南藏族自治州,632300,4.09672590627
124,20010505,青海省,630000,黄南藏族自治州,632300,7.78167052799
125,20010506,青海省,630000,黄南藏族自治州,632300,4.48330911001
126,20010507,青海省,630000,黄南藏族自治州,632300,1.99051153594
127,20010508,青海省,630000,黄南藏族自治州,632300,3.11994462808
128,20010509,青海省,630000,黄南藏族自治州,632300,4.0762969017
129,20010510,青海省,630000,黄南藏族自治州,632300,7.02772341834
130,20010511,青海省,630000,黄南藏族自治州,632300,5.35988601579
131,20010512,青海省,630000,黄南藏族自治州,632300,7.12092710071
132,20010513,青海省,630000,黄南藏族自治州,632300,8.13242628309
133,20010514,青海省,630000,黄南藏族自治州,632300,6.87170306312
134,20010515,青海省,630000,黄南藏族自治州,632300,5.87573355569
135,20010516,青海省,630000,黄南藏族自治州,632300,4.35022655063
136,20010517,青海省,630000,黄南藏族自治州,632300,1.93853587705
137,20010518,青海省,630000,黄南藏族自治州,632300,4.40713578065
138,20010519,青海省,630000,黄南藏族自治州,632300,6.28002925449
139,20010520,青海省,630000,黄南藏族自治州,632300,6.80973127153
140,20010521,青海省,630000,黄南藏族自治州,632300,10.2021458308
141,20010522,青海省,630000,黄南藏族自治州,632300,10.8367002487
142,20010523,青海省,630000,黄南藏族自治州,632300,6.30797352261
143,20010524,青海省,630000,黄南藏族自治州,632300,7.88077479468
144,20010525,青海省,630000,黄南藏族自治州,632300,3.55795063972
145,20010526,青海省,630000,黄南藏族自治州,632300,5.23090303739
146,20010527,青海省,630000,黄南藏族自治州,632300,7.61621566349
147,20010528,青海省,630000,黄南藏族自治州,632300,3.55525890456
148,20010529,青海省,630000,黄南藏族自治州,632300,6.1050013966
149,20010530,青海省,630000,黄南藏族自治州,632300,6.52972991731
150,20010531,青海省,630000,黄南藏族自治州,632300,6.64482660294
151,20010601,青海省,630000,黄南藏族自治州,632300,8.55354173448
152,20010602,青海省,630000,黄南藏族自治州,632300,9.11476603614
153,20010603,青海省,630000,黄南藏族自治州,632300,9.22793335385
154,20010604,青海省,630000,黄南藏族自治州,632300,10.6061978658
155,20010605,青海省,630000,黄南藏族自治州,632300,8.76087129381
156,20010606,青海省,630000,黄南藏族自治州,632300,9.84937193129
157,20010607,青海省,630000,黄南藏族自治州,632300,9.22143955231
158,20010608,青海省,630000,黄南藏族自治州,632300,9.71485029856
159,20010609,青海省,630000,黄南藏族自治州,632300,11.987870725
160,20010610,青海省,630000,黄南藏族自治州,632300,7.86131459342
161,20010611,青海省,630000,黄南藏族自治州,632300,8.19412230386
162,20010612,青海省,630000,黄南藏族自治州,632300,7.68060881297
163,20010613,青海省,630000,黄南藏族自治州,632300,11.193821907
164,20010614,青海省,630000,黄南藏族自治州,632300,13.5488367081
165,20010615,青海省,630000,黄南藏族自治州,632300,9.1607310719
166,20010616,青海省,630000,黄南藏族自治州,632300,10.9017598046
167,20010617,青海省,630000,黄南藏族自治州,632300,10.019965744
168,20010618,青海省,630000,黄南藏族自治州,632300,11.302037557
169,20010619,青海省,630000,黄南藏族自治州,632300,8.08602320353
170,20010620,青海省,630000,黄南藏族自治州,632300,6.1500714567
171,20010621,青海省,630000,黄南藏族自治州,632300,8.96278349559
172,20010622,青海省,630000,黄南藏族自治州,632300,9.73967292574
173,20010623,青海省,630000,黄南藏族自治州,632300,11.3869515313
174,20010624,青海省,630000,黄南藏族自治州,632300,13.3445183436
175,20010625,青海省,630000,黄南藏族自治州,632300,15.0219700072
176,20010626,青海省,630000,黄南藏族自治州,632300,12.166180865
177,20010627,青海省,630000,黄南藏族自治州,632300,10.2197759204
178,20010628,青海省,630000,黄南藏族自治州,632300,7.34772579405
179,20010629,青海省,630000,黄南藏族自治州,632300,9.94467300839
180,20010630,青海省,630000,黄南藏族自治州,632300,12.2501054128
181,20010701,青海省,630000,黄南藏族自治州,632300,10.9293753306
182,20010702,青海省,630000,黄南藏族自治州,632300,9.54866580963
183,20010703,青海省,630000,黄南藏族自治州,632300,12.5821012709
184,20010704,青海省,630000,黄南藏族自治州,632300,14.5872285419
185,20010705,青海省,630000,黄南藏族自治州,632300,18.0525287628
186,20010706,青海省,630000,黄南藏族自治州,632300,16.6793899112
187,20010707,青海省,630000,黄南藏族自治州,632300,16.7926457723
188,20010708,青海省,630000,黄南藏族自治州,632300,16.5577248891
189,20010709,青海省,630000,黄南藏族自治州,632300,13.6184147517
190,20010710,青海省,630000,黄南藏族自治州,632300,9.16620934804
191,20010711,青海省,630000,黄南藏族自治州,632300,12.8579333835
192,20010712,青海省,630000,黄南藏族自治州,632300,11.9720172882
193,20010713,青海省,630000,黄南藏族自治州,632300,13.4658183628
194,20010714,青海省,630000,黄南藏族自治州,632300,14.4565286212
195,20010715,青海省,630000,黄南藏族自治州,632300,14.6304570092
196,20010716,青海省,630000,黄南藏族自治州,632300,16.2040399551
197,20010717,青海省,630000,黄南藏族自治州,632300,15.3024220573
