,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,贵州省,520000,黔南布依族苗族自治州,522700,9.55237937796
1,20010102,贵州省,520000,黔南布依族苗族自治州,522700,6.96624857804
2,20010103,贵州省,520000,黔南布依族苗族自治州,522700,7.51106697938
3,20010104,贵州省,520000,黔南布依族苗族自治州,522700,8.00856459552
4,20010105,贵州省,520000,黔南布依族苗族自治州,522700,8.90202759052
5,20010106,贵州省,520000,黔南布依族苗族自治州,522700,12.2087311251
6,20010107,贵州省,520000,黔南布依族苗族自治州,522700,14.7957452412
7,20010108,贵州省,520000,黔南布依族苗族自治州,522700,10.9029192678
8,20010109,贵州省,520000,黔南布依族苗族自治州,522700,5.01459606968
9,20010110,贵州省,520000,黔南布依族苗族自治州,522700,6.18352181336
10,20010111,贵州省,520000,黔南布依族苗族自治州,522700,8.53957117015
11,20010112,贵州省,520000,黔南布依族苗族自治州,522700,7.42705937912
12,20010113,贵州省,520000,黔南布依族苗族自治州,522700,9.56842443861
13,20010114,贵州省,520000,黔南布依族苗族自治州,522700,5.41402403034
14,20010115,贵州省,520000,黔南布依族苗族自治州,522700,4.58245347492
15,20010116,贵州省,520000,黔南布依族苗族自治州,522700,7.08075028452
16,20010117,贵州省,520000,黔南布依族苗族自治州,522700,7.75772603627
17,20010118,贵州省,520000,黔南布依族苗族自治州,522700,10.6587824657
18,20010119,贵州省,520000,黔南布依族苗族自治州,522700,10.8935894719
19,20010120,贵州省,520000,黔南布依族苗族自治州,522700,11.2551355198
20,20010121,贵州省,520000,黔南布依族苗族自治州,522700,12.8199320826
21,20010122,贵州省,520000,黔南布依族苗族自治州,522700,10.9196050989
22,20010123,贵州省,520000,黔南布依族苗族自治州,522700,8.39805359676
23,20010124,贵州省,520000,黔南布依族苗族自治州,522700,4.3928084764
24,20010125,贵州省,520000,黔南布依族苗族自治州,522700,3.47935501923
25,20010126,贵州省,520000,黔南布依族苗族自治州,522700,5.55053311175
26,20010127,贵州省,520000,黔南布依族苗族自治州,522700,4.88073726564
27,20010128,贵州省,520000,黔南布依族苗族自治州,522700,5.2008214408
28,20010129,贵州省,520000,黔南布依族苗族自治州,522700,6.95738651835
29,20010130,贵州省,520000,黔南布依族苗族自治州,522700,8.76046430654
30,20010131,贵州省,520000,黔南布依族苗族自治州,522700,7.86083546178
31,20010201,贵州省,520000,黔南布依族苗族自治州,522700,4.76680379695
32,20010202,贵州省,520000,黔南布依族苗族自治州,522700,4.71518287371
33,20010203,贵州省,520000,黔南布依族苗族自治州,522700,5.82309786616
34,20010204,贵州省,520000,黔南布依族苗族自治州,522700,8.44604317073
35,20010205,贵州省,520000,黔南布依族苗族自治州,522700,11.5132282191
36,20010206,贵州省,520000,黔南布依族苗族自治州,522700,8.60520884908
37,20010207,贵州省,520000,黔南布依族苗族自治州,522700,7.93086104557
38,20010208,贵州省,520000,黔南布依族苗族自治州,522700,4.32880449912
39,20010209,贵州省,520000,黔南布依族苗族自治州,522700,4.9398244085
40,20010210,贵州省,520000,黔南布依族苗族自治州,522700,7.11732778056
41,20010211,贵州省,520000,黔南布依族苗族自治州,522700,6.78456061462
42,20010212,贵州省,520000,黔南布依族苗族自治州,522700,6.14908802098
43,20010213,贵州省,520000,黔南布依族苗族自治州,522700,4.84759360346
44,20010214,贵州省,520000,黔南布依族苗族自治州,522700,8.36048572639
45,20010215,贵州省,520000,黔南布依族苗族自治州,522700,8.94760589764
46,20010216,贵州省,520000,黔南布依族苗族自治州,522700,10.8870894169
47,20010217,贵州省,520000,黔南布依族苗族自治州,522700,11.6098226021
48,20010218,贵州省,520000,黔南布依族苗族自治州,522700,12.8540479068
49,20010219,贵州省,520000,黔南布依族苗族自治州,522700,14.3113175261
50,20010220,贵州省,520000,黔南布依族苗族自治州,522700,15.4260563357
51,20010221,贵州省,520000,黔南布依族苗族自治州,522700,15.8417123597
52,20010222,贵州省,520000,黔南布依族苗族自治州,522700,19.5036613859
53,20010223,贵州省,520000,黔南布依族苗族自治州,522700,18.1467250627
54,20010224,贵州省,520000,黔南布依族苗族自治州,522700,9.89798424984
55,20010225,贵州省,520000,黔南布依族苗族自治州,522700,4.72204879646
56,20010226,贵州省,520000,黔南布依族苗族自治州,522700,6.11143847992
