date,observation,trend,seasonal,remainder,is_projected
2018-05-01,24,35.3598451572212,-27.7328508315696,16.3730056743484,False
2018-06-01,35,34.6133210732063,-26.344452990062,26.7311319168557,False
2018-07-01,31,33.8667969891914,-25.6227173972437,22.7559204080523,False
2018-08-01,31,33.3109205406297,-13.6110564293366,11.3001358887069,False
2018-09-01,31,32.7550440920681,137.066118937326,-138.821163029394,False
2018-10-01,58,31.9473352980714,32.1443703825149,-6.09170568058624,False
2018-11-01,60,31.1396265040747,-7.97724996385598,36.8376234597813,False
2018-12-01,31,30.2543024259051,-16.8886650859284,17.6343626600234,False
2019-01-01,28,29.3689783477354,-20.0000891577848,18.6311108100493,False
2019-02-01,24,30.4707567992278,12.1185503791831,-18.5893071784109,False
2019-03-01,20,31.5725352507202,-18.3627422595754,6.79020700885514,False
2019-04-01,15,35.4394809750239,-24.7891949831724,4.34971400814852,False
2019-05-01,11,39.3064266993276,-27.7328508315696,-0.573575867758031,False
2019-06-01,8,43.8830163699388,-26.344452990062,-9.53856337987674,False
2019-07-01,11,48.45960604055,-25.6227173972437,-11.8368886433063,False
2019-08-01,21,52.4813031974175,-13.6110564293366,-17.8702467680809,False
2019-09-01,30,56.5030003542851,137.066118937326,-163.569119291611,False
2019-10-01,242,59.146379546654,32.1443703825149,150.709250070831,False
2019-11-01,101,61.789758739023,-7.97724996385598,47.187491224833,False
2019-12-01,91,65.3740991260908,-16.8886650859284,42.5145659598376,False
2020-01-01,66,68.9584395131586,-20.0000891577848,17.0416496446261,False
2020-02-01,50,79.8208284807971,12.1185503791831,-41.9393788599802,False
2020-03-01,35,90.6832174484356,-18.3627422595754,-37.3204751888602,False
2020-04-01,34,99.20553060023,-24.7891949831724,-40.4163356170576,False
2020-05-01,34,107.727843752025,-27.7328508315696,-45.994992920455,False
2020-06-01,34,108.088279270429,-26.344452990062,-47.7438262803668,False
2020-07-01,35,108.448714788833,-25.6227173972437,-47.8259973915894,False
2020-08-01,73,105.340352377511,-13.6110564293366,-18.729295948174,False
2020-09-01,805,102.231989966188,137.066118937326,565.701891096486,False
2020-10-01,47,97.9999589790559,32.1443703825149,-83.1443293615708,False
2020-11-01,13,93.7679279919237,-7.97724996385598,-72.7906780280678,False
2020-12-01,8,84.4836442823237,-16.8886650859284,-59.5949791963953,False
2021-01-01,8,75.1993605727236,-20.0000891577848,-47.1992714149389,False
2021-02-01,8,58.2782034243529,12.1185503791831,-62.396753803536,False
2021-03-01,8,41.3570462759822,-18.3627422595754,-14.9943040164068,False
2021-04-01,8,27.2596742710505,-24.7891949831724,5.52952071212197,False
2021-05-01,8,13.1623022661188,-27.7328508315696,22.5705485654508,False
2021-06-01,8,10.1612567622497,-26.344452990062,24.1831962278124,False
2021-07-01,8,7.1602112583806,-25.6227173972437,26.4625061388631,False
2021-08-01,8,6.38326833612249,-13.6110564293366,15.2277880932142,False
2021-09-01,8,5.60632541386439,137.066118937326,-134.67244435119,False
2021-10-01,8,5.6168955584449,32.1443703825149,-29.7612659409598,False
2021-11-01,8,5.6274657030254,-7.97724996385598,10.3497842608306,False
2021-12-01,8,8.27766584949995,-16.8886650859284,16.6109992364285,False
2022-01-01,8,10.9278659959745,-20.0000891577848,17.0722231618103,False
2022-02-01,8,14.7278361683537,12.1185503791831,-18.8463865475368,False
2022-03-01,8,18.5278063407328,-18.3627422595754,7.83493591884259,False
2022-04-01,8,20.5068211810145,-24.7891949831724,12.2823738021579,False
2022-05-01,12,22.4858360212962,-27.7328508315696,17.2470148102733,False
2022-06-01,21,23.5577679830487,-26.344452990062,23.7866850070133,False
2022-07-01,29,24.6296999448012,-25.6227173972437,29.9930174524425,False
2022-08-01,59,29.1385732905339,-13.6110564293366,43.4724831388027,False
2022-09-01,41,33.6474466362667,137.066118937326,-129.713565573593,False
2022-10-01,37,37.6662023387146,32.1443703825149,-32.8105727212295,False
2022-11-01,11,41.6849580411625,-7.97724996385598,-22.7077080773066,False
2022-12-01,8,43.1196687518958,-16.8886650859284,-18.2310036659674,False
2023-01-01,18,44.5543794626292,-20.0000891577848,-6.55429030484439,False
2023-02-01,199,46.0204615640996,12.1185503791831,140.860988056717,False
2023-03-01,66,47.4865436655701,-18.3627422595754,36.8761985940053,False
2023-04-01,42,49.3470527751958,-24.7891949831724,17.4421422079766,False
2023-05-01,13,51.2075618848215,-27.7328508315696,-10.4747110532519,False
2023-06-01,8,52.6879862839041,-26.344452990062,-18.343533293842,False
2023-07-01,8,54.1684106829866,-25.6227173972437,-20.5456932857429,False
2023-08-01,7,55.0901995441129,-13.6110564293366,-34.4791431147762,False
