cycle1,cycle2,nll,acf,avg_rank,norm_prod
43,103,2229.083917905348,-1.3014951552580166e-130,495.5,0.37431208302103197
43,102,2176.63776296624,-7.905776546099659e-140,347.0,0.20378980621035778
43,104,2181.381054857864,-8.458182222483407e-128,375.0,0.21921204133276595
43,105,2177.632563682682,-1.1120618305471052e-135,340.5,0.20702427942078638
43,106,2174.5017436154412,-2.0522042690755366e-149,377.0,0.19684479978552424
43,110,2148.94888745365,-2.105964606799716e-217,475.5,0.11376280422677233
43,109,2154.7624294573648,-1.458512252190564e-194,453.0,0.13266482707208802
43,113,2135.7899164085325,-2.3108791090223028e-241,466.5,0.07097801465154817
43,108,2162.0067447341025,-1.1159471295398795e-181,439.5,0.15621883472733
43,107,2219.363544827519,-1.2562113293445777e-161,618.5,0.3427074753886023
43,112,2140.338658696731,-5.5848887751150045e-238,483.0,0.08576769546817246
43,111,2144.2521981594728,-1.7717066852016748e-225,472.0,0.09849209176281096
43,115,2126.0288560647527,-2.0034274846415337e-234,392.5,0.039241117335809136
43,120,2121.4246043932862,-4.498517619704607e-246,405.0,0.024270954529032638
43,123,2124.9430889505343,-1.5826108603385234e-252,435.5,0.03571087797664802
43,125,2127.993313364087,-4.325993659266516e-253,459.0,0.04562831067283802
43,116,2125.5582934875074,-2.689711091985322e-240,405.5,0.037711140502484676
43,114,2130.0803898482372,-9.658075391408727e-235,418.5,0.052414185335499915
43,119,2122.672421170476,-1.5262907137387966e-241,394.0,0.028328078604877634
43,117,2123.9224539999677,-1.7485315126579327e-237,390.5,0.03239240790452858
43,118,2122.4552793616594,-5.346074752183384e-238,387.0,0.027622068494638625
43,121,2120.667939613654,-8.812629075765212e-244,393.5,0.021810751275712754
43,122,2121.8740819322898,-1.1254525841846753e-244,401.5,0.02573237593190061
43,124,2127.3546711280705,-4.486426499327831e-253,456.5,0.043551843326863085
43,127,2129.8072553551888,-6.300435363579086e-269,513.0,0.05152612184096473
43,128,2129.4497433278143,-7.703191139784711e-283,541.5,0.05036371508367471
43,126,2129.07555378486,-8.740774390900763e-258,477.0,0.04914708341835226
43,129,2124.155515317466,-1.047898230734855e-272,489.0,0.03315017835581187
43,131,2132.6302225637173,-6.96587547578171e-287,565.5,0.06070465544975061
43,130,2129.964529200796,-1.694492696773542e-283,544.5,0.0520374785699151
43,134,2128.630183830987,-1.8811084252320696e-271,516.5,0.04769901732760296
43,132,2131.1911011304096,-5.628211894373746e-281,545.5,0.05602552761474324
43,133,2130.086264386754,-6.568203388010552e-277,533.5,0.0524332856810687
43,135,2128.899796190244,-6.6096298610605526e-273,521.0,0.048575629033651396
43,137,2126.1867555861736,-7.084063478441993e-261,469.0,0.039754508373364965
43,136,2127.3400450612685,-3.537421160423556e-264,488.5,0.043504288454351094
43,138,2125.8491477817984,-2.1050619360421668e-263,474.0,0.03865681776977424
43,139,2126.1588750070027,-3.970391208013019e-268,490.0,0.039663858070315354
43,140,2123.5716410644764,-1.1204143227158349e-268,475.0,0.03125178242752108
43,141,2123.8922934254665,-5.607236863256793e-271,482.0,0.03229434447471494
43,142,2123.1072572126154,-1.2221719938981992e-267,471.5,0.02974189496626902
43,143,2122.794235891546,-1.1866881362894344e-262,455.0,0.028724144314748457
43,145,2128.489165376786,-1.1942457245550809e-236,418.5,0.04724051302141317
43,144,2125.342568445271,-4.302676413304027e-247,425.5,0.03700973683600123
