cycle1,cycle2,nll,acf,avg_rank,norm_prod
12,18,1704.7496493978342,1.1350761042144288e-06,10.0,1.5608790356091205e-07
12,19,1703.0638910603084,1.4633227374704908e-06,10.0,1.9931529921361957e-07
12,20,1527.2260279744332,0.6731086858420416,11.0,0.0
13,19,2416.8897747567335,2.1988640267603835e-05,12.5,1.5153480201390394e-05
13,18,2852.8632092888456,1.9762944696965425e-05,16.5,2.0293850179034222e-05
13,20,2341.1908914033193,1.3761631168742493e-08,10.0,8.676881969592144e-09
14,18,3175.528880144415,6.018140602388672e-11,14.5,7.684001800678433e-11
14,19,2944.747715884987,8.04574393362511e-11,13.5,8.834541935803648e-11
15,19,2874.4591972380185,1.5029269339963261e-09,13.0,1.5684430427574803e-09
15,20,2880.4150835087257,4.6679258337587416e-12,10.5,4.8929473381739795e-12
14,20,2794.3624702725774,2.6751730584076684e-15,8.0,2.62580996510148e-15
15,18,3044.263244908143,2.046905021277696e-11,12.5,2.4053708553027533e-11
16,19,2745.0714008512186,2.712474457596602e-09,11.5,2.5588564651466954e-09
16,18,2949.7211215215066,2.9959914898878744e-09,15.5,3.301258028396917e-09
16,20,2792.913312066821,2.5239081288808364e-11,9.5,2.4745035270287044e-11
17,19,2496.0721126036424,4.825548817369795e-11,8.0,3.6215094255011974e-11
17,18,2639.4145146975607,3.842841536635377e-09,11.5,3.310693598843879e-09
17,20,2495.311598597502,7.392902202301157e-16,4.5,5.543914249221689e-16
18,18,3445.129243904241,4.160904318489938e-09,18.0,6.1816232742327575e-09
18,20,2477.3886776387153,5.477852244499375e-22,3.5,0.0
18,19,2685.6105321627692,3.1286265168753486e-12,7.0,2.8073371897881702e-12
